Programme music	Music
Anaerobic organism	Microbiology, Metabolism
Tetanus	Diseases caused by bacteria
Immunization	Immunization
Whipped cream	Dairy products, Desserts
Tetanospasmin	Poisons, Biochemistry
Neurotoxin	Physiology
Paralysis	Diseases and disorders
Membrane protein	Molecular biology
Tampa Bay Buccaneers	Sports in Tampa, Florida, National Football League teams
Obelus	Mathematical notation, Symbols
Vinculum (symbol)	Mathematical notation
Colon (punctuation)	Punctuation, Typography
Tomorrow Never Knows	1966 songs, The Beatles songs, Songs about drugs
Gone with the Wind (movie)	1939 movies, 1930s drama movies, 1930s romance movies, Academy Award winning movies, American epic movies, American romantic drama movies, American war movies, English-language movies, Histrionic personality disorder in fiction, MGM movies, Movies based on books, Movies set in Georgia (U.S. state), Movies set in the 19th century, Screenplays by Ben Hecht, Movies directed by Victor Fleming, Movies directed by George Cukor
Santino Marella	1974 births, Canadian professional wrestlers, Living people, People from Ontario, WWE wrestlers
Fresco	painting
The Count of Monte Cristo	1844 books, French novels
Hallandale Beach, Florida	Cities in Florida
Nazi Party	1920 establishments in Europe, 1945 disestablishments in Germany, 1920s establishments in Germany, Nazi Party
Carl Nielsen	1865 births, 1931 deaths, 20th century composers, Danish composers
Madonna and Child	Christian art, Depictions of Mary (mother of Jesus)
National Gallery, London	Museums in London, Art museums in the United Kingdom, National museums
Unperson	Words
Düren	Düren Rural District
Gütersloh	Gütersloh Rural District
Iserlohn	Märkischer Rural District
Velbert	Mettmann Rural District
Lünen	Unna Rural District
Marl	Recklinghausen Rural District
Bocholt	Cities in North Rhine-Westphalia, Borken Rural District
Roman Abramovich	1966 births, Living people, British businesspeople, Russian businesspeople
Morena Baccarin	1979 births, Living people, Brazilian movie actors, Brazilian television actors, Whedonverse, People from Rio de Janeiro
José Mourinho	1963 births, Living people, Portuguese footballers, Portuguese football managers
Sawmill	Manufacturing buildings
Hazrat Babajan	1806 births, 1931 deaths, Asian Sufis, Muslims
Concept album	Concept albums
Convenience food	Foods
Zippo	1932 establishments, Tools, Smoking
1367	1367
Water heating	Energy, Water
Couëron	Communes in Loire-Atlantique
Room temperature	Temperature
Kraftwerk	1970s establishments in Germany, 1970s German music groups, 1980s German music groups, 1990s German music groups, 2000s German music groups, 2010s German music groups, Düsseldorf, Electronic music bands, German pop music groups, Musical groups established in 1970
Cricket ball	Sports equipment, Cricket
Baptist	Baptist
Techno	Electronic dance music, Techno music, Detroit, Michigan
Dog sled	Animal-powered vehicles
Multiset	Set theory
Tom Brokaw	American television news anchors, American journalists, Writers from South Dakota, People with cancer, 1940 births, Living people
Tuple	Set theory
Manure	Agriculture
Nutrient	Ecology, Nutrients
Histogram	Statistics
Green manure	Agriculture
Normal distribution	Probability distributions
Biomass	Energy, Ecology
Variance	Statistics
Tarzan's Treehouse	Disney, Tarzan (Disney)
Adam Małysz	Skiers, Polish sportspeople, 1977 births, Living people
Salome	14 births, 60s deaths, Ancient Israeli people, New Testament people
Winchester College	Schools in England, Winchester, 1382 establishments
Buffy the Vampire Slayer (movie)	1992 comedy movies, 1992 action movies, 1990s fantasy movies, American action movies, American fantasy movies, American teen comedy movies, English-language movies, Movies set in Los Angeles, California, Screenplays by Joss Whedon, Whedonverse, 20th Century Fox movies
Fran Rubel Kuzui	American movie directors, Year of birth missing (living people), Living people
Roseanne Barr	2016 United States presidential candidates, 2012 United States presidential candidates, Actors from Salt Lake City, Utah, American comedians, American television actors, American television producers, American television talk show hosts, Writers from Utah, 1952 births, Living people, Emmy Award winning actors, American bloggers
BI-LO (Australia)	Supermarkets of Australia, 1970s establishments in Australia
Sucrose	Carbohydrates, Chemical compounds, Sweeteners
Disaccharide	Carbohydrates
Biological hazard	Biology, Pollution, Safety, Security
Petri dish	Laboratory equipment
IGA Australia	Supermarkets of Australia, 1988 establishments in Australia
City of Chelmsford	1974 establishments in England, Essex boroughs
Communication studies	Communication, Social sciences, Media, Schools
Belote	Card games
Monosaccharide	Biochemistry, Carbohydrates
Lactose	Carbohydrates, Chemical compounds
Glycogen	Carbohydrates, Organic compounds
Pollutant	Ecology, Toxicology
Carbon monoxide	Toxicology, Organic compounds, Oxides
Falco	1957 births, 1998 deaths, Singers from Vienna, Musicians from Vienna, Pop musicians, Rap musicians, Road accident deaths, Rock musicians
Gabriel Pascal	1894 births, 1954 deaths, Hungarian movie directors, Transylvania, Hungarian movie producers
McLaren	Formula One constructors, Formula One current
Haylie Duff	1985 births, Living people, Actors from Houston, Texas, American movie actors, American pop singers, American television actors, Singers from Houston, Texas
20th Century Studios	Movie studios, Companies based in Los Angeles, 1935 establishments, Disney
Marquette, Michigan	Cities in Michigan, County seats in Michigan
John Taverner	1490s births, 1545 deaths, English composers, Renaissance composers
John Tavener	1944 births, 2013 deaths, 20th century composers, 21st century composers, English composers, Knights Bachelor, Musicians from Middlesex
Escape velocity	Astrophysics
Razor	Hair, Cutting tools, Hygiene
Mood stabilizer	Drugs used in psychiatry
International Baccalaureate	Education, Examinations
Wolfgang Schüssel	1945 births, Living people, Austrian Roman Catholics, Chancellors of Austria, Government ministers of Austria
Vaduz	National capitals in Europe, Cities in Liechtenstein, Municipalities of Liechtenstein
Luxembourgish language	West Germanic languages, Languages of Europe
Jean-Pierre Cassel	1932 births, 2007 deaths, French actors
Sea cucumber	Echinoderms
Yochanan Vollach	1945 births, Living people, Hebrew University of Jerusalem alumni, Israeli footballers, Israeli military people, Jewish Israeli sportspeople, Jewish military people, Majors
Maccabi Haifa	1913 establishments in Asia, Sports clubs, Sport in Israel, Football in Israel, Haifa, 1910s establishments in Israel
Hapoel Haifa	Israeli football clubs, Haifa, 1924 establishments, 1920s establishments in Israel
Swalwell, Alberta	Settlements in Alberta, Villages in North America
Polysaccharide	Carbohydrates, Polymers
Alfred Gusenbauer	1960 births, Living people, Chancellors of Austria, People from Lower Austria
Chinchilla	Rodents, Mammals of South America
Solubility	Chemistry
SpVgg Greuther Fürth	German football clubs, Sport in Bavaria
Taj Mahal (musician)	American blues musicians, American guitarists, American pianists, Singers from New York, Musicians from New York, 1942 births, Living people
Floyd Patterson	1935 births, 2006 deaths, African-American boxers, American Olympic gold medalists, Sportspeople from New York, Sportspeople from North Carolina
Clockwise	Basic physics ideas, Clocks
Manuel Friedrich	1979 births, Living people, German footballers, Sportspeople from Rhineland-Palatinate
Bruno Kreisky	1911 births, 1990 deaths, Austrian Jews, Chancellors of Austria, Government ministers of Austria, Jewish politicians, Politicians from Vienna
Viscacha	Rodents
Incisor	Teeth, Mammals
Gerbil	Rodents
Muridae	Rodents, Old World rats and mice
Muroidea	Rodents
Pierre Boulez	1925 births, 2016 deaths, 20th century composers, 21st century composers, French composers, French conductors, French LGBT people, Gay men, Grammy Award winners, LGBT musicians, People from Auvergne-Rhône-Alpes
Murinae	Old World rats and mice
Castorimorpha	Rodents
Arpeggio	Musical terminology
