Book of Enoch	Books of the Bible
Anton LaVey	1930 births, 1997 deaths, American esotericists, Deaths from pulmonary edema, Jewish American writers, Religious leaders, Satanists, Writers from Chicago, American atheists, Deaths from lung disease, Disease-related deaths in California, People from San Francisco, American musicians
Hurricane Ike	2008 Atlantic hurricane season, 2008 in the United States, 2008 in Canada, 2000s in Cuba, Category 4 Atlantic hurricanes, 2000s in the Dominican Republic, 2000s in Haiti, Hurricanes in the United States, 2000s in the Bahamas, Turks and Caicos Islands, Natural disasters in Canada, Hurricanes in Texas, Hurricanes in Louisiana
Rafflesia	Plants of Asia, Parasitic plants, Flowers, Rafflesiaceae
Northern Fury FC	Australian football clubs
Edward Said National Conservatory of Music	Music schools, Buildings and structures in Palestine, Bethlehem, Jerusalem
SafetySuit	American rock bands, Post-grunge bands, Musical groups from Oklahoma
Life Left to Go	2008 albums
Someone like You (SafetySuit song)	2008 songs
Stay (SafetySuit song)	2008 songs
Vrilissia	Cities in Greece, Attica
Squall	Severe weather
Oxford English Dictionary	Dictionaries
Thomas Beecham	British conductors, 1879 births, 1961 deaths, Grammy Award winners
Teatro Colón	Opera houses, Buildings and structures in Argentina, Buenos Aires, 19th-century establishments in Argentina
Bim Bum Bam	1982 television series debuts, Italian television
Puyi	1906 births, 1967 deaths, Deaths from cardiovascular disease, Emperors and Empresses of China
Lithium (song)	Nirvana songs, 1992 songs
Endocrinology	Endocrinology
Adipose tissue	Animal tissues, Lipids
Flying Spaghetti Monster	Gods and goddesses, Internet
Campeonato Brasileiro Série A	Campeonato Brasileiro Série A, 1959 establishments, 1950s establishments in Brazil
Sand plantain	Plantaginaceae
The Real Ghostbusters	Animated television series, English-language television programs
Messianic Judaism	New religious movements, Jewish denominations, Christian movements and denominational families
Malcolm Sargent	1895 births, 1967 deaths, British conductors, Gilbert and Sullivan
Playoffs	Sports words
Lars	Given names
Boyce and Hart	American boy bands, Musical groups from Virginia
Janesville, Wisconsin	Cities in Wisconsin, County seats in Wisconsin, 1835 establishments in the United States, 1830s establishments in Michigan Territory
Malcolm Gladwell	1963 births, Living people, Canadian journalists, Writers from Hampshire, Writers from Ontario
Rosoideae	Roses
First Leicester	British transport companies
Dappy	1987 births, Living people, British people convicted of assault, English rap musicians, Celebrity Big Brother contestants, People from Camden (London borough), Singers from London, British R&B musicians, Grime music artists
Sepal	Botany
Cotyledon	Botany
Arriva Fox County	British transport companies, 1981 establishments in England, Bus transport
Sede do BankBoston	Skyscrapers in Brazil, São Paulo, 2002 establishments in South America, 2000s establishments in Brazil
Amygdaloideae	Rosaceae
Centrebus	British transport companies
Vasily Chuikov	1900 births, 1982 deaths, Soviet generals, Soviet military personnel of World War II
Power Purchasing Agreement	Electricity distribution
Pioneer plaque	Pioneer program
Clube Atlético Mineiro	Brazilian football clubs, Belo Horizonte, 1908 establishments in South America, 1900s establishments in Brazil
