West Division (NHL)	National Hockey League divisions
East Division (NHL)	National Hockey League divisions
Acrelândia	Municipalities in Acre (state), 1992 establishments, 1990s establishments in Brazil
Saint Alban	Year of birth unknown, 3rd century births, 304 deaths, British Christians, Christian saints, Converts to Christianity, Executed people, Roman people
Carlos Filipe Ximenes Belo	1948 births, Living people
Pope Innocent VIII	Italian popes, 1432 births, 1492 deaths
Lō'ihi Seamount	Seamounts, Pacific Ocean, Volcanoes of Oceania
Mark Knopfler	1949 births, Living people, British record producers, English rock guitarists, English rock singers, English singer-songwriters, Grammy Award winners, Musicians from Glasgow, People from Northumberland
Vision of Ezra	Religious texts
Chamba district	Himachal Pradesh
Bear worship	Religions
Chet Atkins	American guitarists, Deaths from colorectal cancer, Musicians from Tennessee, American folk musicians, American jazz musicians, Country musicians, American classical musicians, Grammy Award winners, 1924 births, 2001 deaths
Merle Travis	1917 births, 1983 deaths, American guitarists, Grammy Award winners
Clodovil Hernandes	1937 births, 2009 deaths, Brazilian people
Waylon Jennings	American country musicians, American guitarists, American rock musicians, American rock singers, Singer-songwriters from Texas, Deaths from diabetes, Grammy Award winners, 1937 births, 2002 deaths
FIFA 10	2009 video games, FIFA, Sports video games, PlayStation 2 games, PlayStation 3 games, PlayStation Portable games, Wii games, Xbox 360 games, Nintendo DS games, Windows games
NBA 2K10	2009 video games, PlayStation 2 games, PlayStation 3 games, PlayStation Portable games, Wii games, Windows games, Xbox 360 games, Sports video games
NBA Live 10	2009 video games, PlayStation 3 games, PlayStation Portable games, Xbox 360 games
Michael Grabner	1987 births, Arizona Coyotes players, American Hockey League players, Austrian ice hockey players, Living people, New Jersey Devils players, New York Islanders players, New York Rangers players, People from Carinthia (state), Spokane Chiefs players, Toronto Maple Leafs players, Vancouver Canucks players
Nuclear chain-reaction	Nuclear physics
Dargai	Tehsils of Khyber Pakhtunkhwa
Hillsong Church	Churches, Buildings and structures in Sydney
Yoshi Tatsu	1977 births, Boxers, Former WWE wrestlers, Japanese professional wrestlers, Living people, People from Gifu Prefecture
Long John Silver's	American fast food restaurants, Companies based in Kentucky, 1969 establishments in the United States, Louisville, Kentucky, 20th-century establishments in Kentucky
Yoshikiyo Kuboyama	1976 births, Living people, Footballers from Shizuoka Prefecture
Koji Yoshimura	1976 births, Living people, Footballers from Kōchi Prefecture
Jungo Kono	1982 births, Living people, Footballers from Kanagawa Prefecture
Superettan	2000 establishments in Sweden, Football leagues, Football in Sweden
Dakota Wizards	Bismarck, North Dakota, National Basketball Association teams
Patrick Sharp	1981 births, American Hockey League players, Canadian ice hockey centres, Canadian Olympic gold medalists, Chicago Blackhawks players, Dallas Stars players, Ice hockey people from Ontario, Living people, People from Thunder Bay, Sportspeople from Vermont, Stanley Cup champions, United States Hockey League players
Desertification	Environmental issues
Dwayne Johnson	1972 births, Living people, Actors from Alameda County, California, African American actors, African-American sportspeople, American Christians, American movie actors, American television actors, American video game actors, American professional wrestlers, Canadian Christians, Canadian movie actors, Canadian professional wrestlers, Former WWE wrestlers, People from Hayward, California, Sportspeople from California, WWE wrestlers
Shaquille O'Neal	1972 births, Living people, Actors from Newark, New Jersey, African American actors, African-American basketball players, African American musicians, American movie actors, American movie producers, American Muslims, American rap musicians from New Jersey, Musicians from Newark, New Jersey, Sportspeople from Newark, New Jersey, American television personalities, American television producers, Boston Celtics players, Cleveland Cavaliers players, Los Angeles Lakers players, Miami Heat players, Orlando Magic players, Businesspeople from Newark, New Jersey, National Basketball Association players with retired numbers, American basketball players
Left 4 Dead	Xbox 360 games, Windows games, 2008 video games, Shooter video games, Horror video games
Rivers Cuomo	American guitarists, American rock musicians, Musicians from New York City, Harvard University alumni, Living people, 1970 births
Pau Gasol	1980 births, Living people, 2004 Summer Olympics, Chicago Bulls players, Los Angeles Lakers players, Medalists at the 2008 Summer Olympics, Medalists at the 2012 Summer Olympics, Memphis Grizzlies players, Olympic silver medalists, Spanish basketball players, Spanish Olympic medalists, Sportspeople from Barcelona
Mezzaluna	Kitchenware
Cascoplecia	Flies
Sungai Besar	Settlements in Malaysia
Selangor	States of Malaysia
Ichiro Suzuki	1974 births, Living people, Japanese baseball players, New York Yankees players, Seattle Mariners players, People from Aichi Prefecture, Florida Marlins players
SuccessTech Academy shooting	2007 in the United States, 2000s in Cleveland, Ohio, 2000s crimes in the United States, Deaths by firearm, Suicide
Koji Arimura	1976 births, Living people, Footballers from Fukuoka Prefecture
Hideaki Tominaga	1976 births, Living people, Footballers from Fukui Prefecture
Graham Arnold	1963 births, Living people, Australian footballers, Australian football managers, Sportspeople from Sydney
Kurt Angle	1968 births, American Olympic gold medalists, American professional wrestlers, Living people, Sportspeople from Pennsylvania
Boris Balashov	1927 births, 1974 deaths, Soviet writers, Journalists, Philatelists, Philately of the Soviet Union, Editors
1960–61 NHL season	1960 in North America, 1961 in North America
Whitey Bulger	1929 births, 2018 deaths, Deaths by beating, Murdered criminals, American murder victims, People murdered in the United States, People who died in prison custody in the United States, American prisoners sentenced to life imprisonment, American gangsters, American murderers, American prisoners, People from Boston, Massachusetts
Semion Mogilevich	1946 births, Fraudsters, Living people, People from Kiev
Ali Saed Bin Ali El-Hoorie	1965 births, Living people, Muslim terrorists, Saudi Arabian people
Shamil Basayev	1965 births, 2006 deaths, Asian military people, Chechnya, European military people, Muslim terrorists, Russian people
Napredak Krusevac	Serbian football clubs
Zeta Golubovci	Football clubs
Drexel University	Colleges and universities in Pennsylvania, 1891 establishments in the United States, 1890s establishments in Pennsylvania
Eddy Gordo	Tekken characters
Mines of Paris	Paris, Subterranea
Tank Johnson	1981 births, Living people, Chicago Bears players, Cincinnati Bengals players, Dallas Cowboys players
San Cristóbal, Dominican Republic	Settlements in Dominican Republic, 18th-century establishments in the Spanish Empire
I've Got a Secret	Television game shows, CBS network shows, First run syndicated television programs, English-language television programs
Yann Tiersen	Living people, 1970 births, Composers, French musicians
Antônio Carlos Zago	1969 births, Living people, Brazilian footballers, Brazilian football managers
Sandro Chaves de Assis Rosa	1973 births, Living people, Brazilian footballers
Hernán Gaviria	1969 births, 2002 deaths, Colombian footballers
Carrow Road	Football stadiums in England, Norwich, 1935 establishments in Europe, 1930s establishments in England
Five Suns	Mythology
Ages of Man	Greek mythology, Roman mythology
Harvey Keitel	1939 births, Actors from New York City, American movie actors, American stage actors, American television actors, American voice actors, Movie producers from New York, Living people
Tim Roth	1961 births, Living people, Actors from London, BAFTA Award winners, British television producers, English movie actors, English movie directors, English stage actors, English television actors
John McCrae	1872 births, 1918 deaths, Canadian military people, Canadian poets, Military personnel of World War I, People from Guelph
Stan Mikita	1940 births, 2018 deaths, Art Ross Trophy winners, Canadian ice hockey centres, Chicago Blackhawks players, Deaths from dementia with Lewy bodies, Disease-related deaths in Chicago, Illinois, Hart Memorial Trophy winners, Hockey Hall of Fame inductees, Lady Byng Memorial Trophy winners, Slovak ice hockey players, Stanley Cup champions
Left 4 Dead 2	2009 video games, Windows games, Xbox 360 games, Shooter video games, Horror video games
Reservoir Dogs (video game)	2006 video games, PlayStation 2 games, Windows games, Xbox games, Video games based on movies
WWF SmackDown! Just Bring It	2001 video games, PlayStation 2 games, THQ games, WWE video game series
Saint Germaine	People from Occitanie, Christian saints, 1579 births, 1601 deaths
Kricogonia lyside	Pieridae
All That You Can't Leave Behind	U2 albums, 2000 albums, Island Records albums
Wigtownshire	Counties of Scotland
Forza Motorsport 3	Racing video games, Xbox 360 games, 2009 video games
Patau syndrome	Trisomies
Steve Bernier	1985 births, American Hockey League players, Buffalo Sabres players, Canadian ice hockey right wingers, Florida Panthers players, Ice hockey people from Quebec, Living people, Moncton Wildcats players, New Jersey Devils players, People from Quebec City, San Jose Sharks players, Vancouver Canucks players
Henryk Vogelfanger	1904 births, 1990 deaths, Polish movie actors
Dăbuleni	Towns in Romania
Fraternity	Ethics, Philosophy
Rocky Rapids, Alberta	Hamlets in Alberta
Envigado	Cities in Colombia, Geography of Colombia
