Appomattox Court House	American Civil War
Base isolation	Earthquake engineering
Shōō (Kamakura period)	Japanese eras, 1288 establishments, 13th-century establishments in Japan, 1293 disestablishments, 13th century disestablishments in Japan
Vibration control	Earthquake engineering, Mechanical vibrations
Telephone card	Telephone
Vera Menchik	1906 births, 1944 deaths, British chess players, Czech people, Sportspeople from Moscow
Alexandra Kosteniuk	Russian chess players, 1984 births, Living people, Chess grandmasters
King's Sutton railway station	Trains, Northamptonshire, Railway stations in England
Akbash Dog	Dog breeds
Clapping	Sound
Strung Out	American punk bands, Musical groups from California, Simi Valley, California
Reading and Leeds Festivals	Music festivals in England
Circa Survive	American rock bands, musical groups from Philadelphia, Pennsylvania, 2004 establishments in the United States, 2000s establishments in Pennsylvania
The Blind Side (movie)	2009 drama movies, 2000s biographical movies, 2000s sports drama movies, Academy Award winning movies, American biographical movies, American sports drama movies, English-language movies, Memphis, Tennessee, Movies based on books, Warner Bros. movies
Lahaul and Spiti district	Local government in India, Himachal Pradesh
Presidency division	Divisions of West Bengal
Burdwan division	Divisions of West Bengal
List of presidents of the United States	Presidents of the United States, Lists of legislative speakers
Jalpaiguri division	Divisions of West Bengal
History of chess	Chess
Shani	Hindu mythology
Wolfgang Wagner	1919 births, 2010 deaths, German musical entertainers, Opera
American Foxhound	Dog breeds
Mu isamaa, mu õnn ja rõõm	Estonia, National anthems
V sign	Peace, Symbols, Non-verbal communication
Emperor Ankō	Emperors of Japan
Building code	Buildings and structures, Earthquake engineering
Supply-side economics	Economic policy, Presidency of Ronald Reagan
Vaan	Video game characters, Final Fantasy
Royal Canadian Mounted Police	Government agencies of Canada, Law enforcement agencies
Vielle	String instruments
Metropolitan Museum of Art	Museums in New York City, Art museums in the United States, Buildings and structures in Manhattan, 1870 establishments in New York (state)
Stéphane Grappelli	Jazz musicians, Musicians from Paris, Violinists, 1908 births, 1997 deaths
30 Minut	2003 songs
Einin	Japanese eras
ICarly	Children's television series, Nickelodeon television series, 2010s American sitcoms, English-language television programs
Scouting for Girls	2005 establishments in England, 2000s British music groups, 2010s British music groups, British pop rock bands, English pop music groups, English rock bands, Musical groups established in 2005, Musical groups from London, Musical trios
Božidar Bandović	Football managers, Serbian people, 1969 births, Living people
Enthronement	Ceremonies
Détente	International relations
Castoreum	Chemical compounds, Organic compounds
Fitzwilliam Virginal Book	Music media
Blue Ridge Mountains	Mountains of the United States, Appalachian Mountains
Mount Mitchell	Mountains of the United States, Geography of North Carolina, Appalachian Mountains
Sweet Home Alabama	1970s songs
Face to Face (band)	American punk bands, Musical groups from California, Musical groups established in 1991, 1991 establishments in California, Musical groups disestablished in 2004, 2004 disestablishments in the United States, 2000s disestablishments in California, Musical groups established in 2008, 2008 establishments in California
Geffen Records	1980 establishments in the United States, 1980s establishments in New York (state), American record labels, Companies based in New York City
Fast Forward Weekly	Newspapers published in Canada
Seismic performance	Earthquake engineering
Philidor	1726 births, 1795 deaths, Chess players, French composers, French writers
Silent majority	Politics
1960 United States presidential election	1960 in the United States, United States presidential elections
Emperor Ingyō	Emperors of Japan
Alien and Sedition Acts	1790s in the United States, United States federal legislation, John Adams, 1798
Pak Hon-yong	1900 births, 1956 deaths, Executed people, Korean activists, Korean feminists, North Korean politicians, People executed by firearm, South Korean politicians
Shogi	Chess variants, Japanese culture
1964 United States presidential election	1964 in the United States, United States presidential elections
1980 United States presidential election	1980 in the United States, 1980 elections, Jimmy Carter, Ronald Reagan, United States presidential elections
1984 United States presidential election	1984 in the United States, 1984 elections, Ronald Reagan, United States presidential elections
Kofun period	Periods in Japanese history, 250s establishments, 3rd century establishments in Asia, 538 disestablishments, Establishments in Japan, Disestablishments in Japan
Alexis Jordan	1992 births, Living people, Singers from South Carolina, American television actors, actors from South Carolina, Alexis Jordan, People from Columbia, South Carolina
Pico de gallo	Mexican sauces
Lighter	Light
Bridgit Mendler	1992 births, Living people, Actors from Marin County, California, Actors from Washington, D.C., American child actors, American child singers, American movie actors, American pop singers, American television actors, Singers from California, Singers from Washington, D.C.
Shake-table	Earthquake engineering, Modeling, Research
