Institution of Structural Engineers	Organisations based in London
Bahrain International Circuit	Formula One circuits, Sport in Bahrain, Buildings and structures in Bahrain, 2004 establishments in Asia
Phase 10	Card games
Muharraq Governorate	Governorates of Bahrain
1997 Qayen earthquake	1997 in Asia, Earthquakes in the 1990s, 20th century in Iran, Earthquakes in Asia
Wind turbine	Electricity distribution
Wet-tail	Rodents, Animal diseases
Luxury box	Sports buildings
Contactless smart card	Electronics
Pericles' Funeral Oration	Ancient Greece
Gorgoneion	Ancient Greece, Anthropology, Superstitions
Ryosuke Nakajima	1988 births, Living people, Footballers from Gifu Prefecture
Antônio Marcos da Silva Filho	1977 births, Living people, Brazilian footballers, People from Recife
Phil Younghusband	1987 births, Living people, Filipino sportspeople, Asian footballers
Carlo Zotti	1982 births, Living people, Italian association football goalkeepers
Alex Song	1987 births, Living people, Cameroonian footballers
Katsumi Yusa	1988 births, Living people, Footballers from Fukushima Prefecture
Ricardo Faty	1986 births, Living people, French footballers
Masayuki Miura	1966 births, Living people, Footballers from Hokkaidō Prefecture
Yasuyuki Akaike	1974 births, Living people, Footballers from Shizuoka Prefecture
Mariano González	1981 births, Living people, Argentine footballers
Evaldo Silva dos Santos	1983 births, Living people, Brazilian footballers
Atsushi Inoue	1977 births, Living people, Footballers from Saitama Prefecture
Alberto Luis de Souza	1975 births, Living people, Brazilian footballers, Mato Grosso do Sul
Georgios Samaras	1985 births, Living people, Greek footballers
Gustave Courbet	1819 births, 1877 deaths, Deaths from liver disease, French painters
Paul Le Guen	1964 births, Living people, French footballers, French football managers
Kohei Matsushita	1985 births, Living people, Footballers from Ishikawa Prefecture
Hideo Tanaka	1983 births, Living people, Footballers from Kumamoto Prefecture
Oswaldo de Oliveira	1950 births, Living people, Footballers from Rio de Janeiro
Yasuki Ishidate	1984 births, Living people, Footballers from Aichi Prefecture
Benoît Assou-Ekotto	1984 births, Living people, Cameroonian footballers
Yuki Tazawa	1979 births, Living people, Footballers from Hokkaidō Prefecture
Ibrahima Bakayoko	1976 births, Living people, Ivorian footballers
Kazunori Hiraoka	1965 births, Living people, Footballers from Kumamoto Prefecture, Japanese football managers
Tadashige Teranishi	1926 births, 1999 deaths, Footballers from Hiroshima Prefecture
Tomotaka Fukagawa	1972 births, Living people, Footballers from Hokkaidō Prefecture
Akihiro Tabata	1978 births, Living people, Footballers from Saitama Prefecture
Mark Delaney	1976 births, Living people, Welsh footballers
Ricardo Vaz Tê	1986 births, Living people, Portuguese footballers, Sportspeople from Lisbon
Naoki Kurimoto	1950 births, Living people, Footballers from Mie Prefecture
Alexandre da Silva Gabriel	1987 births, Living people, Footballers from Rio de Janeiro
Craig Beattie	1984 births, Living people, Scottish footballers, Crystal Palace F.C. players
Masayuki Nomura	1966 births, Living people, Footballers from Tokyo Prefecture, Japanese football managers
Minoru Takenaka	1976 births, Living people, Footballers from Hiroshima Prefecture
Amauri	1980 births, Living people, Brazilian footballers, Italian footballers
Masaki Yanagawa	1987 births, Living people, Footballers from Hyōgo Prefecture
Yoshihiro Uchimura	1984 births, Living people, Footballers from Hyōgo Prefecture
Yusuke Murayama	1981 births, Living people, Footballers from Shizuoka Prefecture
Naoya Tamura	1984 births, Living people, Footballers from Tokyo Prefecture
Tomonobu Hayakawa	1977 births, Living people, Footballers from Shizuoka Prefecture
Takanori Nakajima	1984 births, Living people, Footballers from Chiba Prefecture, Avispa Fukuoka players
Shu Abe	1984 births, Living people, Footballers from Osaka Prefecture, Avispa Fukuoka players
Takanobu Komiyama	1984 births, Living people, Footballers from Chiba Prefecture
Dispute	War, Communication, Conflicts, Sociology, Human issues
Seating capacity	Stadiums, Vehicles
Apotropaic magic	Superstitions, Magic (paranormal), Folklore
Possession Island, Queensland	Queensland, English explorers
Commelinaceae	Commelinaceae
Martin Gardner	1914 births, 2010 deaths, American mathematicians, American magicians, Writers from Tulsa, Oklahoma, Scientists from Tulsa, Oklahoma, Skeptics
Holes	1998 books, English-language novels, 20th century American novels, Children's books, Newbery Medal winning books, Texas in fiction, Young adult novels
Nuclear fuel	Nuclear energy
Manicure	Body art, Cosmetics
Dietitian	Nutrition, Healthcare occupations
Mycology	Fungi
