Participant observation	Sociology, Research methods, Anthropology, Ethnography
Ethnocentrism	Cultural geography, Sociology, Ethnocentrism
Matrilineality	Genealogy, Cultural anthropology
Roddy Doyle	1958 births, Living people, Atheists, BAFTA Award winners, Irish novelists, Irish movie producers, Irish screenwriters, Television writers, Writers from Dublin
Podarcis muralis	Lizards
Neurosis	Mental illnesses
Evergreen clematis	Ranunculales
Adam Clayton (footballer)	1989 births, Living people, English footballers, People from Manchester, Premier League players
Distress (medicine)	Health
Rupert Murdoch	1931 births, Living people, American billionaires, Businesspeople from New York City, Australian businesspeople, Chief executives, Fox Broadcasting Company, News Corporation, Order of Australia, People from Adelaide, People from Melbourne, Publishers
Académie internationale Mohammed VI de l'aviation civile	Aerospace engineering, Aviation, 2000 establishments, Technical colleges and universities, Casablanca, 2000s establishments in France, 20th-century establishments in Morocco
The Call of the Wild	Books about dogs, 1900s books, 20th century American novels, English-language novels, 1903, Gold rushes
Beautiful Joe	Fiction books, Books about dogs, 1893 books
Lassie Come-Home	Fiction books, Books about dogs, 1940 books
Uncle Tupelo	1987 establishments in Illinois, 1980s American music groups, 1990s American music groups, 1994 disestablishments in the United States, American rock bands, Country bands, Musical groups disestablished in 1994, Musical groups established in 1987, Musical groups from Illinois, 1990s disestablishments in Illinois
Lassie (TV series)	1954 television series debuts, 1973 television series endings, 1950s American television series, 1960s American television series, 1970s American television series, American children's television series, American drama television series, Black and white television series, CBS network shows, Emmy Award winning programs, English-language television programs
Hiro Arikawa	Japanese writers, 1972 births, Living people, People from Kōchi Prefecture
Mina Salman	Settlements in Bahrain
Connie Chung	American television news anchors, American journalists, 1946 births, Living people
Ann Curry	American journalists, American television personalities, People from Guam, 1956 births, Living people
Meredith Vieira	People from Providence, Rhode Island, American journalists, American game show hosts, American television personalities, 1953 births, Living people, Television talk show hosts
Querétaro dusky rattlesnake	Vipers
Macbeth (1971 movie)	1971 movies, Columbia Pictures movies, Movies based on plays by William Shakespeare, Movies directed by Roman Polanski
Joël Courtois	1960 births, French people, Computer scientists, Living people
Pacific League	Baseball in Japan, Organisations based in Japan, 1949 establishments in Asia, 1940s establishments in Japan
Tom Hiddleston	1981 births, Living people, Alumni of the University of Cambridge, English movie actors, English stage actors, English television actors, People educated at Eton College, People from Westminster
Jon Lord	1941 births, 2012 deaths, Cancer deaths in England, Deaths from pancreatic cancer, Deaths from pulmonary embolism, English composers, English pianists, English rock musicians, Keyboardists, Musicians from Leicestershire, People from Leicester
Benedict Cumberbatch	1976 births, Living people, Actors from London, Commanders of the Order of the British Empire, English movie actors, English stage actors, English television actors, English voice actors
Sadaharu Oh	1940 births, Living people, Japanese baseball players, Sportspeople from Tokyo
Stanley Williams	1953 births, 2005 deaths, African-American people, American murderers, American robbers, American thieves, Executed American people, People executed by lethal injection, People from Los Angeles, California, People from New Orleans, Louisiana
Ballet flat	Ballet, Footwear
Host (biology)	Biology, Parasitism
George Shaw	1751 births, 1813 deaths, English botanists, Fellows of the Royal Society, People from Buckinghamshire
Common name	Taxonomy, Names
Mark Catesby	1683 births, 1749 deaths, English botanists, Fellows of the Royal Society, English naturalists
Webbed feet	Feet
Outbreak	Epidemiology
Water beetle	Beetles
Santa Cruz, California	County seats in California, Cities in California, 1791 establishments in the United States, 18th-century establishments in California, Santa Cruz County, California
California red-legged frog	Frogs
Cope's gray treefrog	Frogs
Reptiles (magazine)	American magazines, Reptiles, Monthly magazines, Science and technology magazines, Irvine, California, 1993 establishments in California
Nazi songs	Nazism, Songs
Fiordland penguin	Penguins
Humboldt penguin	Penguins
Magellanic penguin	Penguins
Yellow-eyed penguin	Penguins
Mononymous person	Names
Sweet Grass, Montana	Unincorporated communities in Montana
Crotalus viridis	Vipers
Anput	Egyptian gods and goddesses
Harry Judd	1985 births, Living people, Chelmsford, English pop musicians, English rock drummers, Musicians from Essex, Strictly Come Dancing participants
DeJuan Blair	1989 births, African-American basketball players, Dallas Mavericks players, Living people, San Antonio Spurs players, Sportspeople from Pittsburgh, Pennsylvania, Washington Wizards players, American basketball players
Trade creation	Trade
Common coquí	Frogs
Mudpuppy	Salamanders
Tyler Posey	Living people, 1991 births, American television actors
Bufo apolobambicus	Toads
Herveo Plump Toad	Toads
Amargosa toad	Toads
Western toad	Toads
Great Plains Narrowmouth Toad	Toads
Plains Spadefoot Toad	Toads
American toad	Toads
Gymnopis syntrema	Caecilians
Dermophis gracilior	Caecilians
Microcaecilia supernumeraria	Caecilians
Siphonops leucoderus	Caecilians
Boulengerula taitana	Caecilians
Sylvacaecilia	Caecilians
California newt	Newts
Sierra newt	Newts
Coastal Range newt	Newts
Atelopus ignescens	Toads
Yunnan lake newt	Newts
William Shakespeare	1564 births, 1616 deaths, English playwrights, English poets, Literature since 1500, William Shakespeare, Writers from Warwickshire
Palaestra	Ancient Greek wrestling, Sports buildings in Greece
Black-tailed rattlesnake	Vipers
YMCA	Christian organizations, Youth organizations, 1844 establishments, Organisations based in the United Kingdom
Antisocial personality disorder	Antisocial personality disorder
Causinae	Vipers
Common night adder	Vipers
Polystyrene	Polymers
Allometry	Anatomy, Zoology
Keiko Ikeda	1933 births, Living people, 1956 Summer Olympics, 1960 Summer Olympics, Japanese gymnasts, Japanese Olympic bronze medalists, Medalists at the 1964 Summer Olympics, People from Hiroshima Prefecture
Abhinav Bindra	1982 births, Living people, Indian sportspeople, Olympic gold medalists, Punjabi people, Sport shooters
Lake Mackay	Lakes of the Northern Territory, Geography of Western Australia
Papunya, Northern Territory	Towns in the Northern Territory, Indigenous Australian communities, Pintupi, 1950s establishments in Australia
William Thomas Stead	British journalists, 1849 births, 1912 deaths, Victims of the RMS Titanic
Kintore, Northern Territory	1981 establishments in Australia, Towns in the Northern Territory, Indigenous Australian communities, Pintupi
