Didier Demazière	Year of birth unknown, French sociologists, Living people
Legal clinic	Law
A.R. Chughtai	1897 births, 1975 deaths, Pakistani people
Ustad Allah Bux	1895 births, 1978 deaths, Pakistani people, Punjabi people
Henna	Flowering plants, Middle East, Indian culture, Pakistani culture
List of New England Patriots players	New England Patriots players, Lists of sportspeople
Dominican people (Dominican Republic)	Dominican Republic people
Bodo nationalism	Assam, Separatist movements of India, Nationalism
Somme River	Rivers of France, Hauts-de-France
United National Liberation Front	Separatist movements of India, Manipur, Rebel militia groups in Asia, Nationalist organizations in India
Ghost Dance	New religious movements, Native American
Suiko period	Japanese eras
Ballast tamper	Trains
WFMU	Jersey City, New Jersey, Radio stations in the United States, 1958 establishments in the United States, 20th-century establishments in New Jersey
Christiana Guinle	Brazilian stage actors, Brazilian television actors, Year of birth missing (living people), Living people
Jackie Earle Haley	1961 births, Living people, A Nightmare on Elm Street, American movie actors, American television actors, American stage actors, American voice actors, Actors from Los Angeles, California
River Phoenix	1970 births, 1993 deaths, Actors from Oregon, American activists, American child actors, American movie actors, American musicians, American stage actors, American television actors, American voice actors, Deaths from heart failure, Drug-related accidental deaths in the United States, Jewish American actors
Alan Cumming	1965 births, Living people, Actors who played Bond villains, Bisexual people, Drama Desk Award winners, Gay men, LGBT actors, Naturalized citizens of the United States, Officers of the Order of the British Empire, Scottish LGBT people, Scottish movie actors, Scottish stage actors, Scottish television actors, Scottish voice actors, Tony Award winning actors
Tent pegging	Equestrian sports, Middle East, Sport in India, Pakistani culture
Sadequain	1930 births, 1987 deaths, Pakistani people
Leavenworth, Kansas	County seats in Kansas, Cities in Leavenworth County, Kansas, History of Kansas, Bleeding Kansas, 1854 establishments in Kansas Territory
Arkalochori Axe	Minoan culture, Blades
National College of Arts	Colleges and universities in Pakistan, Lahore
John Lockwood Kipling	1837 births, 1911 deaths, People of British India, British illustrators
Prince Chichibu	1902 births, 1953 deaths, People from Tokyo, Princes and princesses, Japanese imperial family
Princess Chichibu	1909 births, 1995 deaths
Guelma	Cities in Algeria
Josef Fritzl	1935 births, Living people, Austrian people, Incest, Kidnappers, People with personality disorders, Prisoners, Rapists
Superiority bias	Psychology, Everyday life
OpenSolaris	Operating systems, Unix, Sun Microsystems, Oracle Corporation
Tyne Daly	1946 births, Living people, Actors from Wisconsin, American movie actors, American stage actors, American television actors, American voice actors, Drama Desk Award winners, Emmy Award winning actors, People from Madison, Wisconsin, Tony Award winning actors
Azerbaijan State Academic Opera and Ballet Theatre	Opera houses, Theatres in Baku, Buildings and structures in Baku, 1911 establishments, 1910s establishments in Azerbaijan
