List of regions of Canada	Canada-related lists, Regions of Canada
Lethal Injection (album)	Hip hop albums, 1993 albums
Corduroy	Woven fabrics
Ucluelet	Peninsulas, Settlements in British Columbia
Death Certificate (album)	Hip hop albums, 1991 albums
OS X Yosemite	MacOS
Julio Silva Solar	1926 births, 2014 deaths, Chilean lawyers, Chilean politicians, Deaths from myocardial infarction, Disease-related deaths in Chile
Olean, New York	Cities in New York, 1808 establishments in the United States, 1800s establishments in New York (state)
William O'Dwyer	1890 births, 1964 deaths, Deaths from heart failure, Mayors of New York City, US Democratic Party politicians
Hell Awaits	1985 albums, Slayer albums
Benedito de Assis da Silva	1952 births, 2014 deaths, Deaths from multiple organ failure, Brazilian footballers, People from São Paulo
Dolores Claman	1927 births, 2021 deaths, Deaths from dementia, Canadian composers, Canadian pianists, People from Vancouver, Women composers, Disease-related deaths in Spain
L. Q. Jones	1927 births, Living people, American movie actors, American television actors, American stage actors, American movie directors, People from Beaumont, Texas, Actors from Texas
Sam Peckinpah	1925 births, 1984 deaths, Cardiovascular disease deaths in the United States, Deaths from heart failure, Movie directors from California, People from Fresno, California, Screenwriters from California
Inglewood, California	Cities in California, Settlements in Los Angeles County, California, 1908 establishments in California
Interface	Computers
Gordon Ramsay	1966 births, Living people, British autobiographers, British chefs, British television personalities, British television producers, Officers of the Order of the British Empire
Bessemer, Michigan	Cities in Michigan, County seats in Michigan
South of Heaven	1988 albums, Slayer albums
Zviad Gamsakhurdia	1939 births, 1993 deaths, Suicides by firearm, Presidents of Georgia, Politicians from Tbilisi
Eduard Shevardnadze	1928 births, 2014 deaths, Eastern Orthodox Christians, Presidents of Georgia, Prime Ministers of Georgia, Recipients of the Order of Lenin, Soviet politicians
Nino Burjanadze	1964 births, Living people, Presidents of Georgia
Tengiz Sigua	1934 births, 2020 deaths, Prime Ministers of Georgia
Otar Patsatsia	1929 births, Living people, Prime Ministers of Georgia
Andrew Mango	1926 births, 2014 deaths, British writers, British photographers, Writers from Istanbul
Bora Todorović	1930 births, 2014 deaths, Deaths from stroke, Serbian actors, People from Belgrade
Volkmar Groß	1948 births, 2014 deaths, German footballers, Sportspeople from Berlin
Michael Apted	1941 births, 2021 deaths, Actors from Buckinghamshire, English movie actors, English movie directors, English movie producers, English screenwriters, James Bond movie directors
My Plague	2001 songs, Slipknot songs
The Specialist	1994 thriller movies, 1994 action movies, 1990s spy movies, American action thriller movies, American spy movies, Colombia, English-language movies, Movies about revenge, Movies set in Miami, Florida, Movies directed by Luis Llosa
Marek Jakóbczak	1970 births, 2014 deaths, Cancer deaths in Poland, Deaths from lung cancer, Polish footballers, Sportspeople from Warsaw
Tymon Mabaleka	1949 births, 1950 births, 2014 deaths, Zimbabwean businesspeople, African footballers
Robert A. M. Stern	1939 births, Living people, American architects, People from New York City
Margaret Fulton	1924 births, 2019 deaths, Scottish writers, Australian writers, British journalists, Chefs
Alan Alan	1926 births, 2014 deaths, British magicians, Entertainers from London
C. J. Henderson	1951 births, 2014 deaths, Deaths from cancer, American comics writers
Typhoon Neoguri (2014)	Tropical cyclones in Asia, 2014 in weather, July 2014 events, 2014 in Japan
Radivoj Lazić	1953 births, Living people, Composers, classical musicians, Clarinetists, Serbian musicians, Yugoslavian people, Songwriters, People from Belgrade, Musicians
Hutton Gibson	1918 births, 2020 deaths, American centenarians, Writers from Pennsylvania, Writers from Chicago, Writers from New York, People from Peekskill, New York, Mel Gibson
Westmoreland County, Pennsylvania	18th-century establishments in Pennsylvania, 1770s establishments in the Thirteen Colonies, 1773 establishments, Pennsylvania counties
Greensburg, Pennsylvania	Cities in Pennsylvania, County seats in Pennsylvania
Sedevacantism	Catholicism
Warren, Tyler County, Texas	Census-designated places in Texas
Warren City, Texas	Cities in Texas
Francis Guinan	Living people, Year of birth missing (living people), American movie actors, American television actors, American stage actors, Actors from Iowa
M. Emmet Walsh	1935 births, Living people, American movie actors, American television actors, American voice actors, American stage actors, Actors from New York
Ogdensburg, New York	Cities in New York
Ogdensburg, Wisconsin	Villages in Wisconsin
