Step Up All In	2010s romantic drama movies, American romantic drama movies, 2014 movies
Literary technique	Fiction, Narratology
Pedro Peña (actor)	1925 births, 2014 deaths, Deaths from Alzheimer's disease, Spanish movie actors, Spanish television actors
Lynsey de Paul	1948 births, 2014 deaths, Cardiovascular disease deaths in England, Deaths from cerebral hemorrhage, English singer-songwriters, Singers from London, Writers from London
Losing My Religion	Rock songs, 1991 songs, Grammy Award winning songs
Literary term	Writing, Literature, Literary terms
Joyride (album)	1991 albums
Ken Dunek	1957 births, Living people, Philadelphia Eagles players, Sportspeople from Chicago
Foreshadowing	Literary terms, Writing, Literature
Joyride (song)	1991 songs, Pop songs
Frieda Szwillus	1902 births, 2014 deaths, German centenarians, People from Saxony-Anhalt, Supercentenarians
Pope Shenouda III of Alexandria	1923 births, 2012 deaths, Copts, Deaths from renal failure, Deaths from respiratory failure, Popes
Critical analysis	Thought, Logic
Theme (narrative)	Writing, Literary terms, Fiction
Figurative language	Writing, Literary terms
Jack Hills	Hadean, Geography of Western Australia
Province of Quebec (1763-1791)	Quebec
Military intelligence	Espionage, Intelligence agencies, Military terminology
Casualty (person)	Military terminology
Bryant Reeves	1973 births, American basketball players, Living people, Sportspeople from Arkansas, Sportspeople from Oklahoma, Vancouver Grizzlies players
Narratology	Narratology, Writing
Red shirts	History of Italy
Man Against Machine	2014 albums, Garth Brooks albums
Granada Cathedral	Cathedrals in Spain, Granada, 1560s establishments in Europe, 16th century establishments in Spain, 1561 establishments
Shareef Abdur-Rahim	1976 births, African-American basketball players, American Olympic gold medalists, American Muslims, Atlanta Hawks players, Living people, Portland Trail Blazers players, Sacramento Kings players, Sportspeople from Atlanta, Georgia, Sportspeople from Georgia (U.S. state), People from Marietta, Georgia, Vancouver Grizzlies players, American basketball players
Achraf Baznani	1979 births, Living people, Filmmakers, People from Marrakesh, Moroccan writers, Photographers
1st Army (Russian Empire)	Armies, Military of Russia, 20th century in Russia
Offensive (military)	Military terminology
Ewen Gilmour	1963 births, 2014 deaths, New Zealand entertainers
Robert Flower	1955 births, 2014 deaths, Australian rules footballers, Disease-related deaths in Australia, People from Melbourne, Sportspeople from Victoria (Australia)
Kevin Metheny	1954 births, 2014 deaths, American radio personalities, American television presenters, Cardiovascular disease deaths in California, Deaths from myocardial infarction, Disease-related deaths in San Francisco, Businesspeople from San Francisco
Ward Ruyslinck	1929 births, 2014 deaths, Autobiographers, Deaths from Alzheimer's disease, Belgian novelists, Writers from Antwerp
Jean-Jacques Marcel	1931 births, 2014 deaths, French footballers
Jean-Claude Duvalier	1951 births, 2014 deaths, Deaths from myocardial infarction, Former dictators, Presidents of Haiti
Splake	Fish
Seville Cathedral	Cathedrals in Spain, 12 Treasures of Spain, 1500s establishments in Europe
Castle of Almansa	Castles in Spain, Castile-La Mancha, 12 Treasures of Spain - Finalists
Alcántara Bridge	Bridges, Buildings and structures in Spain, 12 Treasures of Spain - Finalists, Transport in Spain, 1st century establishments in Europe, Establishments in Spain
Neo-creationism	Intelligent design
Cloud chamber	Nuclear physics, Machines, Tools
Uric acid	Organic compounds
Guggenheim Museum Bilbao	Art museums in Spain, Basque Country, 12 Treasures of Spain, 1997 establishments in Europe
Purine	Organic compounds
Telecommunications in Azerbaijan	Telecommunications, Azerbaijan
Pyrimidine	Organic compounds
State Statistics Committee (Azerbaijan)	Azerbaijan, Government agencies, 1994 establishments, 1990s establishments in Azerbaijan
The Colbys	1985 American television series debuts, 1987 television series endings, 1980s American television series, American drama television series, Television series set in Los Angeles, California, 1987 disestablishments in the United States, English-language television programs
Paul Revere (musician)	1938 births, 2014 deaths, American pianists, Cancer deaths in the United States, Disease-related deaths in Idaho, Musicians from Nebraska, Musicians from Idaho
Alan Henning	1967 births, 2014 deaths, British people murdered abroad, English murder victims, Humanitarians, Kidnapped British people, Murders by blade weapons, People from Manchester, People murdered in Syria
Coleby Lombardo	American television actors, American movie actors, American child actors, Actors from Los Angeles, California, 1978 births, Living people
David Cawthorne Haines	1970 births, 2014 deaths, British people murdered abroad, English murder victims, Humanitarians, Kidnapped British people, Murders by blade weapons, People from Yorkshire, People murdered in Syria
John J. Lloyd	1922 births, 2014 deaths, People from Detroit, Michigan
Vaughn O. Lang	1927 births, 2014 deaths, American military people, People from Pennsylvania
Fyodor Cherenkov	1959 births, 2014 deaths, Russian footballers, People from Moscow
Anna Przybylska	1978 births, 2014 deaths, Deaths from pancreatic cancer, Polish movie actors, Models
Jules Bianchi	1989 births, 2015 deaths, Deaths in sport, French sportspeople, People from Nice, Racecar drivers, Sportspeople from Provence-Alpes-Cote d'Azur
Elya Baskin	1950 births, Living people, American movie actors, American television actors, Jewish American actors, Latvian Jews, Naturalized citizens of the United States, People from Riga, Soviet Jews, Soviet movie actors, Soviet television actors
Niagara Movement	Civil rights organizations, Organizations based in the United States
Harvard, Nebraska	Cities in Nebraska
Division of Moncrieff	Electoral divisions of Australia, Queensland, 1984 establishments in Australia
Liverpool 8	2008 albums, Ringo Starr
Elissa's Quest	Children's books
Almansa	Towns in Spain, Municipalities in Castile-La Mancha
Hoot (novel)	Newbery Medal winning books, Young adult novels, 2002 books
Dolphin Song	Children's books, Novels, 2007 books
Beach of La Concha	Beaches of Europe, Geography of Spain, 12 Treasures of Spain
Santiago de Compostela Cathedral	12 Treasures of Spain, Galicia, Cathedrals in Spain, 1210s establishments in Europe, 13th century establishments in Spain, 1211 establishments
City of Arts and Sciences	12 Treasures of Spain, Valencia, Entertainment venues
Basilica of Our Lady of the Pillar	Cathedrals in Spain, 12 Treasures of Spain, Marian shrines, Zaragoza
M60 Patton	United States Army
12 Treasures of Spain	12 Treasures of Spain
Calahorra Cathedral	Cathedrals in Spain, La Rioja
Opel Karl	Opel automobiles, Front wheel drive vehicles, 2010s automobiles
Pamplona Cathedral	Cathedrals in Spain, Pamplona
Valladolid Cathedral	Cathedrals in Spain, Valladolid
Badajoz Cathedral	Cathedrals in Spain, Extremadura, 1276 establishments, 13th century establishments in Spain, 1270s establishments in Europe
Oviedo Cathedral	Cathedrals in Spain, Oviedo, 9th century establishments in Europe, Establishments in Spain
La Seo Cathedral	Cathedrals in Spain, Zaragoza, 1318 establishments, Establishments in Spain, 1310s establishments in Europe
Alcazaba of Almería	12 Treasures of Spain - Finalists, Andalusia, Castles in Spain, 10th century establishments in Europe, Establishments in Spain
Cabo de Gata-Níjar Natural Park	12 Treasures of Spain - Finalists, Andalusia, Parks, 1997 establishments in Europe
Palacio de la Magdalena	Buildings and structures in Spain, 12 Treasures of Spain - Finalists, Cantabria, Former royal residences, 20th century establishments in Spain
Defensin	Proteins, Immunology
Málaga Cathedral	Cathedrals in Spain, Malaga, 1782 establishments, 18th century establishments in Spain, 1780s establishments in Europe
Expecting Amish	2014 drama movies, Television movies
Girona Cathedral	Cathedrals in Spain, 11th century establishments in Europe, Establishments in Spain
Garajonay National Park	National parks in Spain, World Heritage Sites in Spain, 1981 establishments in Europe, Canary Islands, 1980s establishments in Spain
