William Dampier	1651 births, 1715 deaths, English explorers, People from Somerset
Alto Paraná Department	Departments of Paraguay
Ghana Kanta Basumatary	Actors, 1952 births, 2013 deaths
Tropical Storm Gamma (2005)	Atlantic tropical storms
Kherai Puja	Religious festivals, Indian culture
Ausserferrera	Villages in Graubünden, Former municipalities of Graubünden
Partial fraction decomposition	Algebra
Pygmy slow loris	Lorisoidea, Mammals of Asia
Punta La Marmora	Mountains of Italy, Sardinia
Joanne (album)	2016 albums, Pop albums, Dance albums, Rock albums, Lady Gaga albums
Milky Way–Andromeda collision	Spiral galaxies, Local galaxies, Milky Way
Slow loris	Lorisoidea
Scrapie	Animal diseases
Stone slab	Architecture
Marecchia	Rivers of Italy, Emilia-Romagna, Tuscany
Shijiazhuang	Cities in China
Manchu queue	Hairstyles
War bride	Marriage
Neravy	Towns in India, Settlements in Puducherry, Karaikal District
Catenary	Geometry
Perfect information	Mathematics
Holon Children's Museum	Museums in Israel, 2001 establishments, 2000s establishments in Israel
Compromise of 1850	Origins of the American Civil War, 1850s in California
Timeline of events leading to the American Civil War	Origins of the American Civil War
West London Synagogue	Synagogues, Buildings and structures in London
Julio César Turbay Ayala	1916 births, 2005 deaths, Presidents of Colombia
Conan the Barbarian (1982 movie)	1982 movies
Aisne (river)	Rivers of France, Grand Est, Hauts-de-France
Damodar River	Rivers of West Bengal, Rivers of Jharkhand
History of the United States (1789–1849)	History of the United States, 18th century in the United States, 19th century in the United States, Origins of the American Civil War
Domain name registrar	Internet standards, Computing, Electronics
Magnetic storage	Computers, Magnetism
Arrondissements of the Aisne department	Arrondissements of France
Union Defence Force (UAE)	United Arab Emirates, Military
Tecumseh	1768 births, 1813 deaths
Arrondissement of Château-Thierry	Arrondissements of France
Croquet	Sports
Computational linguistics	Computing
Arrondissement of Laon	Arrondissements of France
Arrondissement of Saint-Quentin	Arrondissements of France
Arrondissement of Soissons	Arrondissements of France
Arrondissement of Vervins	Arrondissements of France
Dhuys-et-Morin-en-Brie	Communes in Aisne
Gennifer Flowers	American television actors, American movie actors, Models from Oklahoma, Actors from Oklahoma City, 1950 births, Living people
IOS 10	Operating systems, IOS
Ivory-billed woodpecker	Piciformes
McCollough effect	Vision
Vallées-en-Champagne	Communes in Aisne
Mitch Hedberg	1968 births, Actors from Minnesota, American comedians, American stand-up comedians, Living people
Les Septvallons	Communes in Aisne
Decongestant	Drugs
2016–17 NHL season	National Hockey League seasons, 2016 in ice hockey, 2017 in ice hockey, 2016 in North America, 2017 in North America
Metropolitan Division	National Hockey League divisions
2015–16 NHL season	2015 in ice hockey, 2016 in ice hockey, National Hockey League seasons, 2015 in North America, 2016 in North America
List of United States senators from Utah	United States senators from Utah, Lists of politicians
Bagnes	Municipalities of Valais
Verbier	Ski areas and resorts in Switzerland, Villages in Valais
Piezoelectricity	Electricity
Bourg-Saint-Pierre	Municipalities of Valais, Cities in Switzerland
Liddes	Municipalities of Valais
Orsières	Cities in Switzerland, Municipalities of Valais
Yvan Cournoyer	1943 births, Living people, Canadian ice hockey right wingers, Conn Smythe Trophy winners, Hockey Hall of Fame inductees, Ice hockey people from Quebec, Montreal Canadiens players, Stanley Cup champions
2016 IIHF Challenge Cup of Asia	2016 in ice hockey, March 2016 events
2015–16 Euro Hockey Tour	2015 in ice hockey, 2016 in ice hockey
2015 IIHF Challenge Cup of Asia	2015 in ice hockey, 2015 in Asia, 2010s in Taiwan, March 2015 events
2016–17 NLA season	2016 in ice hockey, 2017 in ice hockey
John Gilliland	1935 births, 1998 deaths, American radio personalities, Entertainers from Texas
Eva Doležalová	Czech movie actors, Czech stage actors, Living people, 1991 births
2017 IIHF World U18 Championships	2017 in ice hockey, April 2017 events, Poprad, Sport in Slovakia
GNU Anubis	Free software
2014–15 NHL season	National Hockey League seasons, 2014 in ice hockey, 2015 in ice hockey, 2014 in North America, 2015 in North America
2013 World Junior A Challenge	2013 in ice hockey
2013 IPC Ice Sledge Hockey World Championships	2013 in ice hockey, April 2013 events, 2013 in Asia, 2010s in South Korea
2011–12 NLA season	2011 in ice hockey, 2012 in ice hockey
2013–14 NHL season	2013 in ice hockey, 2014 in ice hockey, National Hockey League seasons, 2014 in North America
2013–14 NLA season	2013 in ice hockey, 2014 in ice hockey
2012–13 NHL season	2012 in ice hockey, 2013 in ice hockey, National Hockey League seasons
2014 Pan American Ice Hockey Tournament	2014 in ice hockey
2011–12 NHL season	2011 in ice hockey, 2012 in ice hockey, National Hockey League seasons, 2011 in North America, 2012 in North America
2015 Stanley Cup Finals	Stanley Cup Finals, 2015 in ice hockey, Ice hockey competitions, Chicago Blackhawks, Tampa Bay Lightning, 2015 in Illinois, 2010s in Chicago, 2010s in Tampa, Florida, June 2015 events
2014 Stanley Cup Finals	Ice hockey competitions, Stanley Cup Finals, 2014 in ice hockey, June 2014 events, New York Rangers, 2014 in the United States, 2010s in Los Angeles, California, 2010s in New York City
2013 Stanley Cup Finals	Stanley Cup Finals, 2013 in ice hockey, Ice hockey competitions, June 2013 events, Boston Bruins, Chicago Blackhawks, 2013 in the United States, 2010s in Boston, Massachusetts, 2010s in Chicago
Hoek van Holland Haven metro station	Railway stations in Europe, Transport in the Netherlands, Rotterdam, 1893 establishments in Europe, 19th century establishments in the Netherlands
Dark web	Internet
Vollèges	Municipalities of Valais
Bellwald	Municipalities of Valais
Forever (Brooke Valentine song)	2012 songs
Virtual image	Light
Adult Use of Marijuana Act	2016 California elections
Novolac	Steroid hormones
Marxism–Leninism	Politics of the Soviet Union, Communism
Mahesh Chandra Mehta	1946 births, Living people, Indian lawyers
Dairy farming	Agriculture
Mambru Went to War	1986 movies, Spanish movies, Black comedy movies, Drama movies
Binn	Municipalities of Valais
Blitzingen	Former municipalities of Valais
The Many Adventures of Mr. Mailman	2006 American television series debuts, 2010 American television series endings, 2010 television series endings, American animated television series, British television series, 2000s television series, 2000s British television series, 2010s television series, 2010s British television series
Ukraine International Airlines	Airlines of Europe, Ukraine, 1992 establishments in Europe, 20th century establishments in Ukraine
MAX Linux	Operating systems, Community of Madrid
Nouvelle cuisine	Cooking, French culture
Afonso Africano (epic poem)	Epic poems
Sumitra Mahajan	1943 births, Living people, Speakers of the Lok Sabha
Kingdom of Galicia	Former countries in Europe, 5th century establishments in Europe, 409 establishments, 1230 disestablishments, Disestablishments in Europe
Sikandar Lodi	Indian monarchs
Talca Province	Provinces of Chile
Gertrude Bell	English writers
Orchard Island, Ohio	Unincorporated communities in Ohio
Ernen	Municipalities of Valais
Theory of mind	Science
Fiesch	Municipalities of Valais
Fieschertal	Villages in Valais, Municipalities of Valais
Grafschaft	Former municipalities of Valais
Lax, Switzerland	Municipalities of Valais
Niederwald, Switzerland	Former municipalities of Valais
Secession in the United States	Origins of the American Civil War
Curicó Province	Provinces of Chile
My Own Prison	1997 albums
Magnús Scheving	1964 births, Living people, Icelandic writers, Male athletes, Television actors, Television producers
Institut supérieur international du parfum, de la cosmétique et de l'aromatique alimentaire	Technical colleges and universities in France, 1970 establishments in France, Versailles
South African Border War	20th century conflicts, Wars involving Portugal, Wars involving South Africa, History of Namibia, 20th century in Angola, 1960s, 1970s, 1980s, 1990
Lindisfarne Castle	Castles in England
Curicó	Cities in Chile
Vasco Mouzinho de Quevedo	16th century births, 17th century deaths, Portuguese writers
Lyudmila Pavlichenko	1916 births, 1974 deaths, Soviet military personnel of World War II, Ukrainian people
Institut des sciences et techniques des Yvelines	Technical colleges and universities in France, 1992 establishments in Europe, 1990s establishments in France
2016 clown sightings	2016 in the United States, Clowns
Trident	Weapons, Greek mythology, Hindu mythology
Mary Anna Custis Lee	1808 births, 1873 deaths
Fred Hampton	1948 births, 1969 deaths, People from Chicago, American revolutionaries, Socialists, American civil rights activists, People shot dead by law enforcement officers in the United States
Patrick De Lacey	1835 births, 1915 deaths, United States Army Medal of Honor recipients, People from Pennsylvania
Norman F. Bates	1839 births, 1915 deaths, United States Army Medal of Honor recipients, People from Vermont
Carbondale, Pennsylvania	Cities in Pennsylvania
States' rights	Origins of the American Civil War
Mk 19	Weapons
Lampeter	Towns in Ceredigion
Obergesteln	Villages in Valais, Former municipalities of Valais
Oberwald	Villages in Valais, Former municipalities of Valais
Champex-Lac	Villages in Valais
Scripting language	Programming languages
Reckingen-Gluringen	Former municipalities of Valais
Ulrichen	Villages in Valais, Former municipalities of Valais
Emilia Lanier	1569 births, 1645 deaths, English poets
Satyameva Jayate	National symbols of India
Angioedema	Health problems
Institut d'études politiques de Saint-Germain-en-Laye	Education in France
Obergoms	2009 establishments in Switzerland, Municipalities of Valais
Ain (river)	Rivers of France, Bourgogne-Franche-Comté, Auvergne-Rhône-Alpes
WSTRN	2010s establishments in England, 2015 establishments in Europe, Hip hop bands, Musical groups from London, Musical groups established in 2015, Musical trios
Human skeleton	Bones, Human body features
Brihadisvara Temple, Gangaikonda Cholapuram	World Heritage Sites in India, Hindu temples, Temples in India, 11th century establishments in Asia, Establishments in India
Didier Guillemot	Living people, 1960 births, French educators, French biologists, Presidents of the Université de Versailles Saint-Quentin-en-Yvelines, Versailles Saint-Quentin-en-Yvelines University faculty
Joseph Gérard	1831 births, 1914 deaths, Christian saints, French people, Missionaries
Ambattur	Settlements in Tamil Nadu
SJ T21	MaK locomotives
Vossloh DE 18	Vossloh locomotives, Bo-Bo locomotives
SNCF Class BB 61000	Vossloh locomotives, Bo-Bo locomotives
SNCF 040.DF	SNCF locomotives, Bo-Bo locomotives
TCDD DH3600	MaK locomotives, C locomotives
SNCF Class BB 7200	SNCF locomotives, B-B locomotives
Composition of the Russian Regional Parliaments	Politics of Russia
Crêt de la Neige	Mountains of France, Auvergne-Rhône-Alpes
2016 United States presidential election in California	2016 California elections, 2016 United States presidential election by state
Udara	Lycaenidae
President-elect of the United States	United States presidential elections
O.T. Genasis	American hip hop musicians, 1987 births, Singers from Atlanta, Georgia, Living people, Musicians from Atlanta, Georgia, Stage names
Laura Ashley	1925 births, 1985 deaths, Welsh people, Fashion designers
Javanese gamelan	Orchestras
Itapúa	Departments of Paraguay
2016 United States presidential election in Alaska	History of Alaska, 2016 United States presidential election by state
Dakota people	Native American
Mie Jans	1994 births, Living people, Danish footballers
President Lincoln's 75,000 volunteers	Origins of the American Civil War
Survivor Series (2016)	2016 in sports, November 2016 events, Sport in Toronto, Survivor Series, 2010s in Toronto
Hérémence	Municipalities of Valais
Corporate tax	Taxation
Cooperative	Business
WWE Raw Tag Team Championship	World Wrestling Entertainment championships, 2002 establishments
Perfect Illusion	Lady Gaga songs, 2016 songs, Pop songs, Lady Gaga
Georgian Wikipedia	Wikipedias
Malagasy Wikipedia	Wikipedias
Breton Wikipedia	Wikipedias, Websites established in 2004
Vítězslav Nezval	1900 births, 1958 deaths, Czech poets
Bamboo floor	Building materials, Bamboo
Vinča culture	Stone Age
Vinča script	Stone Age
American Expeditionary Force	World War I, American military personnel of World War I
Ministers of Foreign Affairs of Azerbaijan	Lists of politicians, Government of Azerbaijan, Azerbaijani politicians, Azerbaijan-related lists
Hair clipper	Tools, Hair
Merry Christmas with Love	2004 albums
Arauco Province	Provinces of Chile
Rocky De La Fuente	1954 births, Living people, 2020 United States presidential candidates, 2016 United States presidential candidates, Businesspeople from California, Politicians from Florida, Politicians from San Diego, California, US Democratic Party politicians
Rocky De La Fuente 2016 presidential campaign	2016 United States presidential campaigns
Catherine Cortez Masto	1964 births, Living people, United States senators from Nevada, American lawyers, Politicians from Las Vegas, Nevada, US Democratic Party politicians
Todd Young	1972 births, Living people, American military people, United States representatives from Indiana, United States senators from Indiana, US Republican Party politicians, University of Chicago alumni
Evan Bayh	1955 births, Living people, United States senators from Indiana, Governors of Indiana, US Democratic Party politicians
John C. Carney Jr.	1956 births, Living people, American Roman Catholics, Governors of Delaware, Politicians from Wilmington, Delaware, United States representatives from Delaware, US Democratic Party politicians, Lieutenant Governors of Delaware
Eric Holcomb	1968 births, Living people, Governors of Indiana, Lieutenant Governors of Indiana, Politicians from Indianapolis, Indiana, US Republican Party politicians
Eric Greitens	1974 births, Living people, Governors of Missouri, Writers from St. Louis, Missouri, American military people, American activists, US Republican Party politicians, Politicians from St. Louis, Missouri
Chris Sununu	1974 births, Living people, Governors of New Hampshire, US Republican Party politicians
Doug Burgum	1956 births, Living people, Governors of North Dakota, Businesspeople from North Dakota, American philanthropists, US Republican Party politicians
Phil Scott	1958 births, Living people, Governors of Vermont, Businesspeople from Vermont, US Republican Party politicians, Lieutenant Governors of Vermont
Jim Justice	1951 births, Living people, Governors of West Virginia, Businesspeople from West Virginia, US Republican Party politicians
Jodo	Martial arts
Conor McGregor	1988 births, Living people, Boxers, Mixed martial artists, Sportspeople from Dublin
The Nutshack	Sitcoms, English-language television programs
Aquarius (astrology)	Astrological signs
Roger Joseph Boscovich	Croatian scientists, Mathematicians
Les Agettes	Former municipalities of Valais, Sion, Switzerland
Mase, Switzerland	Former municipalities of Valais
Nax	Former municipalities of Valais
Saint-Martin, Valais	Municipalities of Valais
Ventilation	Buildings and structures
African Americans in the American Civil War	African-American history, American Civil War
Arrondissements of the Ardennes department	Arrondissements of France
Gwen Ifill	1955 births, 2016 deaths, Cancer deaths in Washington, D.C., Deaths from endometrial cancer, American television news anchors, American journalists, Writers from New York City
Leon Russell	1942 births, 2016 deaths, Deaths from surgical complications, Deaths from heart failure, American singer-songwriters, American country singers, American country guitarists, American rock guitarists, American rock singers, American folk singers, American blues musicians, American pianists, People from Lawton, Oklahoma, Musicians from Oklahoma, Singers from Oklahoma, Singers from Nashville, Tennessee, Musicians from Tennessee
Lincolnshire, Illinois	Villages in Illinois
Arrondissement of Charleville-Mézières	Arrondissements of France
Ricardo Rosselló	1979 births, Living people, Governors of Puerto Rico, US Democratic Party politicians, People from San Juan, Puerto Rico
Charles Wesley Turnbull	1935 births, Living people, Governors of the United States Virgin Islands, US Democratic Party politicians
Pedro Tenorio	1934 births, 2018 deaths, Deaths from stroke, Governors of the Northern Mariana Islands, US Republican Party politicians
Paul McDonald Calvo	1934 births, Living people, Governors of Guam, US Republican Party politicians
Carlos G. Camacho	1924 births, 1979 deaths, Deaths from myocardial infarction, Governors of Guam, US Republican Party politicians
Carlos S. Camacho	1937 births, Living people, Governors of the Northern Mariana Islands, US Democratic Party politicians
Peter Tali Coleman	1919 births, 1997 deaths, Deaths from liver cancer, Governors of American Samoa, US Republican Party politicians
A. P. Lutali	1919 births, 2002 deaths, Deaths from stroke, Governors of American Samoa, US Democratic Party politicians
Kay Starr	1922 births, 2016 deaths, Deaths from Alzheimer's disease, Disease-related deaths in California, American pop singers, Singers from Oklahoma
Blinky Bill (2015 movie)	Animated movies, Australian comedy movies, Movies about animals, Movies set in Australia
Ryan Kwanten	Australian movie actors, Australian voice actors
David Wenham	1965 births, Living people, Actors from Sydney, Australian movie actors, Australian stage actors, Australian television actors, Australian voice actors, Screen Actors Guild Award winners
Robin McLeavy	Australian movie actors, Australian voice actors
Deborah Mailman	Australian movie actors, Australian voice actors
Enantiornithes	Cretaceous birds
Barry Otto	Australian movie actors, Australian voice actors
History of the automobile	Automobiles, History of transport
Arrondissement of Rethel	Arrondissements of France
Arrondissement of Sedan	Arrondissements of France
Antero de Quental	1842 births, 1891 deaths, Poets
Arrondissement of Vouziers	Arrondissements of France
Mose Allison	1927 births, 2016 deaths, Deaths from natural causes, American jazz musicians, American blues musicians, American pianists, American songwriters, Trumpeters, Singers from Mississippi, Musicians from Mississippi, Writers from Mississippi
Robert A. McDonald	1953 births, Living people, United States Secretaries of Veterans Affairs, Politicians from Indiana, People from Gary, Indiana, American chief executives, Businesspeople from Indiana, US Republican Party politicians
Steven Mnuchin	1962 births, Living people, Bankers, Businesspeople from California, Businesspeople from New York City, Movie producers from California, Movie producers from New York City, Jewish American politicians, Jewish businesspeople, Politicians from California, Politicians from New York City, United States Secretaries of the Treasury, US Republican Party politicians, Yale University alumni
Fugitive slave laws	Origins of the American Civil War, Slavery, African-American history
Jack Vettriano	1951 births, Living people, Scottish painters, Officers of the Order of the British Empire
Devendra Jhajharia	1981 births, Living people
Umayyad conquest of Hispania	History of Portugal, History of Spain, Caliphates, 8th century
John Brown's Body (epic poem)	Epic poems
Slave Power	Origins of the American Civil War, Slavery
Neotribalism	Sociology
Rory's Place	1997 American television series debuts, 1999 American television series endings, 1990s American television series, 2000s American television series, American animated television series, American children's television series
Protests against Donald Trump	Politics, 2010s, Donald Trump
Tory Lanez	1992 births, Living people, Hip hop musicians, Singers
Turkification	Turkey, Nationalism
Zugangserschwerungsgesetz	Law, Germany
Newton Aycliffe	Towns in County Durham
NP-hardness	Theoretical computer science
Vernamiège	Former municipalities of Valais
Lake Louise (Alberta)	Lakes of Canada, Alberta
Anastasio Somoza García	1896 births, 1956 births, Presidents of Nicaragua
Stevo Todorčević	Living people, 1955 births
Mont-Noble	2011 establishments in Switzerland, Municipalities of Valais
Bratsch	Villages in Valais, Former municipalities of Valais
Ergisch	Municipalities of Valais
Erschmatt	Former municipalities of Valais
Ritzingen	Villages in Valais, Former municipalities of Valais
Selkingen	Villages in Valais, Former municipalities of Valais
Burlington County, New Jersey	17th-century establishments in New Jersey, 1690s establishments in the Thirteen Colonies, 1694, New Jersey counties
Judea (Roman province)	Provinces
Mut	Egyptian gods and goddesses
Sopdet	Egyptian gods and goddesses
Monthu	Egyptian gods and goddesses
Qetesh	Egyptian mythology
Arrondissements of the Var department	Arrondissements of France
Wosret	Egyptian mythology
Wepwawet	Egyptian mythology
East Africa Time	Time zones
Arrondissement of Draguignan	Arrondissements of France
Tatenen	Egyptian mythology
Heka (god)	Egyptian gods and goddesses
Arrondissement of Brignoles	Arrondissements of France
Cree language	Languages
Arrondissement of Toulon	Arrondissements of France
The Humane Society of the United States	Animal rights, Non-profit organizations of Washington, D.C., Ethics, 1954 establishments in the United States, 20th-century establishments in Washington, D.C.
Blockade runners of the American Civil War	American Civil War
Franklin Township, Somerset County, New Jersey	Townships in New Jersey
Valles Marineris	Mars, Canyons
Beatboxing	Percussion instruments
Golaghmuli Valley	Gilgit-Baltistan
Battle of Stamford Bridge	Battles involving England, Battles of the Middle Ages, 1066 in England
François Villon	1431 births, 1460s deaths, French poets
David Gentleman	1930 births, Living people, British artists
Gampel	Former municipalities of Valais, Villages in Valais
Gampel-Bratsch	Municipalities of Valais, 2009 establishments in Switzerland
Weather vane	Ancient Greece, Weather instruments
Tatar Wikipedia	Wikipedias
Arrector pili	Anatomy
Guttet-Feschel	Municipalities of Valais
Inden, Switzerland	Municipalities of Valais
Leukerbad	Ski areas and resorts in Switzerland, Municipalities of Valais
Oberems, Switzerland	Municipalities of Valais
Var (river)	Rivers of France, Provence-Alpes-Côte d'Azur
Friesian horse	Horse breeds, Frisian culture
Beverly Tyler	1927 births, 2005 deaths, Actors from Pennsylvania, American movie actors, American stage actors, American television actors, Singers from Pennsylvania
Irving A. Fradkin	1921 births, 2016 deaths, American philanthropists, Businesspeople from Massachusetts
Sharon Jones	1956 births, 2016 deaths, American funk singers, American R&B singers, American soul singers, Cancer deaths in New York, Deaths from pancreatic cancer, People from Augusta, Georgia, Singers from Georgia (U.S. state), Singers from New York City
António Guterres	1949 births, Living people, People from Lisbon, Prime Ministers of Portugal, Socialists, United Nations High Commissioners for Refugees
Christos Sartzetakis	1929 births, Living people, Chief justices, Presidents of Greece
Michael Flynn	1958 births, Living people, American generals, Politicians from Rhode Island, United States National Security Advisors, US Democratic Party politicians
Steve Bannon	1953 births, Living people, Politicians from Virginia, Businesspeople from Virginia, US Republican Party politicians
Joe Kennedy III	1980 births, Living people, American lawyers, American Roman Catholics, Harvard University alumni, Kennedy family, Politicians from Boston, Massachusetts, Stanford University alumni, United States representatives from Massachusetts, US Democratic Party politicians
