Sara Loren	Living people, Pakistani movie actors
Alt-right	Political movements
Ayubia	National parks in Pakistan
Sovereign Military Order of Malta	Order of St John
Doonga Gali	Hill Stations in Pakistan, Union Councils of Abbottabad District
Ute Bock	1942 births, 2018 deaths, Austrian educators, Human rights activists, People from Upper Austria
St. Antönien	Villages in Graubünden, Former municipalities of Graubünden, 2016 disestablishments in Switzerland
Schiers	Municipalities of Graubünden
Samnaun	Municipalities of Graubünden, Ski areas and resorts in Switzerland
Flag of Malawi	National flags, Malawi
Flag of Mauritania	National flags, Mauritania
Ribeauvillé	Communes in Haut-Rhin, Subprefectures in France
Panch Pargana Kisan College	1978 establishments in Asia, Colleges and universities in India, 1970s establishments in India
Kingdon Gould Jr.	1924 births, 2018 deaths, Ambassadors of the United States, American philanthropists, Businesspeople from New York City, Politicians from New York City, US Republican Party politicians
Julie Gibson	1913 births, 2019 deaths, American movie actors, American radio actors, American centenarians, Musicians from Idaho, Singers from Idaho, Actors from Idaho
Dean Stockwell	Golden Globe Award winning actors, 1936 births, Living people, American movie actors, American child actors, American television actors, American voice actors, Actors from Hollywood
Elisabeth Waldo	1918 births, Living people, American violinists, American composers, American songwriters, American conductors, People from Tacoma, Washington, Writers from Washington
Dusty Anderson	1918 births, 2007 deaths, American movie actors, American television actors, Models from Ohio, Actors from Ohio, People from Toledo, Ohio
Caren Marsh Doll	1919 births, Living people, American movie actors, Models from Los Angeles, California, Actors from Hollywood
Sono Osato	1919 births, 2018 deaths, American dancers, American movie actors, American stage actors, Actors from Omaha, Nebraska
Norma Miller	1919 births, 2019 deaths, Deaths from heart failure, American dancers, American choreographers, American movie actors, American stage actors, American autobiographers, American singer-songwriters, Comedians from New York City, Singers from New York City, Actors from New York City, Writers from New York City
Nancy Richler	1957 births, 2018 deaths, Canadian novelists, Cancer deaths in Canada, Writers from Montreal
Anna Campori	1917 births, 2018 deaths, Italian movie actors, Italian television actors, Italian stage actors, Italian centenarians, Actors from Rome
Maggie Daley Park	Parks in Chicago
Flag of Mauritius	National flags, Mauritius
Flag of Uganda	National flags, Uganda
Flag of Guinea-Bissau	National flags, Guinea-Bissau
Tolipir	Hill Stations in Pakistan, National parks in Pakistan
Flag of Lesotho	National flags, Lesotho
Flag of South Sudan	National flags, South Sudan
Flag of Seychelles	National flags, Seychelles
Luke Messer	1969 births, Living people, People from Evansville, Indiana, Businesspeople from Indiana, United States representatives from Indiana, US Republican Party politicians
Ellie Gall	1996 births, Living people, Actors from Sydney
Eddy Beugels	1944 births, 2018 deaths, Dutch cyclists, Sportspeople from Limburg (Netherlands)
Saqi Farooqi	1936 births, 2018 deaths, Indian writers, Poets
Fredo Santana	1990 births, 2018 deaths, Deaths from renal failure, Deaths from seizure, American rap musicians from California, Musicians from Chicago, Businesspeople from Chicago, Trap musicians
Allison Shearmur	1963 births, 2018 deaths, Deaths from lung cancer, Cancer deaths in Los Angeles, American movie producers
Jim Rodford	1941 births, 2018 deaths, English guitarists, Bass guitarists, English singers, Musicians from Hertfordshire, Accidental deaths from falls
Ron Tandberg	1943 births, 2018 deaths, Cartoonists, Deaths from esophageal cancer, Cancer deaths in Victoria (Australia), People from Melbourne, Australian people
Seewis im Prättigau	Municipalities of Graubünden
Buddha's hand	Buddhism, Citrus
Valzeina	Former municipalities of Graubünden, 2011 disestablishments in Switzerland
Says	Former municipalities of Graubünden
Medels im Rheinwald	Former municipalities of Graubünden
Rossa, Switzerland	Municipalities of Graubünden
Danilovgrad	Cities in Montenegro, Municipalities of Montenegro
Herceg Novi	Cities in Montenegro, Municipalities of Montenegro
Santa Maria in Calanca	Municipalities of Graubünden
Flag of Liberia	National flags, Liberia
Flag of Burundi	National flags, Burundi
Flag of the Republic of the Congo	National flags, Republic of the Congo
Flag of Equatorial Guinea	National flags, Equatorial Guinea
Flag of the Democratic Republic of the Congo	National flags, Democratic Republic of the Congo
Flag of Djibouti	National flags, Djibouti
Flag of Malta	National flags, Malta
Flag of North Macedonia	National flags, North Macedonia
Porte-du-Ried	Communes in Haut-Rhin, 2016 establishments in France
Riespach	Communes in Haut-Rhin
Immendingen	Tuttlingen
Rimbach-près-Guebwiller	Communes in Haut-Rhin
Dareka no Manazashi	2013 drama movies, Japanese-language movies, 2010s anime, Japanese movies, Short movies, Science fiction movies
Graeme Langlands	1941 births, 2018 deaths, Australian rugby league players, Disease-related deaths in New South Wales, Members of the Order of the British Empire, Sportspeople from New South Wales
Super Mario Maker	2015 video games, 2016 video games, Mario platform games, Wii U games, Nintendo 3DS games, Nintendo video games, Platform games
Mario Party 10	2015 video games, Nintendo video games, Mario Party games, Wii U games
The Spirit of the Laws	Law, History of France, 1748 books
Louis Antoine de Pardaillan de Gondrin	1664 births, 1736 deaths, French people, French nobility
Altai people	Altai people
Trần Đại Quang	1956 births, 2018 deaths, Deaths from infectious disease, Presidents of Vietnam, Communists
Trương Tấn Sang	1949 births, Living people, Presidents of Vietnam
Altai language	Turkic languages, Languages of Russia
Mathilde Krim	1926 births, 2018 deaths, Naturalized citizens of the United States, Italian scientists, Scientists from New York
Joel Daly	1934 births, 2020 deaths, Deaths from Parkinson's disease, American television news anchors, People from Cleveland, Ohio, Television personalities from Chicago, Disease-related deaths in Illinois
John Coleman (meteorologist)	1934 births, 2018 deaths, American television presenters, American journalists, People from Texas, The Weather Channel
Wallis Grahn	1945 births, 2018 deaths, Swedish movie actors, Swedish television actors, Actors from Stockholm
Jens Okking	1939 births, 2018 deaths, Danish movie actors, Danish television actors, Danish stage actors, Danish politicians, People from Copenhagen
