Silhouette	Art
Khalifa Haftar	1943 births, Living people, Libyan people, Generals
Minka Kelly	1980 births, Living people, American movie actors, American television actors, American voice actors, Models from Los Angeles, California, Actors from Chicago, Actors from Los Angeles, California, Actors from Albuquerque, New Mexico
Kempele	1867 establishments in Finland, Municipalities of Northern Ostrobothnia
United States National Economic Council	Executive branch of the United States government, Directors of the National Economic Council
Robert Rubin	1938 births, Living people, United States Secretaries of the Treasury, Directors of the National Economic Council, Jewish American politicians, Yale University alumni, Harvard University alumni, Businesspeople from New York City, Politicians from New York City, US Democratic Party politicians
Stephen Friedman	1937 births, Living people, Directors of the National Economic Council, Businesspeople from New York City, Politicians from New York City, US Republican Party politicians
Mickey Kantor	1939 births, Living people, United States Secretaries of Commerce, United States Trade Representatives, Jewish American politicians, Businesspeople from Tennessee, Politicians from Nashville, Tennessee, US Democratic Party politicians
John Albert Knebel	1936 births, Living people, United States Secretaries of Agriculture, Politicians from Tulsa, Oklahoma, US Republican Party politicians
Stratigraphic column	Geology
Norman R. Augustine	1935 births, Living people, United States Secretaries of the Army, American educators, Businesspeople from Denver, Colorado
Gordon R. England	1937 births, Living people, United States Secretaries of the Navy, Businesspeople from Baltimore, Maryland, Politicians from Baltimore, Maryland, US Republican Party politicians
Hansford T. Johnson	Living people, 1936 births, American military personnel of the Vietnam War, United States Secretaries of the Navy, People from South Carolina
Robert B. Pirie Jr.	1933 births, Living people, United States Secretaries of the Navy, Politicians from San Diego, California, Military people from California
Thomas C. Reed	1934 births, Living people, United States Secretaries of the Air Force, Politicians from New York City, US Republican Party politicians
Shristi Shrestha	1989 births, Nepalese beauty pageant winners, Miss Nepal winners, Nepalese actors, Living people, Nepalese models
Edward C. Aldridge Jr.	United States Secretaries of the Air Force, 1938 births, Living people, Politicians from Houston, Texas, US Republican Party politicians
Gordon R. Sullivan	1937 births, Living people, United States Secretaries of the Army, People from Boston, Massachusetts, American military personnel of the Vietnam War
Merrill McPeak	1936 births, Living people, United States Secretaries of the Air Force, American military personnel of the Vietnam War, People from Oregon, Military people from California
Donald Rice	1939 births, Living people, Businesspeople from California, United States Secretaries of the Air Force, People from Santa Monica, California, Businesspeople from Maryland
James G. Roche	1939 births, Living people, United States Secretaries of the Air Force, People from Elgin, Illinois, Politicians from New York City, Politicians from Illinois, US Democratic Party politicians
Lawrence J. Delaney	Living people, 1935 births, Engineers from New York, Businesspeople from New York, Scientists from New York, United States Secretaries of the Air Force
A Regular Epic Final Battle	2017 television episodes
Potomac, Maryland	Census-designated places in Maryland, Montgomery County, Maryland
Millennium University	2004 establishments in Asia, Colleges and universities in Bangladesh, Buildings and structures in Bangladesh, Dhaka
Chen Meng	1994 births, Living people, Chinese table tennis players
William Wilfred Campbell	1860 births, 1918 deaths, Writers from Ontario, Canadian poets
Nischal Basnet	1980 births, Living people, Nepalese movie actors, People from Kathmandu, Nepalese movie directors, Nepalese movie producers, Nepalese singers
Van Horne House	National Register of Historic Places, Jersey City, New Jersey, Houses in the United States, Buildings and structures in New Jersey
Jean-Claude Servan-Schreiber	1918 births, 2018 deaths, French centenarians, French journalists, Politicians from Paris, Writers from Paris
Brij Bhushan Kabra	1937 births, 2018 deaths, Deaths from multiple organ failure, Indian musicians, Guitarists
Patrick F. McManus	1933 births, 2018 deaths, American columnists, Writers from Idaho
Antonio Salandra	Leaders of political parties, Prime Ministers of Italy, 1853 births, 1931 deaths
Scooter Libby	1950 births, Living people, American lawyers, American criminals, Businesspeople from New Haven, Connecticut, Writers from New Haven, Connecticut, Politicians from New Haven, Connecticut, US Republican Party politicians
Paddington 2	2017 comedy movies, 2010s sequel movies, British comedy movies, Movies based on books
James Beevers	1979 births, British Olympians, Living people, Fencers
Hugh Bonneville	1963 births, Living people, Actors from London, British movie actors, British stage actors, British television actors, British voice actors, People from Paddington
Ishani Shrestha	1991 births, Living people, Nepalese beauty pageant winners, Miss Nepal winners, Nepalese models, People from Kathmandu
Ben Whishaw	1980 births, Living people, Actors who played Q, BAFTA Award winning actors, English LGBT people, English movie actors, English stage actors, English television actors, English voice actors, Gay men, LGBT actors, People from Bedfordshire
Delma	Companies of Switzerland, 20th century establishments in Switzerland, 1924 establishments in Europe, Canton of Bern
Subin Limbu	1991 births, Living people, Nepalese beauty pageant winners, Nepalese models, Miss Nepal winners
Evana Manandhar	1991 births, Nepalese beauty pageant winners, Living people, Nepalese models, People from Kathmandu, Miss Nepal winners
Moyar River	Rivers of Tamil Nadu
List of rivers of Tamil Nadu	Rivers of Tamil Nadu
Amaravati River	Rivers of Tamil Nadu
Arjuna River	Rivers of Tamil Nadu
Arani River	Rivers of Tamil Nadu
Zoran Krasić	1956 births, 2018 deaths, Serbian politicians, Civil servants
Warren, Connecticut	Towns in Connecticut
Angbu-ilgu	clocks
Prinsha Shrestha	1992 births, Living people, Beauty pageant winners, People from Kathmandu, Nepalese models
Kringresande register	Sweden
Bhavani River	Rivers of Tamil Nadu
Sonie Rajbhandari	Nepalese beauty pageant winners, People from Kathmandu, Nepalese models, Living people
Bambar River	Rivers of Tamil Nadu
Uppar River	Rivers of Tamil Nadu
Upper Gundar River	Rivers of Tamil Nadu
Valavaikkal River	Rivers of Tamil Nadu
Vennaaru River	Rivers of Tamil Nadu
Vettar River	Rivers of Tamil Nadu
Veera Chozhan River	Rivers of Tamil Nadu
Vashista River	Rivers of Tamil Nadu
List of rivers of Puducherry	Rivers of Puducherry, Lists of rivers of Asia
Nandalar River	Rivers of Tamil Nadu, Rivers of Puducherry
Irena Santor	1934 births, Polish singers, Polish actors, Living people
Hotarubi no Mori e	2011 romance movies, 2002 manga, 2011 manga, 2011 anime, Japanese-language movies, Japanese movies
Joseph A. Bracken	1930 births, Living people, American theologians, American Roman Catholics, Writers from Chicago
Charles Curran	1934 births, Living people, American theologians, American educators, American Roman Catholics, Writers from New York, People from Rochester, New York
Roger T. Forster	1933 births, Living people, Alumni of the University of Cambridge, Christian theologians, English Protestants, English theologians, Evangelicals, Writers from London
John Mbiti	1931 births, 2019 deaths, 20th century philosophers, Academics, Alumni of the University of Cambridge, Anglican priests, Christian theologians, Kenyan people, Translators
Jürgen Moltmann	1926 births, Living people, German theologians, German Protestants, People from Hamburg
Eugene H. Peterson	1932 births, 2018 deaths, Deaths from congestive heart failure, People with Alzheimer's disease, American Presbyterians, American poets, American educators, American theologians, Writers from Washington
John Shelby Spong	1931 births, 2021 deaths, American Christians, American theologians, American feminists, Writers from Charlotte, North Carolina, Writers from Newark, New Jersey, Deaths from stroke
Joy Laville	1923 births, 2018 deaths, Deaths from myocardial infarction, English artists, Mexican people
Isabella Biagini	1943 births, 2018 deaths, Deaths from stroke, Italian movie actors, Italian television actors, Italian stage actors, Actors from Rome
Jean-Claude Malgoire	1940 births, 2018 deaths, Deaths from stomach cancer, Cancer deaths in France, French conductors, French educators
Warfarin	Drugs, Blood
2018 bombing of Damascus and Homs	2018 in Asia, 2010s explosions in Asia, Attacks on buildings and structures in 2018, 21st century in Syria, April 2018 events, Damascus, Donald Trump, Explosions in 2018
Vestal Virgin	Roman mythology, Roman people
St. Mary's School	Schools in New Hampshire, 1886 establishments in the United States, 1880s establishments in New Hampshire, 1964 disestablishments, 1960s disestablishments in the United States, Disestablishments in New Hampshire
Upper Gilmanton	Cities in New Hampshire, 1727 establishments, 1720s establishments in the Thirteen Colonies, 1859 establishments in the United States, 19th-century establishments in New Hampshire, 1860s disestablishments in the United States, Disestablishments in New Hampshire
Halberstadt CL.II	World War I aircraft, 1917 establishments in Europe, 1910s establishments in Germany
Art Bell	1945 births, 2018 deaths, Deaths from COPD, American radio personalities, American military personnel of the Vietnam War, Libertarians, Businesspeople from North Carolina, Businesspeople from Nevada, Writers from North Carolina, Writers from Nevada
Vanjiar River	Rivers of Puducherry, Rivers of Tamil Nadu
Franciszek Pieczka	1928 births, Living people, Polish movie actors, Polish television actors, Polish stage actors
Puravadayanar River	Rivers of Puducherry, Rivers of Tamil Nadu
List of rivers of West Bengal	Rivers of West Bengal
Adi Ganga	Rivers of West Bengal
Ajay River	Rivers of Bihar, Rivers of Jharkhand, Rivers of West Bengal
Auranga River (Jharkhand)	Rivers of Jharkhand
Burhi Gandak River	Rivers of Bihar
Maggie De Block	1962 births, Living people, Government ministers of Belgium, Open Vlaamse Liberalen en Democraten politicians, People from Flemish Brabant, Women politicians
Lisbet Palme	1931 births, 2018 deaths, First Ladies, Swedish people, Swedish psychologist
Assassination of Olof Palme	1986 in Europe, 1980s in Sweden, Assassinations in Europe, February events, Unsolved murders
Xavier Trias	1946 births, Living people, Mayors of Barcelona
