Brooks, Kentucky	Census-designated places in Kentucky, Bullitt County, Kentucky
Bullitt County, Kentucky	Bullitt County, Kentucky, 1790s establishments in Kentucky, 1796 establishments in the United States
Brownington, Kentucky	Unincorporated communities in Kentucky, Bullitt County, Kentucky
Bandana, Kentucky	Census-designated places in Kentucky
Laurel County, Kentucky	1825 establishments in Kentucky, Kentucky counties
Marietta, Georgia	Cities in Georgia (U.S. state), County seats in Georgia
Nakhon Ratchasima shootings	2020 in Asia, 21st century in Thailand, Attacks on buildings and structures in Asia, February 2020 events, Mass murder in Asia, Mass shootings in Asia
Shirley Henderson	1965 births, Living people, People from Fife, Scottish movie actors, Scottish stage actors, Scottish television actors, Scottish voice actors
Ballard County, Kentucky	1842 establishments in Kentucky, Kentucky counties
Meade County, Kentucky	Meade County, Kentucky, 1820s establishments in Kentucky, 1823 establishments in the United States
Allen County, Kentucky	1810s establishments in Kentucky, 1815 establishments, Kentucky counties
Campbell County, Kentucky	1790s establishments in Kentucky, 1794 establishments, Kentucky counties
Kinetics	Physics
Secession in Russia	Lists of clashes in the North Caucasus, Politics of Russia, National liberation movements
Marshall County, Indiana	1836 establishments in Indiana, Indiana counties
Portuguese Water Dog	Dog breeds
Logan County, Kentucky	1792 establishments in Kentucky, Kentucky counties
Leslie County, Kentucky	1870s establishments in Kentucky, 1878 establishments in the United States, Kentucky counties
Schuylkill County, Pennsylvania	1810s establishments in Pennsylvania, 1811 establishments in the United States, Pennsylvania counties
Central Siberian Yupik language	Languages of Russia, Languages of the United States, Eskimo-Aleut languages, Siberia, Alaska
Ace Books	1952 establishments in the United States, Science fiction books, Publishing companies of the United States
Barney's 1, 2, 3, 4 Seasons	Movies based on TV series
Fantastic Science Fiction	Science fiction, American magazines
Suresh Bhattarai	Year of birth missing (living people), Living people, Astrophysicists, Astronomers, Nepalese people
Anderson County, Kentucky	1820s establishments in Kentucky, 1827 establishments in the United States, Kentucky counties
Barren County, Kentucky	1798 establishments in Kentucky, Kentucky counties
Bourbon County, Kentucky	1780s establishments in Virginia, 1785 establishments in the United States, Kentucky counties
Letcher County, Kentucky	1842 establishments in Kentucky, Kentucky counties
Lincoln County, Kentucky	1780s establishments in Virginia, 1780 establishments in North America, Kentucky counties
Monroe County, Kentucky	1820 establishments in Kentucky, Kentucky counties
Bath County, Kentucky	1810s establishments in Kentucky, 1811 establishments in the United States, Kentucky counties
Butler County, Kentucky	1810s establishments in Kentucky, 1810 establishments in the United States, Kentucky counties
Taylor County, Kentucky	1840s establishments in Kentucky, 1848 establishments in the United States, Kentucky counties
Cerulean, Kentucky	Census-designated places in Kentucky, Unincorporated communities in Kentucky, Trigg County, Kentucky
Clinton County, Kentucky	1830s establishments in Kentucky, 1835 establishments in the United States, Kentucky counties
Marion County, Kentucky	1830s establishments in Kentucky, 1834 establishments in the United States, Kentucky counties
Morgan's Point, Texas	Cities in Texas
Mingus, Texas	Cities in Texas
Graford, Texas	Cities in Texas
Alvarado, Texas	Cities in Texas
Bell County, Kentucky	1860s establishments in Kentucky, 1867 establishments in the United States, Kentucky counties
Menifee County, Kentucky	1860s establishments in Kentucky, 1869 establishments in the United States, Kentucky counties
Washington County, Kentucky	1792 establishments in Kentucky, Kentucky counties
McGregor, Texas	Cities in Texas
Rewa district	Districts of Madhya Pradesh
Medomalacuphobia	Phobias
Melikdom of Kashatag	History of Armenia
Harrison County, Kentucky	1790s establishments in Kentucky, 1793 establishments in the United States, Kentucky counties
Hickman County, Kentucky	1821 establishments in Kentucky, Kentucky counties
Caldwell County, Kentucky	1800s establishments in Kentucky, 1809 establishments in the United States, Kentucky counties
Martin County, Kentucky	1870s establishments in Kentucky, 1870 establishments in the United States, Kentucky counties
Lee County, Kentucky	1870s establishments in Kentucky, 1870 establishments in the United States, Kentucky counties
Pulaski County, Kentucky	1798 establishments in Kentucky, Kentucky counties
Carlisle County, Kentucky	1880s establishments in Kentucky, 1886 establishments in the United States, Kentucky counties
West University Place, Texas	Cities in Texas
Blanket, Texas	Towns in Texas
Bridgeport, Texas	Cities in Texas
Blue Ridge, Texas	Cities in Texas
Benavides, Texas	Cities in Texas
Pearsall, Texas	Cities in Texas, County seats in Texas
Knott County, Kentucky	1880s establishments in Kentucky, 1884 establishments in the United States, Kentucky counties
Estill County, Kentucky	1800s establishments in Kentucky, 1808 establishments in the United States, Kentucky counties
Arthur Read	Fictional animals, Fictional characters introduced in the 1970s, Arthur (TV series)
Clifton, Texas	Cities in Texas
Goodlow, Texas	Cities in Texas
Rowan County, Kentucky	1850s establishments in Kentucky, 1856 establishments in the United States, Kentucky counties
Nicholas County, Kentucky	1790s establishments in Kentucky, 1799 establishments in the United States, Kentucky counties
Emhouse, Texas	Towns in Texas
Danbury, Texas	Cities in Texas
Oyster Creek, Texas	Cities in Texas
Devine, Texas	Cities in Texas
2100	Years, Years in the future
Angel Echevarria	1971 births, 2020 deaths, Accidental deaths from falls in the United States, American baseball players, Chicago Cubs players, Colorado Rockies players, Milwaukee Brewers players, People from Bridgeport, Connecticut, Sportspeople from Connecticut
Larry Popein	1930 births, 2020 deaths, Canadian ice hockey centres, Canadian ice hockey coaches, Ice hockey people from Saskatchewan, New York Rangers players, Oakland Seals players, Vancouver Canucks players
Victor Gorelick	1941 births, 2020 deaths, American comics writers, American editors, Artists from New York City, People from Brooklyn
Lila Garrett	1925 births, 2020 deaths, American activists, American radio personalities, Emmy Award winners, Screenwriters from New York City, Writers from Brooklyn
Remy Hii	1986 births, Living people, Actors from Queensland, Australian movie actors, Australian stage actors, Australian television actors
Jacob Batalon	1996 births, Living people, Actors from Honolulu, American movie actors, American television actors
Judy (movie)	2010s biographical movies, 2019 romance movies, 2019 drama movies, 2010s romantic drama movies, British biographical movies, British romantic drama movies, American biographical movies, American romantic drama movies
Gasherbrum V	Karakoram, Mountains of Pakistan, Gilgit-Baltistan
Carlos Julio Pereyra	1922 births, 2020 deaths, Deaths from renal failure, Uruguayan educators, Uruguayan politicians, Uruguayan writers
Henderson, North Carolina	Cities in North Carolina, County seats in North Carolina
Vance County, North Carolina	1880s establishments in North Carolina, 1881 establishments in the United States, North Carolina counties
Amanda Setton	1985 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, Actors from New York City
Antun Vrdoljak	1931 births, Living people, Czech movie actors, Czech politicians, Croatian movie producers, Croatian movie directors, Political activists
Vatroslav Mimica	1923 births, 2020 deaths, Croatian movie directors, Croatian movie producers, Croatian screenwriters
Paula Kelly (actress)	1942 births, 2020 deaths, Deaths from COPD, Disease-related deaths in California, Actors from Jacksonville, Florida, Actors from Manhattan, African-American movie actors, African-American stage actors, African-American television actors, American dancers, Singers from New York City
Andy Bernard	The Office (U.S. TV series) characters
Erin Hannon	The Office (U.S. TV series) characters
David Wallace (The Office)	The Office (U.S. TV series) characters
Holly Flax	The Office (U.S. TV series) characters
Toby Flenderson	The Office (U.S. TV series) characters
Sydney Tamiia Poitier	1973 births, Living people, Actors from Los Angeles, California, African-American movie actors, African-American television actors, Jewish American actors
Tedros Adhanom	1965 births, Living people, Academics, African politicians, Ethiopian people, Alumni of the University of Nottingham
Jon Watts	1981 births, Living people, American movie directors, American movie producers, American screenwriters, American television directors, Writers from Colorado
Robert Erwin	1934 births, 2020 deaths, Deaths from heart failure, American lawyers, American judges, Politicians from Alaska, US Democratic Party politicians
Frederick Ballantyne	1936 births, 2020 deaths, Governors-General of Saint Vincent and the Grenadines, Knights Grand Cross of the Order of St Michael and St George
Governor-General of Saint Vincent and the Grenadines	Governors-General of Saint Vincent and the Grenadines
Monica Dacon	1934 births, Governors-General of Saint Vincent and the Grenadines, Knights and Dames Commander of the Order of the British Empire, Companions of the Order of St Michael and St George, Living people
Susan Dougan	1955 births, Governors-General of Saint Vincent and the Grenadines, Officers of the Order of the British Empire, Living people
Jack D. Shanstrom	1932 births, 2020 deaths, Deaths from Parkinson's disease, Disease-related deaths in California, American lawyers, American judges, Politicians from Minnesota, Politicians from Montana, US Republican Party politicians
Hewitt, Minnesota	Cities in Minnesota
Long Prairie, Minnesota	Cities in Minnesota, County seats in Minnesota
Kenneth O. Morgan	1934 births, Living people, British historians, Welsh writers
