Recycling symbol	Recycling, Symbols, Waste
Knox County, Ohio	1808 establishments in Ohio, Ohio counties
Madison County, Ohio	1810 establishments in Ohio, Ohio counties
Morgan County, Ohio	1810s establishments in Ohio, 1817 establishments in the United States, Ohio counties
Noble County, Ohio	1850s establishments in Ohio, 1851 establishments in the United States, Ohio counties
Marion County, Ohio	1820s establishments in Ohio, 1824 establishments in the United States, Ohio counties
Figure-eight	Shapes
Paulding County, Ohio	1830s establishments in Ohio, 1839 establishments in the United States, Ohio counties
George Mikell	1929 births, 2020 deaths, Lithuanian actors, Lithuanian writers, Australian movie actors, Australian television actors, Australian stage actors, Australian writers
Perry County, Ohio	1810s establishments in Ohio, 1818 establishments in the United States, Ohio counties
Rosa Speer	1922 births, 2017 deaths, American singers, American pianists, American gospel musicians
COVID-19 pandemic in Lithuania	History of Lithuania, COVID-19 pandemic by country
Putnam County, Ohio	1830s establishments in Ohio, 1834 establishments in the United States, Ohio counties
Chatham County, Georgia	1777 establishments in Georgia (U.S. state), Georgia (U.S. state) counties
Giorgio Kutufà	1948 births, 2020 deaths, Italian politicians, People from Livorno
Fred Gray (attorney)	1930 births, Living people, American lawyers, State legislators of the United States, American civil rights activists, Politicians from Alabama, Businesspeople from Alabama, People from Montgomery, Alabama, US Democratic Party politicians
James Weldon Johnson	1871 births, 1938 deaths, 19th-century American poets, African American writers, American activists, American composers, American diplomats, American educators, American lawyers, American novelists, American poets, Civil rights activists, Columbia University alumni, Road accident deaths in the United States, Writers from Jacksonville, Florida
COVID-19 pandemic in Armenia	21st century in Armenia, COVID-19 pandemic by country
Banks County, Georgia	1850s establishments in Georgia (U.S. state), 1859 establishments in the United States, Georgia (U.S. state) counties
Willy Schmidt	1926 births, 2020 deaths, Dutch footballers, People from Alkmaar, Sportspeople from North Holland
Hoffmann-La Roche	1890s establishments in Switzerland, 1896 establishments in Europe, Companies of Switzerland, Basel
Fritz Gerber	1929 births, 2020 deaths, Deaths from stroke, Swiss philanthropists, People from Bern, Swiss businesspeople
Surfside, Florida	Towns in Florida
No-One but You (Only the Good Die Young)	1997 songs, Queen songs
Who Wants to Live Forever	1986 songs, Queen songs
Flash (Queen song)	1980 songs, Queen songs
Flash Gordon (movie)	1980 movies, 1980s science fiction movies, American science fiction movies, British science fiction movies
Ornella Muti	1955 births, Living people, Actors from Rome, Italian movie actors, Italian television actors, Italian stage actors, Italian voice actors
Mike Hodges	1932 births, English movie directors, English playwrights, English novelists, English movie producers, English screenwriters, Living people, People from Bristol
Get Carter	1971 thriller movies, 1970s crime movies, British crime movies
Ebenezer Scrooge	Fictional British people
Dr. Evil	Austin Powers characters, Fictional British people, Fictional characters introduced in 1997, Fictional twins
Shelby County, Ohio	1819 establishments in Ohio, Ohio counties
Vinton County, Ohio	1850s establishments in Ohio, 1850 establishments in the United States, Ohio counties
Wayne County, Ohio	1810s establishments in Ohio, 1812 establishments in the United States, Ohio counties
Dav Pilkey	1966 births, American cartoonists, American novelists, American children's writers, American illustrators, Writers from Cleveland, Ohio, Living people
Wyandot County, Ohio	1840s establishments in Ohio, 1845 establishments in the United States, Ohio counties
Paulding, Ohio	Villages in Ohio, County seats in Ohio
Bartow County, Georgia	1832 establishments in Georgia (U.S. state), Georgia (U.S. state) counties
Burke County, Georgia	1777 establishments in Georgia (U.S. state), Georgia (U.S. state) counties
Effingham County, Georgia	1777 establishments in Georgia (U.S. state), Georgia (U.S. state) counties
Laurens County, Georgia	1807 establishments in Georgia (U.S. state), Georgia (U.S. state) counties
Jasper County, Georgia	1807 establishments in Georgia (U.S. state), Georgia (U.S. state) counties
Ben Hill County, Georgia	1900s establishments in Georgia (U.S. state), 1906 establishments in the United States, Georgia (U.S. state) counties
Berrien County, Georgia	1856 establishments in Georgia (U.S. state), Georgia (U.S. state) counties
Clayton County, Georgia	1858 establishments in Georgia (U.S. state), Georgia (U.S. state) counties
Echols County, Georgia	1858 establishments in Georgia (U.S. state), Georgia (U.S. state) counties
Quitman County, Georgia	1858 establishments in Georgia (U.S. state), Georgia (U.S. state) counties
Al Jieulia (Al Hudaydah)	Settlements in Al Hudaydah Governorate, Port cities in the Arabian Peninsula, Port cities and towns of the Red Sea
Al Arsh (Al Hudaydah)	Settlements in Al Hudaydah Governorate, Port cities in the Arabian Peninsula, Port cities and towns of the Red Sea
Al Araj (Al Hudaydah)	Settlements in Al Hudaydah Governorate, Port cities in the Arabian Peninsula, Port cities and towns of the Red Sea
Al Jalab (Sanaa)	Settlements in Yemen
The Ox-Bow Incident	1943 movies, 1940s western movies, American western movies, Movies based on books, 20th Century Fox movies, Movies directed by William A. Wellman
Saint-Paulet	Communes in Aude
Saint-Pierre-des-Champs	Communes in Aude
Saint-Polycarpe	Communes in Aude
Sallèles-Cabardès	Communes in Aude
Pickens County, Georgia	1853 establishments in Georgia (U.S. state), Georgia (U.S. state) counties
Center, Nebraska	Villages in Nebraska, County seats in Nebraska
Nidovirales	Viruses
Al Kabs (Sanaa)	Settlements in Yemen
Al Munsifa (Jihanah)	Settlements in Yemen
Al Hanak	Settlements in Yemen, Port cities in the Arabian Peninsula, Port cities and towns of the Red Sea
Lawna	Settlements in Yemen, Port cities in the Arabian Peninsula, Port cities and towns of the Red Sea, Villages in Asia
Al Dahama (Dawan)	Settlements in Yemen, Villages in Asia
Aqtan	Villages in Asia, Settlements in Yemen
Mahsan	Settlements in Yemen, Port cities in the Arabian Peninsula, Port cities and towns of the Red Sea, Villages in Asia
Bill Olner	1942 births, 2020 deaths, People from Warwickshire, Deaths from the COVID-19 pandemic in the United Kingdom, Trade unionists, Former Labour MPs (UK), UK MPs 1992–1997, UK MPs 1997–2001, UK MPs 2001–2005, UK MPs 2005–2010
Robinson projection	Map projections
Ken Retzer	1934 births, 2020 deaths, Texas Rangers players, Sportspeople from Illinois
Sun City, Arizona	Census-designated places in Arizona, Unincorporated communities in Arizona
Los Angeles Police Department	Los Angeles, Law enforcement agencies of the United States
Positive-sense single-stranded RNA virus	Viruses
Berkeley Square (movie)	1933 movies, 1930s romance movies, American romance movies, American fantasy movies, Movies based on plays, Movies directed by Frank Lloyd
In Name Only	1939 movies, 1930s romance movies, American romance movies, Movies based on books, Movies directed by John Cromwell
Coronaviridae	Viruses
Upstairs and Downstairs	1959 comedy movies, 1959 drama movies, British comedy movies, British drama movies, Movies based on books, Movies directed by Ralph Thomas
Michelle Rossignol	Canadian movie actors, Canadian stage actors, Canadian television actors, 1940 births, 2020 deaths
Laudo Natel	1920 births, 2020 deaths, Brazilian politicians, People from São Paulo
Anchors Aweigh (movie)	1945 movies, 1940s musical movies, 1940s comedy movies, American musical comedy movies, Movies directed by George Sidney
The Willoughbys	2020s animated movies, 2020 comedy movies, Netflix movies, Movies based on books, American animated movies, American comedy movies
Jerry Adler	1929 births, Living people, Actors from Brooklyn, American movie actors, American stage actors, American television actors, American theatre directors, Jewish American actors
Johnny Eager	1941 movies, 1940s crime movies, 1940s drama movies, American crime drama movies, Movies directed by Mervyn LeRoy
Julien Fournié	1975 births, French people, French fashion designers, Living people
Anna Karenina (1935 movie)	1935 movies, 1930s drama movies, American romantic drama movies, Movies based on books, Movies directed by Clarence Brown
Felix Silla	1937 births, 2021 deaths, Italian movie actors, Italian television actors, Italian voice actors, Naturalized citizens of the United States, American movie actors, American television actors, American voice actors, People with dwarfism, Stuntmen
Catherine de Károlyi	1919 births, 2006 deaths, French people, French fashion designers
Yankee Senor	1926 movies, American western movies, American silent movies, Movies directed by Emmett J. Flynn
The Addams Family (1964 TV series)	American comedy television series, English-language television programs
Vic Mizzy	1916 births, 2009 deaths, American composers, Singers from New York City, Musicians from New York City, Writers from New York City
Lisa Loring	1958 births, Living people, American child actors, American television actors
Blossom Rock	1895 births, 1978 deaths, Deaths from stroke, American stage actors, American television actors, American movie actors, Actors from Philadelphia, Pennsylvania
Jeanette MacDonald	1903 births, 1965 deaths, Deaths from heart failure, American movie actors, American television actors, American stage actors, American radio actors, American silent movie actors, Actors from Philadelphia, Pennsylvania, Singers from Philadelphia, Pennsylvania
Nelson Eddy	1901 births, 1967 deaths, Deaths from cerebral hemorrhage, American movie actors, American television actors, American stage actors, American radio actors, American silent movie actors, Actors from Rhode Island, Singers from Rhode Island, People from Providence, Rhode Island
Triadic ballet	Ballet
Julie de Libran	French people, French fashion designers, 1972 births, Living people
The Cowboy and The Countess	1926 movies, 1920s western movies, American western movies, American silent movies, Movies directed by Roy William Neill
Gene Raymond	1908 births, 1998 deaths, Deaths from pneumonia, American movie actors, American television actors, American stage actors, American silent movie actors, American songwriters, American composers, Actors from New York City, Screenwriters from New York City, Movie directors from New York City, Movie producers from New York City
Brian Aherne	1902 births, 1986 deaths, Deaths from heart failure, English movie actors, English stage actors, English television actors, Actors from Birmingham
Yes or No?	1920 movies, 1920s drama movies, American drama movies, American silent movies, Movies based on plays, Movies directed by Roy William Neill
Lilian Harvey	1906 births, 1968 deaths, Deaths from liver failure, English movie actors, English television actors, English stage actors, English radio actors, German movie actors, German television actors, German stage actors, Actors from London, Singers from London
The Price Mark	1917 movies, 1910s drama movies, American drama movies, American silent movies, Movies directed by Roy William Neill
