Taman Negara	Geography of Malaysia, National parks in Asia
Los Angeles FC	2010s establishments in California, 2014 establishments in California, American soccer teams, Major League Soccer teams, Sports in Los Angeles
Carlos Vela	1989 births, Living people, Mexican footballers, Association football forwards, Arsenal F.C. players, Premier League players, 2010 FIFA World Cup players, 2018 FIFA World Cup players
Diego Rossi	1998 births, Major League Soccer, Uruguayan footballers, Association football forwards, Sportspeople from Montevideo, Living people
Designated Player Rule	Major League Soccer
Geometric distribution	Probability distributions, Functions and mappings, Statistics
Predator 2	1990 action movies, 1990 science fiction movies, American science fiction movies, American action movies, 20th Century Fox movies, English-language movies, Predator movies, Movies set in California, Movies directed by Stephen Hopkins
Charlotte Forman	1784 deaths, English journalists
Frank the Pug	Fictional characters introduced in 1997, Fictional dogs, Fictional extraterrestrial characters
Eight Crazy Nights	2002 comedy movies, 2002 animated movies, Adult animated movies, American comedy movies, American animated movies, Basketball movies, English-language movies, Christmas movies, Columbia Pictures movies, Happy Madison movies, Movies set in the 1980s, Movies set in 2001, Screenplays by Adam Sandler
Back in the USSR (movie)	1992 thriller movies, American thriller movies, Japanese movies, Russian movies, 20th Century Fox movies, Movies directed by Deran Sarafian
The Sweatbox	2002 movies, The Emperor's New Groove, American documentary movies
Spyro Reignited Trilogy	2018 video games, Activision video games, Compilation video games, Nintendo Switch games, PlayStation 4 games, Spyro video games, Video game remakes, Xbox One games
All Dogs Go to Heaven	1989 action movies, 1980s adventure movies, 1980s buddy movies, 1989 comedy-drama movies, 1980s family movies, 1980s fantasy movies, 1980s musical movies, American action movies, American adventure movies, American animated movies, American buddy movies, American comedy-drama movies, American family movies, American fantasy-comedy movies, American musical comedy movies, British animated movies, British buddy movies, British comedy-drama movies, British family movies, English-language movies, Irish movies, MGM movies, Movies about dogs, Movies directed by Don Bluth
Anastasia (1997 movie)	1997 animated movies, 1990s fantasy movies, 1990s musical movies, American animated movies, American fantasy movies, American musical movies, Annie Award winners, English-language movies, Movies directed by Don Bluth, Movies set in Paris, Movies set in Russia, 20th Century Fox movies
Telly Monster	Fictional characters, Muppets
This Is My Life (movie)	1992 comedy movies, American comedy movies, Movies based on books, 20th Century Fox movies
The Odd Couple (movie)	1968 comedy movies, American comedy movies, Movies based on plays
Jacinda Barclay	1991 births, 2020 deaths, Australian rules footballers, Baseball players, Sportspeople from Western Australia, Sportswomen
Cover Up (1949 movie)	1949 movies, 1940s crime movies, 1940s mystery movies, American mystery movies, Movies directed by Alfred E. Green
Aluminium-26	Isotopes, Aluminium
Olivier Corpet	1949 births, 2020 deaths, Writers from Paris
Fred Nitz	Australian athletes, Sportspeople from Queensland, People with disabilities
Stellar nucleosynthesis	Nucleosynthesis, Astrophysics
Eye of the Tiger	Rock ballads, 1982 songs
Operation Amsterdam	1959 movies, 1950s action movies, 1950s war movies, British action movies, British war movies, Movies based on books, 20th Century Fox movies
Merge sort	Searching and sorting algorithms
Stable sorting algorithm	Searching and sorting algorithms
Geoff Peddle	1963 births, 2020 deaths, Anglican bishops, Anglican priests, People from Newfoundland and Labrador
Helmut Giesbrecht	1943 births, 2020 deaths, Canadian educators, Trade unionists, Ukrainian politicians, Politicians from British Columbia
John J. Creedon	1924 births, 2020 deaths, Businesspeople from New York City
Larchmont, New York	Villages in New York
Heapsort	Searching and sorting algorithms
Donald Pellmann	1915 births, 2020 deaths, Deaths from fractured hip, American centenarians, American track and field athletes, Sportspeople from Milwaukee, Wisconsin
Jay Porter	1933 births, 2020 deaths, Deaths from respiratory failure, Baltimore Orioles players, Cleveland Indians players, St. Louis Cardinals players, Detroit Tigers players, Washington Nationals players, Sportspeople from Oregon, Sportspeople from Oklahoma, People from Shawnee, Oklahoma
Jean Cardot	1930 births, 2020 deaths, French sculptors
Académie des Beaux-Arts	19th century establishments in France, 1816 establishments in Europe, Buildings and structures in Paris
Nevzat Güzelırmak	1942 births, 2020 deaths, Turkish footballers, Turkish football managers
The Incident (movie)	1967 crime movies, 1967 thriller movies, American crime thriller movies, Movies based on plays, 20th Century Fox movies, American independent movies, Movies directed by Larry Peerce
Göztepe S.K.	2000s establishments in Turkey, 2008 establishments in Asia, 2008 establishments in Europe, Turkish football clubs
Fernando Lopes (swimmer)	1964 births, 2020 deaths, Swimmers, Angolan people, Olympians
Carlos M. Rivera	2020 deaths, 1934 births, People from New York City
Chairman of the Communist Party of China	Chinese communist politicians, Politics of the People's Republic of China
Sadegh Malek Shahmirzadi	1940 births, 2020 deaths, Iranian writers, Archaeologists, Asian anthropologists
Aldo Brovarone	Italian businesspeople, Italian engineers, 2020 deaths, 1926 births
Ezra Schabas	1924 births, 2020 deaths, Musicians from New York City, Musicians from Toronto, American educators, Canadian educators, Writers from Toronto, Writers from New York City, Naturalized citizens of Canada
Chris Killip	Photographers, 2020 deaths, 1946 births, Educators, Manx people
