Hammered dulcimer	Early musical instruments
Imran Sherwani	1962 births, Living people, British ice hockey players, British Olympic gold medalists, Sportspeople from Staffordshire, People with Alzheimer's disease
Jeremy Paxman	1950 births, Living people, English journalists, BBC television presenters, Writers from Leeds, People with Parkinson's disease
COVID-19 pandemic in Iowa	History of Iowa, COVID-19 pandemic in the United States
Nova Peris	1971 births, Living people, 2000 Summer Olympics, Australian athletes, Australian Labor Party politicians, Australian Olympic gold medalists, Field hockey players, Indigenous Australian sportspeople, Medalists at the 1996 Summer Olympics, Members of the Australian Senate, Order of Australia, People from Darwin, Northern Territory, Politicians from the Northern Territory
President of Mauritius	Presidents of Mauritius
Prithvirajsing Roopun	1959 births, Living people, Presidents of Mauritius, Current national leaders
Raouf Bundhun	1937 births, Living people, Mauritian people, Vice presidents
Karl Offmann	1940 births, Living people, Presidents of Mauritius
Ameenah Gurib-Fakim	1959 births, Living people, Presidents of Mauritius
Pravind Jugnauth	1961 births, Living people, Prime Ministers of Mauritius, Current national leaders
Prime Minister of Mauritius	Prime Ministers of Mauritius
Seewoosagur Ramgoolam	1900 births, 1985 deaths, Prime Ministers of Mauritius
Paul Bérenger	1945 births, Living people, Prime Ministers of Mauritius
Navin Ramgoolam	1947 births, Living people, Prime Ministers of Mauritius
Kailash Purryag	1947 births, Living people, Presidents of Mauritius
Cassam Uteem	1941 births, Living people, Presidents of Mauritius
Veerasamy Ringadoo	1920 births, 2000 deaths, Presidents of Mauritius
Paradise Now	2005 drama movies, Palestinian movies, Dutch drama movies, French drama movies, German drama movies, Israeli movies, Movies directed by Hany Abu-Assad
Dendropsophus counani	Frogs, Animals of South America
Agnes Kalibata	African scientists, Rwandan people
Humf	Animated television characters, Animated television series
International Fertilizer Development Center	Agriculture, 1974 establishments in the United States
Urine-diverting dry toilet	Waste management
Abdulrasheed Bawa	1980 births, Living people
Mansur Dan Ali	Nigerian politicians
Aliyu Mohammed Gusau	1943 births, Living people, Nigerian military people
The Tattooist	2007 horror movies, New Zealand movies, Dutch movies, Singaporean movies
Theeb	2014 drama movies, 2014 thriller movies, 2010s adventure movies, 2010s drama thriller movies, Jordanian movies, British adventure movies, British drama movies, British thriller movies, United Arab Emirates movies, Qatari movies
Hessmer, Louisiana	Villages in Louisiana
Moreauville, Louisiana	Villages in Louisiana
Plaucheville, Louisiana	Villages in Louisiana
Captain Abu Raed	2007 drama movies, Jordanian movies
The Seventh Continent (1966 movie)	1966 movies, 1960s fantasy movies, Croatian movies, Czech movies
Aircalin	New Caledonia, Airlines of Oceania, 1983 establishments
Jamyang Tsering Namgyal	1985 births, Indian politicians, Living people
Nationwide	Companies of the United Kingdom
Lockton	1966 establishments in the United States, Insurance companies
DZ Bank	2001 establishments in Europe, 2000s establishments in Germany, Banks of Germany
Dekabank	1999 establishments in Germany, Banks of Germany
Green Man	Legendary creatures
1050	1050
Synonyms (movie)	2019 drama movies, Israeli movies, French drama movies, German drama movies
Lynn Whitfield	Award winning actors, African American actors, American television actors, American movie actors, Actors from Louisiana, People from Baton Rouge, Louisiana, 1953 births, Living people
Ethoi Oinam	Meitei people, Indian actors
Balzapata tree frog	Frogs, Animals of South America
Big Bang nucleosynthesis	Cosmology
Global Biodiversity Information Facility	2001 establishments in Europe, Biology, Research organizations in Europe
Kladno	Cities in the Czech Republic
Česká Třebová	Towns in the Czech Republic
Santa Maria delle Grazie	Churches in Italy
Worland, Wyoming	Cities in Wyoming, County seats in Wyoming
Maison-Ponthieu	Communes in Somme
Ghost Town (2008 movie)	2008 comedy movies, 2000s fantasy-comedy movies, American fantasy-comedy movies, DreamWorks Pictures movies, Paramount movies, Movies directed by David Koepp
Poltava	Cities in Ukraine
Sumy	Cities in Ukraine
Eighteam	2015 movies, Documentary movies, Spanish movies, Zambian movies
Rivne	Cities in Ukraine
Makiivka	Cities in Ukraine
Jesse Marsch	1973 births, Living people, Association football midfielders
Rakhiv	Cities in Ukraine, Zakarpattia Oblast
Stepmom (1998 movie)	1998 comedy-drama movies, American comedy-drama movies, English-language movies, Movies about dysfunctional families, Cancer in movies, Movies directed by Chris Columbus
30 Days of Night (movie)	2007 horror movies, American horror movies, New Zealand movies, Movies based on books
Omar (movie)	2013 drama movies, Palestinian movies, Movies directed by Hany Abu-Assad
Cybernator	1992 video games, PlayStation 2 games, Super Nintendo Entertainment System games, Video game prequels, Video games developed in Japan, Virtual Console games
Grand Cinema	1989 comedy movies, Iranian movies
Return from Hell	1983 drama movies, Romanian movies, Movies directed by Nicolae Mărgineanu
Stefan Luchian (movie)	1981 drama movies, 1980s biographical movies, Romanian movies, Movies directed by Nicolae Mărgineanu
The Idol (2015 movie)	2015 drama movies, Palestinian movies, British drama movies, Qatari movies, Dutch drama movies, Egyptian movies, United Arab Emirates movies, Movies directed by Hany Abu-Assad
Name and Title Authority File of Catalonia	Catalonia
Honeyland	2019 movies, Documentary movies, Macedonian movies
Vacoas-Phoenix	Settlements in Mauritius
Kelč	Towns in the Czech Republic
Heřmanice (Havlíčkův Brod District)	Villages in the Czech Republic
Habry	Towns in the Czech Republic
Karviná	Cities in the Czech Republic
Wodzisław Śląski	Towns in Poland
Rodrigues	Islands of Africa, Geography of Mauritius
Topaz Energy	Companies of Europe, 2018 disestablishments
Friederike Mayröcker	1924 births, 2021 deaths, Austrian poets
Atal Bihari Panda	1920s births, 2021 deaths, Indian movie actors, Indian stage actors, Indian playwrights, Lyricists
Karla Burns	1954 births, 2021 deaths, American opera singers, American stage actors, Actors from Wichita, Kansas, Singers from Kansas, Drama Desk Award winners
Fernando Lima Bello	1931 births, 2021 deaths, Olympians, Sailors, Sportspeople from Lisbon
Edward F. Crawford	1938 births, Living people, Ambassadors of the United States to Ireland, Businesspeople from Los Angeles, California, Politicians from Los Angeles, California, US Republican Party politicians
New Vernon, New Jersey	Unincorporated communities in New Jersey
Harding Township, New Jersey	Townships in New Jersey
Green Village, New Jersey	Unincorporated communities in New Jersey
Chatham Township, New Jersey	Townships in New Jersey
Ingrid Bisu	1987 births, Living people, Romanian movie actors, Romanian movie producers, Romanian screenwriters, Romanian television actors, German movie actors, German television actors, German screenwriters, German movie producers, People from Bucharest
Bonnie Aarons	1979 births, Living people, American movie actors, American television actors, Actors from Los Angeles, California, Writers from Los Angeles, California
Burdur	Cities in Turkey
Muş	Cities in Turkey
Sony Pictures Networks India	1995 establishments in Asia, 1990s establishments in India
Hardwick, Baldwin County, Georgia	Census-designated places in Georgia (U.S. state)
Vadim Kapranov	1940 births, 2021 deaths, Soviet Olympic medalists, Basketball players, Sportspeople from Moscow
Jacques Amalric	1938 births, 2021 deaths, French journalists, Editors
The Mill of Good Luck	1955 drama movies, Romanian movies, Movies based on short stories, Movies directed by Victor Iliu
Morteza Jafarzadeh	1986 births, Living people, Iranian singers
Maiba	Meitei culture, Meitei folklore, Meitei religion
Colombian peso	Currency of South America, Colombia
Rocky IV	1985 drama movies, 1980s sports movies, 1980s sequel movies, American sequel movies, Rocky movies, MGM movies, Movies directed by Sylvester Stallone
Maibi	Meitei culture, Meitei folklore, Meitei religion
Rocky V	1990s sports movies, 1990 drama movies, 1990s sequel movies, American sequel movies, Rocky movies, Movies directed by John G. Avildsen
Nupa Maibi	Meitei culture, Meitei folklore, Meitei religion
Happy New Year	Redirects for convenience
Yves Leterme	1960 births, Living people, Belgian Roman Catholics, Christelijke Volkspartij politicians, Christen-Democratisch en Vlaams politicians, Flemish politicians, Government ministers of Belgium, People from West Flanders, Prime Ministers of Belgium
Giovanni Simeone	1995 births, Living people, Argentine footballers, Sportspeople from Madrid
Young (Tulisa song)	2012 songs, Debut singles, Tulisa songs, Dance songs, House songs, R&B songs
Maison-Roland	Communes in Somme
Maizicourt	Communes in Somme
Malpart	Communes in Somme
Marcelcave	Communes in Somme
Saint-Vincent-les-Forts	Former communes in Alpes-de-Haute-Provence
Meyronnes	Former communes in Alpes-de-Haute-Provence
Fleurat	Communes in Creuse
Posthumous (movie)	2014 romance movies, 2014 comedy movies, 2010s romantic comedy movies, American romantic comedy movies, German romance movies, German comedy movies
The Fixx	New wave bands, Musical groups from London, Musical groups established in 1979, English rock bands
Marché-Allouarde	Communes in Somme
Marestmontiers	Communes in Somme
Mareuil-Caubert	Communes in Somme
Maricourt, Somme	Communes in Somme
Causapscal	Cities and towns in Quebec
Albertville, Quebec	Settlements in Quebec
Dendropsophus kamagarini	Frogs, Animals of South America
Marieux	Communes in Somme
Marlers	Communes in Somme
Association Trio	Treaties, 2021 establishments
Chow Hang Tung	Alumni of the University of Cambridge, Living people, 1985 births
Black Butterflies	2011 drama movies, 2010s biographical movies, Dutch drama movies, South African movies, Movies directed by Paula van der Oest
