Magan (civilization)	Ancient history, Middle East
Phanek	Meitei culture, Meitei clothing
Folsom Lake College	Sacramento County, California
Los Rios Community College District	1965 establishments in California
Anna Akhmatova	Russian poets
Supreme Court of Justice of the Nation	Mexico
Crimson Peak	2015 romance movies, American romance movies, Universal Pictures movies, Movies directed by Guillermo del Toro
Blue Peter	British children's television series
Nele Hertling	1934 births, Living people, People from Berlin, German theatre directors
Todd Scully	1948 births, 2021 deaths, American track and field athletes, Sportspeople from New Jersey, People from Princeton, New Jersey
Big Island, Virginia	Census-designated places in Virginia
Gérard Farison	1944 births, 2021 deaths, French footballers, French football managers
Franco Graziosi	1929 births, 2021 deaths, Italian movie actors, Italian television actors, Italian stage actors, Italian voice actors
Uno Loop	1930 births, 2021 deaths, Competitors in athletics, Estonian sportspeople, Estonian educators, Movie actors, Deaths from Alzheimer's disease
Keila	Settlements in Estonia
Camarines Sur	Provinces of the Philippines
Pili, Camarines Sur	Cities in the Philippines
Jordi Rebellón	1957 births, 2021 deaths, Deaths from stroke, Spanish movie actors, Spanish television actors, Spanish stage actors, Spanish voice actors, Actors from Madrid, People from Barcelona
Luis Villafuerte	1935 births, 2021 deaths, Filipino politicians
Yevgeny Zinichev	1966 births, 2021 deaths, People from Saint Petersburg, Russian generals
Enugu	Cities in Nigeria
Proton Bus Simuator	2017 video games, Bus simulation video games, Bus Simulator, Android (operating system) games, Single-player video games, Video games developed in Brazil, Windows games
Khudei	Meitei culture, Meitei clothing
Star Pravah	Television channels, Companies of India, 2008 establishments in Asia, 2000s establishments in India
Wooden toy train	Toys, Trains
Ventray	Companies of Canada, Home appliances
Lanmei Thanbi	Meitei folklore, Meitei mythology
Phyllomedusa coelestis	Frogs, Animals of South America
Medusa with the Head of Perseus	Art, Statues, Feminism
Zhiar Ali	Kurdish musicians, Kurdish singer-songwriters, Kurdish activists, LGBT rights activists from Iraq, Animal rights activists, Kurdish journalists
Mithali Raj	1982 births
David Ansah Opoku	Pages created with the Article Wizard from 2021
Jacquie O'Sullivan	1960 births, Living people, Singers from London
Siobhan Fahey	1958 births, Irish singer-songwriters, Living people
Sara Dallin	1961 births, Living people, English singers
Keren Woodward	1961 births, English singer-songwriters, Living people
Dale Bozzio	1955 births, Living people, American singers
List of LGBT firsts by year	History, LGBT
Alimony	Law, Marriage
Go, Dog. Go! (TV series)	Fictional dogs, Canadian children's television series, American children's television series, 2020s animated television series, American animated television series, Canadian animated television series, English-language television programs
Michael Constantine	1927 births, 2021 deaths, Emmy Award winning actors, Satellite Award winners, American movie actors, American television actors, American stage actors, American voice actors, Actors from Pennsylvania
Tangerang prison fire	2021 disasters, 2021 in Asia, 2020s disasters in Asia, 2020s in Indonesia, Banten, Building and structure fires in Asia, Disasters in Indonesia, History of Java, September 2021 events
The Magnetic Fields	1989 establishments, American pop music groups
Robert P. Hollenbeck	1931 births, 2021 deaths, State legislators of the United States, Politicians from New Jersey, US Democratic Party politicians
Carlstadt, New Jersey	Boroughs in New Jersey
Barnegat Township, New Jersey	Townships in New Jersey, Ocean County, New Jersey
Betty Karnette	1931 births, 2021 deaths, State legislators of the United States, Politicians from Kentucky, Politicians from California, People from Long Beach, California, US Democratic Party politicians
Dietmar Lorenz	1950 births, 2021 deaths, German Olympic gold medalists, German Olympic bronze medalists, Judoka
Aleksandr Melnik	1958 births, 2021 deaths, Accidental deaths from falls, Russian movie directors, Russian movie producers, Russian screenwriters
Art Metrano	1936 births, 2021 deaths, American movie actors, American television actors, American stage actors, Actors from New York City, Comedians from New York City, Deaths from natural causes in the United States
Ludovico Vico	1952 births, 2021 deaths, Italian politicians
Manduria	Cities in Apulia
Urbain Braems	1933 births, 2021 deaths, Belgian football managers, Belgian footballers
Timothy Colman	1929 births, 2021 deaths, British businesspeople, People from Norfolk
Marian Duś	1938 births, 2021 deaths, Roman Catholic bishops, Polish Roman Catholics
Caspar Einem	1948 births, 2021 deaths, Austrian politicians, Austrian businesspeople
Academia Brasileira de Letras	Brazil
Tarcísio Padilha	1928 births, 2021 deaths, Brazilian writers, Philosophers, People from Rio de Janeiro, Deaths from the COVID-19 pandemic in Brazil
Danilo Popivoda	1947 births, 2021 deaths, Slovenian football managers, Slovenian footballers, Yugoslavian sportspeople
Winnie Harlow	1994 births, Living people, Canadian models, Canadian activists, People from Ontario
Larry Elder	1952 births, Living people, American lawyers, American radio personalities, American political writers, American conservatives, Businesspeople from Los Angeles, California, Politicians from Los Angeles, California, Entertainers from Los Angeles, California, US Republican Party politicians
Joey Greco	Living people, 1972 births, American movie actors, American television actors, Television personalities from New York, Actors from New York
Abd al-Aziz Bin Baz	1910 births, 1999 deaths, People from Riyadh, Imams
