RunNumber,GuessTillWin,Word
1,160,ultimately
2,327,encouraging
3,94,merely
4,3808,lemon
5,3455,derive
6,512,source
7,2426,bed
8,3296,sculpture
9,516,primarily
10,1934,tolerate
11,42,none
12,409,mechanism
13,1822,category
14,1696,odd
15,3528,developer
16,3274,poster
17,73,situation
18,2035,ironically
19,1773,king
20,258,influence
21,330,period
22,1105,red
23,3812,seminar
24,4178,German
25,894,school
26,1515,terrible
27,119,produce
28,765,remaining
29,2799,guilt
30,105,subject
31,3156,tail
32,1889,fragile
33,2049,ceiling
34,2147,golf
35,1659,contemporary
36,1150,visible
37,1438,absolute
38,271,status
39,3894,painter
40,886,threaten
