RunNumber,GuessTillWin,Word
1,62,ultimately
2,244,encouraging
3,1028,merely
4,2474,lemon
5,1109,derive
6,2180,source
7,2931,bed
8,2895,sculpture
9,189,primarily
10,1227,tolerate
11,1587,none
12,837,mechanism
13,1725,category
14,2918,odd
15,608,developer
16,2916,poster
17,226,situation
18,243,ironically
19,2888,king
20,480,influence
21,1076,period
22,2925,red
23,1332,seminar
24,685,testing
25,2504,school
26,514,terrible
27,1389,produce
28,550,remaining
29,2638,guilt
30,538,subject
31,2933,tail
32,2938,fragile
33,1574,ceiling
34,2282,golf
35,64,contemporary
36,744,visible
37,2947,absolute
38,1282,status
39,1531,painter
40,748,threaten
