RunNumber,GuessTillWin,Word
1,4053,ultimately
2,3895,encouraging
3,2820,merely
4,619,lemon
5,1949,derive
6,3043,source
7,292,bed
8,2967,sculpture
9,3771,primarily
10,2198,tolerate
11,1231,none
12,3542,mechanism
13,2997,category
14,92,odd
15,3128,developer
16,1751,poster
17,3939,situation
18,3989,ironically
19,1019,king
20,3703,influence
21,2587,period
22,277,red
23,2269,seminar
24,2979,testing
25,2533,school
26,3399,terrible
27,2927,produce
28,3751,remaining
29,685,guilt
30,3781,subject
31,664,tail
32,2070,fragile
33,1721,ceiling
34,106,golf
35,4135,contemporary
36,2901,visible
37,3370,absolute
38,1892,status
39,2096,painter
40,2927,threaten
