RunNumber,GuessTillWin,Word
1,130,ultimately
2,382,encouraging
3,134,merely
4,3926,lemon
5,3408,derive
6,494,source
7,2531,bed
8,3775,sculpture
9,563,primarily
10,2192,tolerate
11,43,none
12,623,mechanism
13,2217,category
14,2383,odd
15,3569,developer
16,3534,poster
17,123,situation
18,2111,ironically
19,2363,king
20,540,influence
21,89,period
22,1762,red
23,3988,seminar
24,4178,German
25,1178,school
26,2037,terrible
27,555,produce
28,1460,remaining
29,2890,guilt
30,107,subject
31,3384,tail
32,2573,fragile
33,2300,ceiling
34,2768,golf
35,2204,contemporary
36,1568,visible
37,1719,absolute
38,242,status
39,3995,painter
40,1051,threaten
