RunNumber,GuessTillWin,Word
1,947,approve
2,2061,mask
3,4084,sin
4,3942,characteristic
5,621,administrator
6,379,angry
7,1890,dirt
8,99,boil
9,558,acquisition
10,2870,slice
11,49,steadily
12,161,neighbor
13,2227,celebrate
14,355,totally
15,268,gaze
16,873,expectation
17,1970,explosion
18,909,mysterious
19,1360,prescription
20,600,yell
21,886,beach
22,2437,winner
23,3021,alien
24,1726,capable
25,1284,treatment
26,4000,laugh
27,350,traditionally
28,2473,sensation
29,59,hunt
30,222,compel
31,1866,visible
32,2175,drunk
33,3127,softly
34,459,bless
35,2407,electric
36,1468,seven
37,3286,chairman
38,538,auction
39,2595,deputy
40,3164,margin
41,1021,fabric
42,1903,boy
43,126,west
44,2486,bell
45,1309,curtain
46,971,transmit
47,185,hall
48,1993,lens
49,3293,rid
50,688,coordinate
51,4025,transit
52,3129,relation
53,2898,hat
54,2841,romantic
55,3274,selected
56,1502,exceed
57,1388,equivalent
58,2089,independent
59,874,gay
60,3012,implication
61,1759,weight
62,3008,practical
63,2944,daughter
64,3594,approval
65,550,constitute
66,1545,purple
67,2428,farm
68,1238,demonstration
69,1471,engagement
70,2439,realistic
71,3620,panel
72,97,discount
73,1778,radical
74,3473,heavily
75,1336,lawsuit
76,3324,delivery
77,3811,statue
78,4114,fucking
79,1790,billion
80,3069,pregnancy
81,879,confidence
82,500,deadline
83,2967,appreciate
84,1332,prize
85,3397,extreme
86,3469,pillow
87,1711,grow
88,4023,autonomy
89,28,excuse
90,1229,balance
91,749,achieve
92,2260,agency
93,139,confident
94,1541,jump
95,40,twentieth
96,220,format
97,2640,tree
98,843,chef
99,553,protocol
100,1895,telephone
101,2086,upset
102,3859,fisherman
103,757,reflect
104,3877,firmly
105,1340,pitch
106,1561,league
107,428,court
108,515,capital
109,3445,pin
110,4028,cite
111,3629,favor
112,3434,oil
113,3895,somehow
114,1295,evening
115,3538,intend
116,181,prior
117,79,circuit
118,2167,bubble
119,1782,harmony
