RunNumber,GuessTillWin,Word
1,1030,celebration
2,2786,bold
3,3867,others
4,1326,Greek
5,3432,rid
6,1227,pool
7,877,welfare
8,3879,shirt
9,2840,heat
10,2246,bomb
11,1715,pursuit
12,1437,concerned
13,546,calculate
14,283,split
15,2220,model
16,376,baseball
17,3848,traffic
18,3194,nation
19,1583,abortion
20,10,God
21,4225,mixed
22,245,star
23,2921,hunter
24,2760,economy
25,3042,assistance
26,3876,time
27,2919,angry
28,3002,alarm
29,2686,wise
30,1149,official
31,2208,terror
32,3675,clerk
33,1580,solely
34,2216,dear
35,3420,diet
36,797,achieve
37,2456,remark
38,678,continued
39,1793,regulate
40,2391,worldwide
41,3842,advise
42,3642,radical
43,3870,entrance
44,2524,champion
45,3427,pregnancy
46,3703,phone
47,3767,debris
48,2814,survival
49,2565,comfort
50,1784,living
51,3758,appear
52,1414,scope
53,1754,fiscal
54,3332,chamber
55,3054,elect
56,3603,harvest
57,728,toilet
58,2880,involve
59,44,neutral
60,1695,Roman
61,623,without
62,3992,mill
63,3367,nearby
64,2531,chip
65,2301,per
66,1818,airplane
67,2844,analyze
68,561,improve
69,3352,adolescent
70,2634,flexibility
71,668,tail
72,1923,facilitate
73,3474,beg
74,998,letter
75,1071,advantage
76,1619,tourism
77,362,required
78,900,Democrat
79,1109,steep
80,1829,demonstration
81,1514,pine
82,1063,humanity
83,1747,cemetery
84,1970,shrink
85,4117,informal
86,2453,civilian
87,1645,invitation
88,21,profession
89,1405,famous
90,2062,ankle
91,2603,negotiation
92,1873,aim
93,1842,impulse
94,4035,car
95,2629,essential
96,1626,shadow
97,4217,hill
98,428,evidence
99,3199,palm
100,1806,show
101,3548,regulation
102,80,logic
103,2567,socially
104,365,defensive
105,2076,reinforce
106,367,equality
107,2907,butt
108,1162,enhance
109,2084,pregnant
110,1048,tour
111,3651,coordinator
112,2450,carve
113,606,fluid
114,395,green
115,3686,briefly
116,4124,doubt
117,2114,sole
118,3982,criticism
119,951,tide
120,1342,wisdom
121,700,main
122,2131,measurement
123,2461,boy
124,449,member
125,3340,detective
126,2689,allegedly
127,261,freely
128,1823,estimated
129,3208,patience
130,2033,twist
131,1144,round
132,1635,alive
133,2707,diagnosis
134,2369,dessert
135,3398,excellent
136,1228,scramble
137,1486,four
138,1217,wave
139,1446,frequency
140,287,merchant
141,1215,streak
142,2872,correct
143,3049,gather
144,648,technique
145,787,instruction
146,82,strength
147,1415,shy
148,2156,commander
149,3601,territory
150,3139,major
151,527,encouraging
152,2370,defense
153,875,forehead
154,1121,slam
155,2314,piece
156,2366,relief
157,3532,margin
158,2320,entry
159,1621,transmit
160,3907,consumption
161,2213,abroad
162,3484,limb
163,2120,accounting
164,136,halfway
165,1266,union
166,3350,workshop
167,1031,football
168,334,initiate
169,3385,week
170,4078,special
171,1683,security
172,3656,excessive
173,474,globe
174,1270,enjoy
175,2186,earnings
176,3091,passage
177,1528,personnel
178,1977,correspondent
179,1497,output
180,2765,feeling
181,782,onion
182,699,valid
183,3166,investor
184,3012,suggest
185,275,order
186,3237,note
187,1788,symbol
188,4024,interior
189,3885,process
190,4206,estimate
191,3303,interpret
192,4089,absolutely
193,884,credibility
194,1706,accent
195,987,price
196,3632,endless
197,3970,lawyer
198,3496,tire
199,3510,subtle
200,2960,contest
201,3073,expedition
202,773,director
203,4146,equally
204,3954,spit
205,3755,prayer
206,369,classroom
207,3578,gear
208,3225,bed
209,1472,contend
210,3541,preparation
211,1932,voting
212,4131,mouse
213,2801,block
214,2085,convey
215,2990,myth
216,3735,clay
217,563,horn
218,3038,shuttle
219,1454,shareholder
220,612,ten
221,2032,amid
222,3606,flexible
223,1017,perceived
224,2890,zone
225,4042,beach
226,1768,classify
227,3731,oak
228,1118,tap
229,3558,stretch
230,809,ad
231,2886,unusual
232,2597,closest
233,3928,include
234,911,company
235,360,portrait
236,192,emphasize
237,4038,lifetime
238,3911,strict
239,237,expect
240,3335,pink
241,1192,heavy
242,704,curious
243,2845,chew
244,2449,mood
245,2404,culture
246,754,conscience
247,2515,possibly
248,3001,opposition
249,4122,absence
250,4001,speak
251,219,stumble
252,1170,agent
253,551,suffer
254,2386,web
255,3779,enable
256,1822,visible
257,2875,explosion
258,1778,competitor
259,2129,restrict
260,2535,holiday
261,3542,leading
262,1350,midnight
263,805,ban
264,2798,fall
265,3029,clothes
266,3839,housing
267,1813,elevator
268,3619,comedy
269,3384,bullet
270,585,tie
271,2945,tendency
272,3260,stimulus
273,2793,favorite
274,2251,bank
275,3649,indicate
276,3877,possible
277,645,pocket
278,2319,distinct
279,3552,preserve
280,3721,desperately
281,1079,attendance
282,1258,naked
283,1223,impose
284,232,conservative
285,1726,finger
286,4168,expert
287,930,logical
288,2477,isolation
289,2882,aggression
290,2417,procedure
291,997,representative
292,1491,excited
293,3123,disc
294,2284,expose
