RunNumber,GuessTillWin,Word
1,321,columnist
2,913,university
3,1236,readily
4,2535,painting
5,3998,tourist
6,3562,advocate
7,1540,send
8,2191,neighboring
9,609,oven
10,2743,know
11,3470,opposition
12,3688,trait
13,4163,worker
14,3308,honey
15,3708,candidate
16,403,initiate
17,2197,date
18,3816,opponent
19,633,deny
20,2301,secret
21,192,ownership
22,1412,morning
23,1957,southern
24,43,suppose
25,1700,oppose
26,1689,gut
27,386,bottom
28,2498,rhythm
29,601,particle
30,2313,cancel
31,702,bee
32,2664,separate
33,2794,war
34,2756,staff
35,2530,notion
36,3487,till
37,193,drug
38,517,travel
39,905,prefer
40,2739,invention
