RunNumber,GuessTillWin,Word
1,3694,celebration
2,3693,bold
3,3692,others
4,3691,Greek
5,3690,rid
6,1,pool
7,4227,welfare
8,3689,shirt
9,3688,heat
10,3687,bomb
11,3686,pursuit
12,3685,concerned
13,3684,calculate
14,2,split
15,3683,model
16,3682,baseball
17,3681,traffic
18,3680,nation
19,4227,abortion
20,3679,God
21,3678,mixed
22,3677,star
23,3676,hunter
24,3675,economy
25,3674,assistance
26,4226,time
27,3673,angry
28,4224,alarm
29,3672,wise
30,3671,official
31,3,terror
32,3670,clerk
33,3669,solely
34,4225,dear
35,3668,diet
36,4223,achieve
37,4222,remark
38,3667,continued
39,4221,regulate
40,4220,worldwide
41,4219,advise
42,4217,radical
43,4,entrance
44,4218,champion
45,3666,pregnancy
46,3665,phone
47,4216,debris
48,3664,survival
49,4215,comfort
50,3663,living
51,4214,appear
52,4213,scope
53,3662,fiscal
54,4212,chamber
55,3661,elect
56,4211,harvest
57,4210,toilet
58,4209,involve
59,3660,neutral
60,3659,Roman
61,4208,without
62,3658,mill
63,3657,nearby
64,4207,chip
65,4206,per
66,3656,airplane
67,3655,analyze
68,4204,improve
69,4205,adolescent
70,4202,flexibility
71,5,tail
72,3654,facilitate
73,3653,beg
74,4203,letter
75,4201,advantage
76,4200,tourism
77,3652,required
78,3651,Democrat
79,4199,steep
80,3650,demonstration
81,4198,pine
82,3649,humanity
83,3648,cemetery
84,4197,shrink
85,4196,informal
86,4195,civilian
87,3647,invitation
88,3646,profession
89,4194,famous
90,4193,ankle
91,4192,negotiation
92,4191,aim
93,4190,impulse
94,4189,car
95,3645,essential
96,4188,shadow
97,4187,hill
98,4186,evidence
99,4185,palm
100,3644,show
101,4184,regulation
102,3643,logic
103,3642,socially
104,4183,defensive
105,3641,reinforce
106,4182,equality
107,4181,butt
108,3640,enhance
109,3639,pregnant
110,4180,tour
111,4179,coordinator
112,4178,carve
113,3638,fluid
114,3637,green
115,3636,briefly
116,4177,doubt
117,4176,sole
118,4175,criticism
119,3635,tide
120,4174,wisdom
121,4173,main
122,4171,measurement
123,3634,boy
124,3633,member
125,6,detective
126,3632,allegedly
127,3631,freely
