RunNumber,GuessTillWin,Word
1,1949,columnist
2,3010,university
3,201,readily
4,1651,painting
5,2576,tourist
6,3678,advocate
7,1777,send
8,2828,neighboring
9,3350,oven
10,362,know
11,1787,opposition
12,3105,trait
13,2778,worker
14,3860,honey
15,2963,candidate
16,1419,initiate
17,3599,date
18,125,opponent
19,1616,deny
20,2958,secret
21,305,ownership
22,2654,morning
23,3167,southern
24,276,suppose
25,129,oppose
26,3681,gut
27,532,bottom
28,156,rhythm
29,1275,particle
30,776,cancel
31,225,bee
32,2598,separate
33,3134,war
34,3116,staff
35,1662,notion
36,770,till
37,2774,drug
38,2667,travel
39,879,prefer
40,3040,invention
