RunNumber,GuessTillWin,Word
1,1,agent
2,1,super
3,1,ticket
4,1,fifty
5,1,automatically
6,1,calculate
7,1,store
8,1,actual
9,1,tension
10,1,reservation
11,1,illusion
12,1,resign
13,1,AIDS
14,1,adequate
15,1,blessing
16,1,tape
17,1,operator
18,1,retired
19,1,abandon
20,1,shut
21,1,body
22,1,exist
23,1,object
24,1,find
25,1,card
26,1,visible
27,1,powerful
28,1,rabbit
29,1,comfortable
30,1,attach
31,1,seat
32,1,cargo
33,1,trail
34,1,leaf
35,1,born
36,1,voting
37,1,ask
38,1,illustrate
39,1,camp
40,1,moderate
41,1,share
42,1,consumption
43,1,agree
44,1,trip
45,1,restaurant
46,1,fee
47,1,noon
48,1,player
49,1,realize
50,1,investigation
