RunNumber,GuessTillWin,Word
1,4119,columnist
2,2049,university
3,2643,readily
4,36,painting
5,2393,tourist
6,2327,advocate
7,87,send
8,2140,neighboring
9,3955,oven
10,117,know
11,744,opposition
12,3959,trait
13,1633,worker
14,3974,honey
15,1443,candidate
16,2860,initiate
17,202,date
18,1964,opponent
19,1533,deny
20,1150,secret
21,659,ownership
22,42,morning
23,972,southern
24,2994,suppose
25,1195,oppose
26,3722,gut
27,1643,bottom
28,3345,rhythm
29,3859,particle
30,2782,cancel
31,4074,bee
32,404,separate
33,36,war
34,741,staff
35,330,notion
36,2466,till
37,854,drug
38,499,travel
39,225,prefer
40,3086,invention
