RunNumber,GuessTillWin,Word
1,1592,celebration
2,1772,bold
3,268,others
4,109,Greek
5,683,rid
6,2011,pool
7,3298,welfare
8,1866,shirt
9,65,heat
10,676,bomb
11,3406,pursuit
12,2518,concerned
13,3368,calculate
14,2377,split
15,4110,model
16,3334,baseball
17,1955,traffic
18,2621,nation
19,2365,abortion
20,3817,God
21,2574,mixed
22,1057,star
23,32,hunter
24,282,economy
25,1067,assistance
26,3378,time
27,2096,angry
28,2123,alarm
29,3937,wise
30,1648,official
31,127,terror
32,661,clerk
33,3502,solely
34,401,dear
35,1843,diet
36,1101,achieve
37,4014,remark
38,3905,continued
39,2892,regulate
40,2498,worldwide
41,1380,advise
42,2876,radical
43,3445,entrance
44,2885,champion
45,3442,pregnancy
46,779,phone
47,1060,debris
48,3872,survival
49,1570,comfort
50,1792,living
51,576,appear
52,3415,scope
53,2786,fiscal
54,3988,chamber
55,517,elect
56,3419,harvest
57,764,toilet
58,212,involve
59,3273,neutral
60,4123,Roman
61,823,without
62,1880,mill
63,1072,nearby
64,25,chip
65,2324,per
66,2965,airplane
67,2326,analyze
68,1155,improve
69,2034,adolescent
70,3922,flexibility
71,4141,tail
72,2552,facilitate
73,108,beg
74,2344,letter
75,3278,advantage
76,3107,tourism
77,2549,required
78,3276,Democrat
79,3234,steep
80,2622,demonstration
81,1946,pine
82,2135,humanity
83,1326,cemetery
84,902,shrink
85,2155,informal
86,3522,civilian
87,440,invitation
88,649,profession
89,2186,famous
90,1209,ankle
91,2211,negotiation
92,2699,aim
93,1445,impulse
94,2693,car
95,3383,essential
96,1911,shadow
97,3179,hill
98,2775,evidence
99,799,palm
100,713,show
101,2629,regulation
102,217,logic
103,408,socially
104,2694,defensive
105,1734,reinforce
106,775,equality
107,1503,butt
108,3546,enhance
109,3783,pregnant
110,685,tour
111,1743,coordinator
112,3820,carve
113,2416,fluid
114,3076,green
115,567,briefly
116,2954,doubt
117,1638,sole
118,3797,criticism
119,2017,tide
120,309,wisdom
121,86,main
122,1398,measurement
123,566,boy
124,1432,member
125,426,detective
126,577,allegedly
127,596,freely
128,2431,estimated
129,573,patience
130,1486,twist
131,1286,round
132,1867,alive
133,1097,diagnosis
134,2667,dessert
135,1055,excellent
136,3098,scramble
137,2033,four
138,34,wave
139,2942,frequency
140,2450,merchant
141,4067,streak
142,1328,correct
143,546,gather
144,30,technique
145,2719,instruction
146,186,strength
147,825,shy
148,766,commander
149,1219,territory
150,2306,major
151,1826,encouraging
152,1586,defense
153,1934,forehead
154,2379,slam
155,1667,piece
156,2308,relief
157,3516,margin
158,3807,entry
159,1157,transmit
160,96,consumption
161,118,abroad
162,2999,limb
163,2391,accounting
164,2256,halfway
165,3216,union
166,2642,workshop
167,2687,football
168,575,initiate
169,2153,week
170,2997,special
171,2039,security
172,4183,excessive
173,3881,globe
174,3021,enjoy
175,2809,earnings
176,4193,passage
177,1051,personnel
178,729,correspondent
179,3290,output
180,615,feeling
181,1135,onion
182,1580,valid
183,3404,investor
184,2920,suggest
185,1480,order
186,782,note
187,4116,symbol
188,1444,interior
189,1830,process
190,1419,estimate
191,831,interpret
192,1546,absolutely
193,2789,credibility
194,1701,accent
195,732,price
196,2708,endless
197,698,lawyer
198,2036,tire
199,1349,subtle
200,337,contest
201,1267,expedition
202,265,director
203,1942,equally
204,2756,spit
205,311,prayer
206,1123,classroom
207,3299,gear
208,3192,bed
209,1781,contend
210,2747,preparation
211,2889,voting
212,673,mouse
213,3009,block
214,2973,convey
215,807,myth
216,2043,clay
217,3197,horn
218,3823,shuttle
219,2763,shareholder
220,3749,ten
221,3759,amid
222,2154,flexible
223,2351,perceived
224,843,zone
225,504,beach
226,908,classify
227,2162,oak
228,1901,tap
229,4005,stretch
230,3070,ad
231,2819,unusual
232,1372,closest
233,3802,include
234,2826,company
235,3665,portrait
236,149,emphasize
237,2318,lifetime
238,1015,strict
239,4138,expect
240,2512,pink
241,2044,heavy
242,2361,curious
243,1578,chew
244,243,mood
245,773,culture
246,3620,conscience
247,1576,possibly
248,3711,opposition
249,1269,absence
250,907,speak
251,2507,stumble
252,1617,agent
253,2581,suffer
254,803,web
255,3072,enable
256,4104,visible
257,2185,explosion
258,3681,competitor
259,1778,restrict
260,2218,holiday
261,1624,leading
262,924,midnight
263,3100,ban
264,173,fall
265,3120,clothes
266,3720,housing
267,1697,elevator
268,898,comedy
269,2488,bullet
270,1967,tie
271,2683,tendency
272,3328,stimulus
273,2732,favorite
274,1083,bank
275,2641,indicate
276,651,possible
277,430,pocket
278,1857,distinct
279,2345,preserve
280,3437,desperately
281,3229,attendance
282,1760,naked
283,3768,impose
284,3688,conservative
285,4170,finger
286,1676,expert
287,1603,logical
288,3757,isolation
289,3785,aggression
290,2745,procedure
291,827,representative
292,3763,excited
293,562,disc
294,965,expose
295,2249,machine
296,2411,son
297,2422,university
298,3173,announcement
299,249,extended
300,2531,party
301,1758,perfect
302,131,apparently
303,2536,rim
304,126,establishment
305,2793,say
306,3499,progressive
307,599,input
308,1020,demographic
309,1910,municipal
310,2671,criminal
311,1799,arrow
312,380,pick
313,2926,physics
314,1439,infrastructure
315,3632,fun
316,4091,marble
317,1010,right
318,1212,receiver
319,3083,observer
320,3692,nomination
321,1637,medal
322,1522,verbal
323,2101,rational
324,2921,spirit
325,3647,entertainment
326,1979,dough
327,3943,anything
328,3812,lend
329,1140,hence
330,4127,bad
331,626,rough
332,2401,election
333,259,norm
334,1476,away
335,1514,beneath
336,895,consensus
337,2544,smile
338,1977,visual
339,684,effective
340,3965,regret
341,369,transit
342,314,stable
343,3947,water
344,1206,icon
345,541,huge
346,3329,tube
347,4072,truck
348,166,exposure
349,3085,grand
350,1520,aside
351,274,status
352,1102,occur
353,2111,numerous
354,407,somebody
355,839,acquire
356,925,rush
357,2784,tax
358,2971,wage
359,1938,surprisingly
360,2193,bucket
361,3472,spine
362,2259,turn
363,444,aesthetic
364,1564,cow
365,3958,confession
366,4022,build
367,3199,could
368,1767,hang
369,3877,influential
370,2582,passing
371,2871,awful
372,1458,cruel
373,3255,create
374,4184,cheat
375,3141,purse
376,4070,explore
377,3726,rhetoric
378,2248,great
379,2227,Mr
380,622,Muslim
381,2239,validity
382,1787,window
383,956,focus
384,1448,public
385,1519,ownership
386,1421,cartoon
387,2760,biography
388,4209,everywhere
389,2150,builder
390,1698,predict
391,619,freedom
392,269,likelihood
393,3494,author
394,1700,educational
395,2685,exploit
396,1579,organization
397,1095,controversial
398,457,bend
399,4186,belt
400,1766,apple
401,2071,state
402,2615,extra
403,1306,auto
404,3808,anymore
405,1897,kit
406,489,n't
407,2246,bush
408,2331,mail
409,701,plant
410,3450,steal
411,1652,consent
412,3846,interval
413,306,population
414,677,shout
415,469,solar
416,2659,entity
417,3386,violation
418,4073,device
419,2884,Spanish
420,208,breath
421,555,already
422,2209,distribution
423,1852,hurry
424,3571,tooth
425,2343,invest
426,2240,squeeze
427,1482,accommodate
428,3264,cute
429,2670,chronic
430,87,anyway
431,2066,canvas
432,749,creativity
433,3900,center
434,2950,dried
435,2969,borrow
436,2018,treatment
437,1065,fault
438,1611,pig
439,3251,screen
440,3838,conclusion
441,2023,missing
442,3007,road
443,3447,consistent
444,1551,withdrawal
445,1623,purchase
446,158,noon
447,1986,tone
448,1231,romance
449,2449,diamond
450,1466,revelation
451,1594,speaker
452,3501,word
453,657,protective
454,4068,rabbit
455,759,cop
456,116,proclaim
457,3986,collection
458,1823,growing
459,1856,glad
460,4024,conversion
461,1512,fast
462,1521,devastating
463,3731,element
464,1138,besides
465,3624,gross
466,3279,string
467,686,army
468,1314,small
469,961,inspector
470,3583,bike
471,1780,twentieth
472,3912,starting
473,977,meanwhile
474,183,across
475,1957,corporate
476,1620,celebrity
477,1499,prominent
478,1552,tighten
479,3349,jeans
480,1108,leave
481,682,license
482,4188,behave
483,2086,electrical
484,3237,juice
485,2210,driver
486,3664,manufacturer
487,388,fresh
488,455,load
489,2069,highlight
490,3121,blink
491,3090,parade
492,2156,grant
493,761,weave
494,277,commitment
495,58,episode
496,3348,cabinet
497,3682,pie
498,1424,whoever
499,4115,mysterious
500,3496,appreciate
501,2288,carry
502,3839,integrated
503,2886,field
504,1639,exhaust
505,3878,everything
506,3760,trouble
507,2255,slap
508,3351,sheer
509,828,restaurant
510,1731,theater
511,1449,drift
512,104,jump
513,2395,reserve
514,1464,would
515,290,necessarily
516,470,gang
517,3181,spread
518,2236,arrange
519,3374,tobacco
520,3840,gentle
521,647,retailer
522,1568,site
523,987,thrive
524,4177,integrate
525,628,severe
526,2230,refuge
527,3794,laugh
528,1496,mirror
529,734,drama
530,2607,essentially
531,2128,expansion
532,340,statement
533,658,careful
534,4025,pastor
535,2591,tend
536,3434,broken
537,2352,virtual
538,1094,homeless
539,2689,attend
540,2468,sunny
541,2121,adopt
542,2848,factor
543,3317,perform
544,1738,partly
545,2055,intend
546,3916,coming
547,3297,qualify
548,2982,sculpture
549,2497,pitch
550,3493,several
551,2082,working
552,3038,parking
553,962,lawsuit
554,3153,believe
555,1114,architect
556,4187,basically
557,957,cooperation
558,97,protocol
559,1348,spokesman
560,2679,tower
561,4157,inventory
562,1801,accurate
563,2332,buy
564,1052,basic
565,2755,addition
566,1282,colony
567,297,apologize
568,3699,true
569,3034,boyfriend
570,3178,bow
571,1757,selection
572,4082,length
573,448,suspend
574,3827,perfectly
575,1916,momentum
576,946,rage
577,973,proposed
578,4200,desperate
579,3924,cord
580,905,boast
581,3001,former
582,2881,busy
583,4034,jungle
584,2196,forbid
585,2887,officer
586,3372,premise
587,1465,theology
588,809,regulator
589,3538,dimension
590,1353,attach
591,4044,pen
592,3630,British
593,3131,five
594,3995,chemical
595,1355,crazy
596,1296,sometime
597,1763,quarter
598,3507,bread
599,1318,teach
600,4074,value
601,3094,appreciation
602,1047,notice
603,1146,flour
604,1259,development
605,857,base
606,3622,steadily
607,24,three
608,1542,lemon
609,3604,corporation
610,3547,brave
611,941,Soviet
612,1703,none
613,2183,stick
614,1949,increase
615,1275,sponsor
616,3948,sample
617,2571,photographer
618,2963,swimming
619,785,endorse
620,869,teen
621,3772,generation
622,1927,behavioral
623,2909,placement
624,1256,ago
625,2740,eyebrow
626,3193,baby
627,1525,reflect
628,1393,frequently
629,608,horror
630,1869,present
631,2645,discover
632,1369,shade
633,3815,president
634,3438,spending
635,1818,adjustment
636,359,vanish
