Compact disc	Compact Disc
Maidstone	Towns in Kent
C. S. Lewis	1898 births, 1963 deaths, Academics of the University of Cambridge, Academics of the University of Oxford, British Anglicans, British children's writers, British novelists, Converts to Christianity, Deaths from renal failure, Disease-related deaths in England, English theologians, Northern Irish Christians, People from Belfast
The Corrs	1990s establishments in the Republic of Ireland, 1990s Irish music groups, 2000s Irish music groups, 2010s Irish music groups, Folk music groups, Irish pop music groups, Irish rock bands, Musical groups established in 1990, Musical quartets, Pop rock bands
Aaron	Old Testament people, Ancient Israeli people
Paula Abdul	1962 births, Living people, American dancers, American Idol, American pop musicians, American television personalities, Choreographers, Emmy Award winners, Grammy Award winners, Mezzo-sopranos, Singers from Los Angeles, California, American contemporary R&B singers
Douglas Adams	1952 births, 2001 deaths, British atheists, Cardiovascular disease deaths in the United States, Deaths from myocardial infarction, English novelists, People from Brentwood, Essex, People from Cambridge, Writers from Essex, Writers from London
Tom Arnold	1959 births, Living people, American television actors, American movie actors, Actors from Iowa, Comedians from Iowa
Bea Arthur	1922 births, 2009 deaths, Actors from New York City, American feminists, American LGBT rights activists, American military personnel of World War II, American movie actors, American television actors, Cancer deaths in Los Angeles, Comedians from New York City, Deaths from cancer of unknown primary origin, Emmy Award winning actors, Jewish activists, Jewish American actors, Jewish American musicians, Jewish comedians, Jewish feminists, Singers from New York City, Tony Award winning actors
Dave Attell	Comedians from New York City, 1965 births, Living people
Karel Appel	1921 births, 2006 deaths, Burials at Père Lachaise Cemetery, Dutch painters, People from Amsterdam, Sculptors
Randy Bachman	1943 births, Living people, Canadian rock guitarists, Canadian rock singers, Musicians from Winnipeg
J. M. Barrie	1860 births, 1937 deaths, British children's writers, Deaths from pneumonia, Infectious disease deaths in London, Scottish novelists
Riga	Riga, 1201 establishments, Establishments in Latvia, 1200s establishments in Europe
Pope John Paul II	Popes, 1920 births, 2005 deaths, Nonviolence advocates, People with Parkinson's disease, Polish Roman Catholics, Christian saints, Servants of God, Time People of the Year, Congressional Gold Medal recipients
Marvel Comics	Comic books, Marvel Comics, Disney companies
Lincoln, Nebraska	County seats in Nebraska, Lincoln, Nebraska, State capitals in the United States, 1856 establishments in Nebraska Territory
