Land grant	Business, Property
Pope Leo XIII	1810 births, 1903 deaths, Italian popes
Konzum	Companies of Croatia, Supermarkets of Europe, Establishments in Croatia, 1957 establishments in Europe
Mother Teresa	1910 births, 1997 deaths, Albanian people, Beatified people, Cardiovascular disease deaths in India, Deaths from heart failure, Nuns, Order of Merit, People from Skopje, Roman Catholics
JoJo (singer)	1990 births, Living people, People from Brattleboro, Vermont, American child actors, American child singers, American movie actors, American pop musicians, American R&B singers, American television actors, Musicians from New Hampshire, Musicians from Massachusetts, Musicians from Vermont, Singers from Massachusetts, Singers from Vermont, Singers from New Hampshire
Angela Aames	1956 births, 1988 deaths, American movie actors, Actors from South Dakota
Willie Aames	1960 births, Living people, American television actors, American voice actors, Actors from Los Angeles County, California
Bruce Abbott	1954 births, Living people, American television actors, Actors from Oregon, American movie actors
Bud Abbott	1895 births, 1974 deaths, Actors from New Jersey, American movie actors, American radio actors, American stage actors, Comedians from New Jersey
Kareem Abdul-Jabbar	1947 births, Living people, Actors from New York City, African-American basketball players, American movie actors, American Muslims, Sportspeople from New York City, Los Angeles Lakers players, Milwaukee Bucks players, People with cancer, National Basketball Association players with retired numbers, American basketball players
Betty Aberlin	1942 births, Living people, American movie actors, American television actors, Actors from New York City, Writers from New York City
Jake Abel	1987 births, Living people, American television actors, People from Canton, Ohio, Actors from Ohio, American movie actors
Baudrecourt, Moselle	Communes in Moselle
Hayden Panettiere	Actors from New York, American child actors, American movie actors, American television actors, American voice actors, Singers from New York, 1989 births, Living people
Toul	Communes in Meurthe-et-Moselle, Subprefectures in France
Blessthefall	American punk bands, Emo bands, Post-hardcore bands, Metalcore bands, Musical groups from Arizona, Musicians from Phoenix, Arizona, Musical groups established in 2004, 2004 establishments in the United States, 2000s establishments in Arizona
Amber	Minerals
Resin	Natural materials
Varnish	Materials
Secretion	Physiology
Adhesive	Materials
Natural gum	Natural materials, Polymers
Mineralization	Geology
Ali	599 births, 661 deaths, Caliphs, Imams, Shia Islam
Zakarid Armenia	History of Armenia
Women and Islam	Islam
Chador	Islamic dress
Vortex mixer	Laboratory equipment
Niqāb	Islamic dress
Hira	Islam
Ferdowsi	935 births, 1020 deaths, Persian poets
Abu-Mansur Daqiqi	10th century births, 10th century deaths, Persian poets
Edward VII	1841 births, 1910 deaths, Kings and Queens of the United Kingdom, Knights Grand Commander of the Order of the Indian Empire, Knights Companion of the Order of the Star of India, 1900s in the United Kingdom, 1910s in the United Kingdom
Adhesive tape	Tools
Roman Polanski	1933 births, Living people, Academy Award winning directors, Actors from Paris, Child sexual abusers, Extradition, French criminals, French movie actors, French screenwriters, Holocaust survivors, Jewish actors, Jewish businesspeople, Jewish criminals, Jewish French writers, Jewish screenwriters, Movie directors from Paris, Movie producers from Paris, Polish Jews, Polish movie actors, Polish movie directors, Polish movie producers, Polish screenwriters, Polish writers, Writers from Paris
Watford	Watford, Unitary authority districts of England
Home Alone	1990 comedy movies, 1990 crime movies, 1990s criminal comedy movies, 1990s family movies, 20th Century Fox movies, American criminal comedy movies, American crime movies, American family movies, Christmas movies, English-language movies, Movies about dysfunctional families, Movies composed by John Williams, Movies produced by John Hughes, Movies set in Chicago, Illinois, Movies shot in Chicago, Illinois, Screenplays by John Hughes, Movies directed by Chris Columbus
Hijab	Islamic dress, Headgear
Scooby-Doo	Animated television series, 1969 American television series debuts, 1960s American television series, 1970s American television series, 1980s American television series, 1990s American television series, 2000s American television series, Scooby-Doo characters
Akita Inu	Dog breeds
Nezami	Persian poets, 1141 births, 1209 deaths
List of Persian poets and authors	Lists of writers, Persian people, Persian poets, Iran-related lists
Metric (band)	1990s music groups, 2000s music groups, 2010s music groups, Canadian rock bands, Indie rock bands, New wave bands, Musical groups from New York City
Rudaki	859 births, 941 deaths, Persian poets
Baba Taher	10th century births, 11th century deaths, Persian poets
Amir Khosrow	1253 births, 1325 deaths, Persian poets
Hafez	14th century births, 14th century deaths, Persian poets, Iranian people, Iranian poets
Forough Farrokhzad	Persian poets, 1935 births, 1967 deaths
Ahmad Shamlou	1925 births, 2000 deaths, Persian poets
Parvin E'tesami	Persian poets, 1907 births, 1941 deaths
Jihad	Islam
Postfix notation	Mathematical notation
Infix notation	Mathematical notation
Fiqh	Islamic law
Dir en grey	Japanese rock bands, Hard rock bands, Japanese heavy metal bands, Metalcore bands, Visual kei bands, Osaka
Hurricane Wilma	2005 Atlantic hurricane season, 2005 in Canada, 2000s in Cuba, Category 5 Atlantic hurricanes, Retired tropical cyclone names, Hurricanes in Mexico, Hurricanes in the United States, 2005 in Florida, 2000s in Belize, History of the Cayman Islands, 2000s in Haiti, 2000s in Honduras, 2000s in Jamaica, 2000s in Nicaragua, 2000s in the Bahamas, Natural disasters in Canada, Hurricanes in Florida, October 2005 events
Yucatán Peninsula	Peninsulas, Geography of Belize, Geography of Guatemala, Geography of Mexico
Clarksville, Tennessee	Cities in Tennessee, County seats in Tennessee
Live Earth	2007 in music, Concerts, July events
Wembley Stadium (1923)	Football stadiums in London, 1923 establishments in England, 2003 disestablishments in England
Inch of mercury	Units of measurement, Meteorology
Lou Costello	1906 births, 1959 deaths, Actors from New Jersey, American movie actors, American radio actors, American stage actors, Comedians from New Jersey, Extras
Kirstie Alley	1951 births, Living people, American television actors, American movie actors, Golden Globe Award winning actors, Scientologists, Actors from Wichita, Kansas, Emmy Award winning actors, People's Choice Award winners
Seth Adkins	American television actors, American movie actors, American child actors, Actors from New Mexico, 1989 births, Living people
Danny Aiello	Emmy Award winning actors, 1933 births, 2019 deaths, Infectious disease deaths in the United States, Disease-related deaths in New Jersey, American movie actors, American television actors, American stage actors, American voice actors, Actors from New York City
Claude Akins	American television actors, American movie actors, Actors from Georgia (U.S. state), 1926 births, 1994 deaths
Don Adams	1923 births, 2005 deaths, American television actors, American movie actors, American voice actors, American stage actors, Actors from New York City, Emmy Award winning actors
Ben Affleck	1972 births, Living people, Academy Award winning writers, Actors from Massachusetts, American movie actors, Episcopalians, Businesspeople from Berkeley, California, Businesspeople from Massachusetts, American screenwriters, American television actors, American television producers, American television writers, American voice actors, Golden Globe Award winning writers, Movie directors from California, Movie directors from Massachusetts, Movie producers from California, Movie producers from Massachusetts, Actors from Berkeley, California, Saturn Award winners, Screenwriters from California, Screenwriters from Massachusetts, Actors who played Batman
The Cosby Show	1980s American black sitcoms, 1980s American television series, 1984 American television series debuts, 1990s American sitcoms, 1990s American television series, 1992 television series endings, 1992 American television series endings, Brooklyn in fiction, Emmy Award winning programs, English-language television programs, Golden Globe Award winning programs, NBC network shows, Television series set in New York City
Wembley Stadium	Football stadiums in London
Port Dover Composite School	Buildings and structures in Ontario, Schools in Canada, 2013 disestablishments in North America, 2010s disestablishments in Canada
