Collingwood, Victoria	Melbourne
George M. Dallas	1792 births, 1864 deaths, United States senators from Pennsylvania, Vice Presidents of the United States, Politicians from Philadelphia, Pennsylvania, 19th-century American politicians
William R. King	1786 births, 1853 deaths, Vice Presidents of the United States, United States senators from Alabama, Politicians from North Carolina, Presidents pro tempore of the United States Senate, Deans of the United States Senate, 19th-century American politicians
Harnett County, North Carolina	North Carolina counties, 1850s establishments in North Carolina, 1855 establishments in the United States
Chatham County, North Carolina	North Carolina counties, 1771 establishments, 1770s establishments in North Carolina
Carteret County, North Carolina	Carteret County, North Carolina, 1739 establishments, 1730s establishments in North Carolina
Doctor (Doctor Who)	Doctor Who characters
Roger Penrose	1931 births, Living people, Academics of the University of Oxford, Alumni of the University of Cambridge, Alumni of University College London, British Nobel Prize winners, English mathematicians, English physicists, English science writers, Fellows of the Royal Society, Jewish British academics, Jewish British scientists, Jewish Nobel Prize winners, Jewish Wolf Prize winners, Order of Merit, People from Essex, Theoretical physicists
Arthur (TV series)	1996 American television series debuts, 1990s American television series, 2000s American television series, 2010s American television series, American children's television series, Emmy Award winning programs, PBS Kids shows, Arthur (TV series), English-language television programs
Langur	Old World monkeys, Mammals of Asia, National symbols of India
WWE Raw	1993 American television series debuts, American television series, WWE Raw, English-language television programs
Doctor Who companions	Doctor Who characters
Moomba	Festivals, Melbourne, Australian culture
Astrid Peth	Doctor Who characters
Barbara Wright (Doctor Who)	Doctor Who characters
Grace Holloway	Doctor Who characters
Ian Chesterton	Doctor Who characters
Susan Foreman	Doctor Who characters
Ludwig Wittgenstein	1889 births, 1951 deaths, 20th century philosophers, Cancer deaths in England, Deaths from prostate cancer, Gay men, LGBT writers, Writers from Vienna
Wittgenstein (disambiguation)	Surnames
Adam Mitchell	Doctor Who characters
Vislor Turlough	Doctor Who characters
Kamelion	Doctor Who characters
Peri Brown	Doctor Who characters
Mickey Smith	Doctor Who characters
John C. Breckinridge	1821 births, 1875 deaths, American esotericists, American lawyers, Confederate Army generals, Deaths from cirrhosis, Freemasons, People from Lexington, Kentucky, United States representatives from Kentucky, United States senators from Kentucky, US Democratic Party politicians, 19th-century American politicians
Michael Dante DiMartino	Year of birth missing (living people), Living people, American animators, American editors
Barbara Meier	1986 births, Living people, People from Bavaria, German models
Bryan Konietzko	1975 births, Living people, Animators
Hannibal Hamlin	1809 births, 1891 deaths, Ambassadors of the United States, American lawyers, Governors of Maine, United States representatives from Maine, United States senators from Maine, US Democratic Party politicians, US Republican Party politicians, People from Bangor, Maine, 19th-century American politicians
Busan subway	Busan, Rapid transit systems, Transport in South Korea, 1985 establishments in Asia, 1980s establishments in South Korea
Tsing Hua University	Colleges and universities in Beijing, Technical colleges and universities in Asia, 1911 establishments
Yui Horie	Japanese singers, 1976 births, Living people, Actors from Tokyo, Japanese voice actors
Bathymetry	Cartography, Oceanography
Cave painting	Painting, Caves, Ancient history, Stone Age
Radiocarbon dating	Archaeology, Carbon, Radiometric dating
Passage tomb	Prehistoric buildings and structures, Burial monuments and structures
Hallstatt culture	Ancient history, Archaeological sites in Europe, Austrian culture
La Tène culture	Ancient history
Ringfort	Buildings and structures in the Middle Ages, Fortification
Beowulf	Germanic mythology, Epic poems
Melanie Bush	Doctor Who characters
Ace (Doctor Who)	Doctor Who characters
Romana (Doctor Who)	Doctor Who characters
K-9 (Doctor Who)	Doctor Who characters
Adric	Doctor Who characters
Tegan Jovanka	Doctor Who characters
Leela (Doctor Who)	Doctor Who characters
Stigma (botany)	Flowers, Plant anatomy
Empress Dowager Cixi	1835 births, 1908 deaths, Emperors and Empresses of China
Human trafficking	Organized crime, Slavery
Controversy	Controversies
Deutscher Gewerkschaftsbund	Trade unions in Germany
The Best Damn Thing (song)	2007 songs, Avril Lavigne songs
Vereinte Dienstleistungsgewerkschaft	Trade unions in Germany
Deutscher Beamtenbund	Trade unions in Germany
Gewerkschaft Deutscher Lokomotivführer	Trade unions in Germany
TRANSNET Gewerkschaft	Trade unions in Germany
Can-can	Dances, French culture, American movies
Jacques Offenbach	1819 births, 1880 deaths, French composers
Shane MacDougall	Canadian comedians, Living people, Year of birth missing (living people)
Henri de Toulouse-Lautrec	1864 births, 1901 deaths, French painters, French printmakers, Infectious disease deaths in France, People from Occitanie
Alleghany County, North Carolina	Alleghany County, North Carolina, 1859 establishments in North Carolina
Sparta, North Carolina	Towns in North Carolina, Alleghany County, North Carolina, County seats in North Carolina
Anson County, North Carolina	Anson County, North Carolina, 1750 establishments, 1750s establishments in North Carolina
Wadesboro, North Carolina	Anson County, North Carolina, Towns in North Carolina, County seats in North Carolina
Alexander County, North Carolina	North Carolina counties, 1847 establishments in the United States, 1840s establishments in North Carolina
Ashe County, North Carolina	North Carolina counties, 1799 establishments in the United States, 1790s establishments in North Carolina
Long March	1934, 1935, 1930s in China
Avery County, North Carolina	North Carolina counties, 1911 establishments in the United States, 20th-century establishments in North Carolina
Hersfeld-Rotenburg	Districts of Hesse, Kassel (district)
Rings of Rhea	Saturn's moons
Werra-Meißner-Kreis	Districts of Hesse, Kassel (district)
Waldeck-Frankenberg	Districts of Hesse, Kassel (district)
Schwalm-Eder-Kreis	Districts of Hesse, Kassel (district)
Velvet Revolver	2002 establishments in the United States, 2000s American music groups, 2000s establishments in California, American hard rock bands, Grammy Award winners, Musical groups established in 2002, Musical groups from California, Orange County, California
Manchu	Ethnic groups in China
Kristanna Loken	1979 births, Living people, Actors from New York, LGBT people from New York, Models from New York, American movie actors, American television actors, Bisexual people, LGBT actors, LGBT models
Geneva	Geneva, Municipalities of Geneva
Concubinage	Marriage
Mistress (lover)	Adultery
