Astelia banksii	Asparagales
Barclays	Banks of the United Kingdom, 1690 establishments, 17th century establishments in England, 1690s establishments in Europe
The Beano	Magazines of the United Kingdom
Dunedin	Cities in New Zealand
Dunfermline Building Society	Banks of the United Kingdom, Companies of the United Kingdom, 1869 establishments in the United Kingdom
Big Mac Index	Economics, McDonald's
Economic index	Economics
JeOS	Linux distributions, Ubuntu (operating system) derivatives
All Hope Is Gone (song)	2008 songs, Slipknot songs
The Blister Exists	Slipknot songs, 2006 songs
Fellatio	Sexual acts
Halo 3	Halo, Xbox 360 games, 2007 video games
Extremaduran language	Romance languages, Extremadura
Macron Stadium	Football stadiums in England, 1997 establishments in England
Tanoli	Ethnic groups in Pakistan, Ethnic groups in Khyber Pakhtunkhwa
Jirga	Dispute resolution, Politics of Pakistan
Gujar Khan	Rawalpindi District
Chlamydia infection	Sexually transmitted diseases, Diseases caused by bacteria
Ted Strickland	1941 births, Living people, Governors of Ohio
Michigan Wolverines	American Lacrosse Conference, Big Ten Conference, Central Collegiate Hockey Association, ECAC Lacrosse, University of Michigan
Boston Massacre	1770, History of Boston, Massachusetts, Crime in the United States, Manslaughter, Massacres, 1770s in Massachusetts, March events
Dreadlocks	Hairstyles
List of Russian football teams	Lists of football teams, Russian football clubs, Russia-related lists
F.C. Dynamo Moscow	Russian football clubs, 1923 establishments in the Soviet Union
Lev Yashin	1929 births, 1990 deaths, Russian footballers
Ronaldo	1976 births, Living people, Brazilian footballers, Footballers from Rio de Janeiro
Míchel (footballer)	1963 births, Living people, Spanish footballers, Spanish football managers, Sportspeople from Madrid
League of Ireland Premier Division	Football League of Ireland
Japanese kickboxing	Kickboxing
Emilio Butragueño	1963 births, Living people, Spanish footballers, Sportspeople from Madrid
Francisco Gento	1933 births, Living people, Spanish footballers
Athletic Bilbao	Spanish football clubs, 1898 establishments in Europe, 1890s establishments in Spain
Rafael Moreno Aranzadi	Spanish footballers, 1892 births, 1922 deaths
Telmo Zarra	1921 births, 2006 deaths, Spanish footballers
Andoni Goikoetxea Olaskoaga	1956 births, Living people, Spanish footballers, Spanish football managers
Hugo Sánchez	1958 births, Living people, Mexican footballers, Mexican football managers, Sportspeople from Mexico City
Tony Adams	1966 births, 1998 FIFA World Cup players, Arsenal F.C. players, English football managers, English footballers, Living people, Members of the Order of the British Empire, Premier League players, Sportspeople from London, UEFA Euro 2000 players
Paolo Maldini	1968 births, Living people, Association football defenders, Association football full-backs, Italian footballers, Sportspeople from Milan
Alessandro Del Piero	1974 births, Living people, Italian footballers
