Naohiro Takahara	1979 births, Living people, Footballers from Shizuoka Prefecture, Japan international footballers, J1 League players, J2 League players, J3 League players, Júbilo Iwata players, Urawa Red Diamonds players, Shimizu S-Pulse players, Tokyo Verdy players, SC Sagamihara players, 2006 FIFA World Cup players, 2003 FIFA Confederations Cup players, Footballers at the 2000 Summer Olympics, 2000 AFC Asian Cup players, AFC Asian Cup-winning players
Shunsuke Nakamura	1978 births, Living people, Footballers from Kanagawa Prefecture, Japan international footballers, J1 League players, J2 League players, Yokohama F. Marinos players, Júbilo Iwata players, Yokohama FC players, 2006 FIFA World Cup players, 2010 FIFA World Cup players, 2003 FIFA Confederations Cup players, 2005 FIFA Confederations Cup players, Footballers at the 2000 Summer Olympics, 2000 AFC Asian Cup players, AFC Asian Cup-winning players
Romário	1966 births, Living people, Brazilian politicians, Footballers from Rio de Janeiro, Brazilian football managers
Fernando Hierro	1968 births, Living people, Spanish footballers
Andriy Shevchenko	1976 births, Living people, Ukrainian footballers, Ukrainian football managers
Megapode	Phasianidae
Super Bowl XXXVII	Super Bowl, 2003 in sports, 2003 in California, 21st century in San Diego, California
Lysosome	Organelles
Acherontia atropos	Sphinginae
Acherontia styx	Sphinginae
Acherontia lachesis	Sphinginae
Xylophanes amadis	Sphingidae
Territory	Regions, Territories
Sphingidae	Sphingidae
Acosmeryx socrates	Sphingidae
Isognathus rimosus	Sphingidae
Scarlino	Towns in Tuscany
Takin	Mammals of Asia, Caprids
Ryanair	Airlines of Europe, Low-cost airlines, Ireland
Ford Crown Victoria	Ford automobiles
Mira	Binary stars, Red giants, Variable stars
Ferry Corsten	1973 births, Living people, DJs, Dutch musicians, People from Rotterdam, Trance music
Mimicry	Ecology, Mimicry
Beehive	Beekeeping
Circe	Nymphs
Raccoon Dog	Mammals of Asia, Canids
Sócrates	1954 births, 2011 deaths, Brazilian footballers, Deaths from infectious disease
Atsushi Yanagisawa	1977 births, Living people, Footballers from Toyama Prefecture, Japan international footballers, J1 League players, Kashima Antlers players, Kyoto Sanga FC players, Vegalta Sendai players, 2002 FIFA World Cup players, 2006 FIFA World Cup players, 2005 FIFA Confederations Cup players, Footballers at the 2000 Summer Olympics, 2000 AFC Asian Cup players, AFC Asian Cup-winning players
Ian Harte	1977 births, Living people, Irish footballers, People from County Louth
Damien Duff	1979 births, Living people, Irish footballers, Sportspeople from Dublin
Shay Given	1976 births, Living people, Irish footballers, People from County Donegal
Dragan Stojković	1965 births, Living people, Serbian footballers, Serbian football managers, Yugoslavian people
Tsuneyasu Miyamoto	1977 births, Living people, Footballers from Osaka Prefecture, Japan international footballers, Japanese football managers, J1 League players, Gamba Osaka players, Vissel Kobe players, 2002 FIFA World Cup players, 2006 FIFA World Cup players, 2003 FIFA Confederations Cup players, 2005 FIFA Confederations Cup players, Footballers at the 2000 Summer Olympics
Filippo Inzaghi	1973 births, Living people, 1998 FIFA World Cup players, 2002 FIFA World Cup players, 2006 FIFA World Cup players, A.C. Milan players, Italian footballers, Italian football managers, Sportspeople from Emilia-Romagna
Chyjice	Villages in the Czech Republic
Kenny Miller	1979 births, Living people, Scottish footballers, Scottish football managers, Sportspeople from Edinburgh
Communes of the Gironde department	Communes in Gironde, Lists of communes of France
José de Espronceda	1808 births, 1842 deaths, Spanish poets
Bossugan	Communes in Gironde
Bouliac	Communes in Gironde
Bourdelles	Communes in Gironde
Bourg, Gironde	Communes in Gironde
Bourideys	Communes in Gironde
Brach	Communes in Gironde
Branne, Gironde	Communes in Gironde
Brannens	Communes in Gironde
Braud-et-Saint-Louis	Communes in Gironde
Brouqueyran	Communes in Gironde
Bruges, Gironde	Communes in Gironde
Budos	Communes in Gironde
Bègles	Communes in Gironde
Bégadan	Communes in Gironde
Béguey	Communes in Gironde
Cabanac-et-Villagrains	Communes in Gironde
Cabara	Communes in Gironde
Cadarsac	Communes in Gironde
Cadaujac	Communes in Gironde
Cadillac, Gironde	Communes in Gironde
Cadillac-en-Fronsadais	Communes in Gironde
Camarsac	Communes in Gironde
Cambes, Gironde	Communes in Gironde
Camblanes-et-Meynac	Communes in Gironde
Camiac-et-Saint-Denis	Communes in Gironde
Camiran	Communes in Gironde
Camps-sur-l'Isle	Communes in Gironde
Campugnan	Communes in Gironde
Cantenac	Former communes in Gironde
Cantois	Former communes in Gironde
Canéjan	Communes in Gironde
Capian	Communes in Gironde
Caplong	Communes in Gironde
Captieux	Communes in Gironde
Carbon-Blanc	Communes in Gironde
Carcans	Communes in Gironde
Cardan, Gironde	Communes in Gironde
Carignan-de-Bordeaux	Communes in Gironde
Cars, Gironde	Communes in Gironde
Cartelègue	Communes in Gironde
Casseuil	Communes in Gironde
Castelmoron-d'Albret	Communes in Gironde
Castelnau-de-Médoc	Communes in Gironde
Castelviel	Communes in Gironde
Castets-en-Dorthe	Former communes in Gironde
Castillon-de-Castets	Former communes in Gironde
Castillon-la-Bataille	Communes in Gironde
Castres-Gironde	Communes in Gironde
Caudrot	Communes in Gironde
Caumont, Gironde	Communes in Gironde
Cauvignac	Communes in Gironde
Cavignac	Communes in Gironde
Cazalis, Gironde	Communes in Gironde
Cazats	Communes in Gironde
Cazaugitat	Communes in Gironde
Cenon	Communes in Gironde
Cessac	Communes in Gironde
Cestas	Communes in Gironde
Chamadelle	Communes in Gironde
Cissac-Médoc	Communes in Gironde
Civrac-de-Blaye	Communes in Gironde
Civrac-en-Médoc	Communes in Gironde
Civrac-sur-Dordogne	Communes in Gironde
Cleyrac	Communes in Gironde
Coimères	Communes in Gironde
Coirac	Communes in Gironde
Comps, Gironde	Communes in Gironde
Coubeyrac	Communes in Gironde
Couquèques	Communes in Gironde
Courpiac	Communes in Gironde
Cours-de-Monségur	Communes in Gironde
Cours-les-Bains	Communes in Gironde
Coutras	Communes in Gironde
Coutures, Gironde	Communes in Gironde
Croignon	Communes in Gironde
Créon	Communes in Gironde
Cubnezais	Communes in Gironde
Cubzac-les-Ponts	Communes in Gironde
Cudos, Gironde	Communes in Gironde
Cursan	Communes in Gironde
Cussac-Fort-Médoc	Communes in Gironde
Cénac	Communes in Gironde
Cérons	Communes in Gironde
Cézac, Gironde	Communes in Gironde
Daignac	Communes in Gironde
Dardenac	Communes in Gironde
Daubèze	Communes in Gironde
Dieulivol	Communes in Gironde
Donnezac	Communes in Gironde
Donzac, Gironde	Communes in Gironde
Doulezon	Communes in Gironde
Escaudes	Communes in Gironde
Escoussans	Communes in Gironde
Espiet	Communes in Gironde
Eynesse	Communes in Gironde
Eyrans	Communes in Gironde
Eysines	Communes in Gironde
Faleyras	Communes in Gironde
Fargues, Gironde	Communes in Gironde
Fargues-Saint-Hilaire	Communes in Gironde
Flaujagues	Communes in Gironde
Floirac, Gironde	Communes in Gironde
Floudès	Communes in Gironde
Fontet	Communes in Gironde
Fossès-et-Baleyssac	Communes in Gironde
Fours, Gironde	Communes in Gironde
Francs, Gironde	Communes in Gironde
Fronsac, Gironde	Communes in Gironde
Frontenac, Gironde	Communes in Gironde
Gabarnac	Communes in Gironde
Gaillan-en-Médoc	Communes in Gironde
Gajac, Gironde	Communes in Gironde
Galgon	Communes in Gironde
Gans, Gironde	Communes in Gironde
Gardegan-et-Tourtirac	Communes in Gironde
Gauriac	Communes in Gironde
Gauriaguet	Communes in Gironde
Gensac, Gironde	Communes in Gironde
Gironde-sur-Dropt	Communes in Gironde
Giscos	Communes in Gironde
Gornac	Communes in Gironde
Goualade	Communes in Gironde
Gours, Gironde	Communes in Gironde
Gradignan	Communes in Gironde
Grayan-et-l'Hôpital	Communes in Gironde
Grignols, Gironde	Communes in Gironde
Grézillac	Communes in Gironde
Guillac, Gironde	Communes in Gironde
Guillos	Communes in Gironde
Gujan-Mestras	Communes in Gironde
Guîtres	Communes in Gironde
Génissac	Communes in Gironde
Générac, Gironde	Communes in Gironde
Haux, Gironde	Communes in Gironde
Hostens	Communes in Gironde
Hourtin	Communes in Gironde
Hure	Communes in Gironde
Illats	Communes in Gironde
Isle-Saint-Georges	Communes in Gironde
Izon	Communes in Gironde
Jau-Dignac-et-Loirac	Communes in Gironde
Jugazan	Communes in Gironde
Juillac, Gironde	Communes in Gironde
La Brède	Communes in Gironde
La Lande-de-Fronsac	Communes in Gironde
La Rivière, Gironde	Communes in Gironde
La Roquille	Communes in Gironde
La Réole	Communes in Gironde
La Sauve	Communes in Gironde
La Teste-de-Buch	Communes in Gironde
Labarde	Communes in Gironde
Labescau	Communes in Gironde
Lacanau	Communes in Gironde
Ladaux	Communes in Gironde
Lados	Communes in Gironde
Lagorce, Gironde	Communes in Gironde
Lalande-de-Pomerol	Communes in Gironde
Lamarque	Communes in Gironde
Lamothe-Landerron	Communes in Gironde
Landerrouat	Communes in Gironde
Landerrouet-sur-Ségur	Communes in Gironde
Landiras	Communes in Gironde
Langoiran	Communes in Gironde
Langon, Gironde	Subprefectures in France, Communes in Gironde
Lansac, Gironde	Communes in Gironde
Lanton, Gironde	Communes in Gironde
Lapouyade	Communes in Gironde
Laroque, Gironde	Communes in Gironde
Lartigue, Gironde	Communes in Gironde
Laruscade	Communes in Gironde
Latresne	Communes in Gironde
Lavazan	Communes in Gironde
Le Barp	Communes in Gironde
Le Bouscat	Communes in Gironde
Le Fieu	Communes in Gironde
Le Haillan	Communes in Gironde
Le Nizan	Communes in Gironde
Le Pian-Médoc	Communes in Gironde
Le Pian-sur-Garonne	Communes in Gironde
Le Porge	Communes in Gironde
Le Pout	Communes in Gironde
Le Puy, Gironde	Communes in Gironde
Le Taillan-Médoc	Communes in Gironde
Le Teich	Communes in Gironde
Le Temple, Gironde	Communes in Gironde
Le Tourne	Communes in Gironde
Le Tuzan	Communes in Gironde
Le Verdon-sur-Mer	Communes in Gironde
Lerm-et-Musset	Communes in Gironde
Les Artigues-de-Lussac	Communes in Gironde
Les Billaux	Communes in Gironde
Les Esseintes	Communes in Gironde
Les Lèves-et-Thoumeyragues	Communes in Gironde
Les Peintures	Communes in Gironde
Les Salles-de-Castillon	Communes in Gironde
Les Églisottes-et-Chalaures	Communes in Gironde
Lesparre-Médoc	Subprefectures in France, Communes in Gironde
Lestiac-sur-Garonne	Communes in Gironde
Lignan-de-Bazas	Communes in Gironde
Lignan-de-Bordeaux	Communes in Gironde
Ligueux, Gironde	Communes in Gironde
Listrac-Médoc	Communes in Gironde
Listrac-de-Durèze	Communes in Gironde
Lormont	Communes in Gironde
Loubens, Gironde	Communes in Gironde
Louchats	Communes in Gironde
Loupes	Communes in Gironde
Loupiac, Gironde	Communes in Gironde
Loupiac-de-la-Réole	Communes in Gironde
Lucmau	Communes in Gironde
Ludon-Médoc	Communes in Gironde
Lugaignac	Communes in Gironde
Lugasson	Communes in Gironde
Lugon-et-l'Île-du-Carnay	Communes in Gironde
Lugos	Communes in Gironde
Lussac, Gironde	Communes in Gironde
Lège-Cap-Ferret	Communes in Gironde
Léogeats	Communes in Gironde
Léognan	Communes in Gironde
Macau, Gironde	Communes in Gironde
Madirac	Communes in Gironde
Maransin, Gironde	Communes in Gironde
Marcenais	Communes in Gironde
Marcheprime	Communes in Gironde
Marcillac	Former communes in Gironde
Margaux	Former communes in Gironde
Margueron	Communes in Gironde
Marimbault	Communes in Gironde
Marions	Communes in Gironde
Marsas, Gironde	Communes in Gironde
Martignas-sur-Jalle	Communes in Gironde
Martillac	Communes in Gironde
Martres	Communes in Gironde
Masseilles	Communes in Gironde
Massugas	Communes in Gironde
Mauriac, Gironde	Communes in Gironde
Mazion	Communes in Gironde
Mazères, Gironde	Communes in Gironde
Mesterrieux	Communes in Gironde
Mios	Communes in Gironde
Mombrier	Communes in Gironde
Mongauzy	Communes in Gironde
Monprimblanc	Communes in Gironde
Monségur, Gironde	Communes in Gironde
Montagne, Gironde	Communes in Gironde
Montagoudin	Communes in Gironde
Montignac, Gironde	Communes in Gironde
Montussan	Communes in Gironde
Morizès	Communes in Gironde
Mouillac, Gironde	Communes in Gironde
Mouliets-et-Villemartin	Communes in Gironde
Moulis-en-Médoc	Communes in Gironde
Moulon, Gironde	Communes in Gironde
Mourens	Communes in Gironde
Mérignac, Gironde	Communes in Gironde
Mérignas	Communes in Gironde
Naujac-sur-Mer	Communes in Gironde
Naujan-et-Postiac	Communes in Gironde
Neuffons	Communes in Gironde
Noaillac	Communes in Gironde
Noaillan	Communes in Gironde
Néac	Communes in Gironde
Nérigean	Communes in Gironde
Omet	Communes in Gironde
Ordonnac	Communes in Gironde
Origne	Communes in Gironde
Paillet	Communes in Gironde
Parempuyre	Communes in Gironde
Pauillac	Communes in Gironde
Pellegrue	Communes in Gironde
Pessac	Communes in Gironde
Pessac-sur-Dordogne	Communes in Gironde
Petit-Palais-et-Cornemps	Communes in Gironde
Peujard	Communes in Gironde
Pineuilh	Communes in Gironde
Plassac, Gironde	Communes in Gironde
Pleine-Selve, Gironde	Communes in Gironde
Podensac	Communes in Gironde
Pomerol	Communes in Gironde
Pompignac	Communes in Gironde
Pompéjac	Communes in Gironde
Pondaurat	Communes in Gironde
Porchères	Communes in Gironde
Portets	Communes in Gironde
Preignac	Communes in Gironde
Prignac-en-Médoc	Former communes in Gironde
Prignac-et-Marcamps	Communes in Gironde
Préchac, Gironde	Communes in Gironde
Pugnac	Communes in Gironde
Puisseguin	Communes in Gironde
Pujols, Gironde	Communes in Gironde
Pujols-sur-Ciron	Communes in Gironde
Puybarban	Communes in Gironde
Puynormand	Communes in Gironde
Périssac	Communes in Gironde
Queyrac	Communes in Gironde
Quinsac, Gironde	Communes in Gironde
Rauzan	Communes in Gironde
Reignac, Gironde	Communes in Gironde
Rimons	Communes in Gironde
Riocaud	Communes in Gironde
Rions	Communes in Gironde
Roaillan	Communes in Gironde
Romagne, Gironde	Communes in Gironde
Roquebrune, Gironde	Communes in Gironde
Ruch	Communes in Gironde
Sablons, Gironde	Communes in Gironde
Sadirac	Communes in Gironde
Saillans, Gironde	Communes in Gironde
Saint-Aignan, Gironde	Communes in Gironde
Saint-Androny	Communes in Gironde
Saint-André-de-Cubzac	Communes in Gironde
Saint-André-du-Bois	Communes in Gironde
Saint-André-et-Appelles	Communes in Gironde
Saint-Antoine, Gironde	Former communes in Gironde
Saint-Antoine-du-Queyret	Communes in Gironde
Saint-Antoine-sur-l'Isle	Communes in Gironde
Saint-Aubin-de-Blaye	Communes in Gironde
Saint-Aubin-de-Branne	Communes in Gironde
Saint-Aubin-de-Médoc	Communes in Gironde
Saint-Avit-Saint-Nazaire	Communes in Gironde
Saint-Avit-de-Soulège	Communes in Gironde
Saint-Brice, Gironde	Communes in Gironde
Saint-Caprais-de-Blaye	Former communes in Gironde
Saint-Caprais-de-Bordeaux	Communes in Gironde
Saint-Christoly-Médoc	Communes in Gironde
Saint-Christoly-de-Blaye	Communes in Gironde
Saint-Christophe-de-Double	Communes in Gironde
Saint-Christophe-des-Bardes	Communes in Gironde
Saint-Cibard	Communes in Gironde
Saint-Ciers-d'Abzac	Communes in Gironde
Saint-Ciers-de-Canesse	Communes in Gironde
Saint-Ciers-sur-Gironde	Communes in Gironde
Saint-Côme	Communes in Gironde
Saint-Denis-de-Pile	Communes in Gironde
Saint-Estèphe	Communes in Gironde
Saint-Exupéry, Gironde	Communes in Gironde
Saint-Ferme	Communes in Gironde
Saint-Félix-de-Foncaude	Communes in Gironde
Saint-Genis-du-Bois	Communes in Gironde
Saint-Genès-de-Blaye	Communes in Gironde
Saint-Genès-de-Castillon	Communes in Gironde
Saint-Genès-de-Fronsac	Communes in Gironde
Saint-Genès-de-Lombaud	Communes in Gironde
Saint-Germain-d'Esteuil	Communes in Gironde
Saint-Germain-de-Grave	Communes in Gironde
Saint-Germain-de-la-Rivière	Communes in Gironde
