Blood sugar	Health, Blood
Autodidact	Learning
South East Mutton Bird Islet	Protected areas of Tasmania, World Heritage Sites in Australia
Eduardo Paolozzi	1924 births, 2005 deaths, British artists, People from Edinburgh, Sculptors, Royal Academicians
Christine Lagarde	1956 births, Living people, French economists, French lawyers, French Ministers of Finance, Managing Directors of the International Monetary Fund, Politicians from Paris
Rain Man	1988 movies, 1980s drama movies, 1980s road movies, American drama movies, American road movies, Autism in fiction, Best Picture Oscar, English-language movies, Golden Globe Award winning movies, Las Vegas, Nevada in fiction, Movies set in Las Vegas, Movies set in Los Angeles, California, Narcissism in fiction, Ohio in fiction, Movies directed by Barry Levinson, Movies about autism
Going Solo	1986 books, Autobiographies, Aviation
Marc Houalla	1961 births, Living people, Alumni of the École nationale de l'aviation civile, French aviators, Heads of the French Civil Aviation University
Louis Pailhas	1926 births, 2021 deaths, Alumni of the École nationale de l'aviation civile, Alumni of the École Polytechnique, Deputy mayors, French aviators, French politicians, Heads of the French Civil Aviation University, People from Occitanie
New Scientist	Science and technology magazines, Magazines of the United Kingdom
Hervé Renaudeau	Living people, French aviators, Year of birth missing (living people)
Saint John, Barbados	Parishes of Barbados
Kantoku	Japanese eras
Saint Joseph, Barbados	Parishes of Barbados
Saint Lucy, Barbados	Parishes of Barbados
Saint Michael, Barbados	Parishes of Barbados
Saint Peter, Barbados	Parishes of Barbados
Medal of Aeronautics	Aviation, Orders, decorations, and medals of France, 1945 establishments in France
David McMillan	Year of birth missing (living people), British aviators, British diplomats, Living people, Civil servants
Asclepius	Greek gods and goddesses
Eileithyia	Greek gods and goddesses
Charites	Greek gods and goddesses, Roman gods and goddesses
Civil Aviation University of China	Aviation, Colleges and universities in the People's Republic of China, 1951 establishments in Asia, 20th century establishments in China
Günter Blobel	1936 births, 2018 deaths, Deaths from prostate cancer, Cancer deaths in New York City, American academics, American biochemists, American Nobel Prize winners, Naturalized citizens of the United States, People from former German territories, People from Prussia, German Nobel Prize winners
Ahmed Abu Laban	1946 births, 2007 deaths, Danish businesspeople, Deaths from lung cancer, Disease-related deaths in Denmark, Palestinian Muslims
Michel Tognini	1949 births, Living people, Astronauts, French people
All the Vermeers in New York	1990 movies, American drama movies, English-language movies, Johannes Vermeer, American independent movies
Saint Philip, Barbados	Parishes of Barbados
Saint Thomas, Barbados	Parishes of Barbados
Liberty Kid	2007 movies, American drama movies, English-language movies
Frank Worrell	West Indies cricketers, Knights Bachelor, 1924 births, 1967 deaths, Deaths from leukemia, Barbadian sportspeople, Jamaican sportspeople
West Indies cricket team	Cricket clubs, Sport in the Caribbean, 1928 establishments
2007 Cricket World Cup	Cricket World Cup, 2007 in sports, 2007 in North America
Obadele Thompson	1976 births, Living people, Barbadian sportspeople, Olympic bronze medalists
Ryan Brathwaite	Barbadian sportspeople, 1988 births, Living people, Male athletes, Sprinters, World champions
DGM Barbados Open	Sport in Barbados, Golf tournaments, 2000 establishments in North America, 20th-century establishments in Barbados
Hirotaka Takeuchi	Living people, 1971 births, Japanese sportspeople, Mountain climbers
European Seniors Tour	Golf tournaments, Sport in Europe, 1992 establishments in Europe
Southwest National Park	Protected areas of Tasmania, National parks in Australia, Tasmanian Wilderness
Pan Am Flight 103	Lockerbie bombing, 1988 in the United Kingdom, 1980s explosions in Europe, 1980s in Scotland, 1980s murders in Europe, Aviation disasters in Europe, Aviation disasters in the 1980s, December events, Disasters in the United Kingdom, Explosions in the United Kingdom, Mass murder in the 1980s, Mass murder in the United Kingdom, Massacres in Europe, Murder in Scotland, Terrorist incidents in the United Kingdom in the 1980s
Payphone (song)	Maroon 5 songs, 2012 songs
Wren	Passeri
Vireo	Passeri
Shrike	Passeri
Photoflash capacitor	Photography, Electricity
Information leakage	Cryptography
Sistema Brasileiro de Televisão	Brazilian television networks
Doug Savant	1964 births, Living people, American movie actors, American television actors, Actors from Burbank, California
Lynda Carter	1951 births, Living people, Actors from Phoenix, Arizona, American movie actors, American television actors, American voice actors, Beauty pageant winners, Singers from Phoenix, Arizona, Models from Phoenix, Arizona
Australia national cricket team	Cricket clubs, Sport in Australia, 1877 establishments in Australia
Twenty20 International	Cricket, 2005 establishments
Reynaldo Hahn	French composers, 1874 births, 1947 deaths, French music critics
Gaussian elimination	Equations, Algebra, Computer science
Bronislava Nijinska	Russian ballerinas, Choreographers, 1891 births, 1972 deaths
Federico de Madrazo y Ochoa	Spanish painters, 1875 births, 1935 deaths, People from Madrid
Madea's Witness Protection	2012 movies, American comedy-drama movies, English-language movies, Lionsgate movies
2012 in movies	2012 movies
Giant antshrike	Passeriformes
Pygmy Antwren	Passeriformes
Ant-follower	Birds
Tropical Storm Beryl	2012 Atlantic hurricane season, May events, 2010s in Cuba, 2010s in the Bahamas, 2012 in Florida, 2010s in Georgia (U.S. state), 21st century in South Carolina
Collared antshrike	Passeriformes
Thamnophilus	Passeriformes
Dot-winged antwren	Passeriformes
Flag of Belarus	National flags, Belarus
National emblem of Belarus	Politics of Belarus, National coats of arms
Thaila Ayala	1986 births, Living people, Brazilian television actors
List of prime ministers of Belarus	Prime Ministers of Belarus
Mikhail Myasnikovich	1950 births, Living people, Prime Ministers of Belarus
