Crain Communications Building	Skyscrapers in Chicago, 1984 establishments in the United States, 1980s establishments in Illinois
James R. Thompson Center	Buildings and structures in Chicago, Illinois, 1985 establishments in the United States, 1980s establishments in Illinois
Richard J. Daley Center	Skyscrapers in Chicago, 1965 establishments in the United States, 1960s establishments in Illinois
Richard Hamilton (actor)	1920 births, 2004 deaths, Deaths from natural causes, American movie actors, American stage actors, American television actors, Actors from Chicago
Thurl Ravenscroft	1914 births, 2005 deaths, Deaths from prostate cancer, American movie actors, American television actors, American stage actors, American voice actors, singers from Nebraska, Actors from Nebraska
Northeast Greenland National Park	National parks in North America, Biosphere reserves, Geography of Greenland
Bearded seal	Pinnipeds, Mammals of Great Britain
Hooded seal	Pinnipeds, Mammals of Great Britain
Barnacle goose	Geese, Birds of Europe, Birds of Turkey
Pink-footed goose	Geese, Birds of Europe, Birds of Turkey
Common eider	Ducks, Birds of Europe, Birds of Turkey
King eider	Ducks
Joyce Randolph	1924 births, Living people, American movie actors, American television actors, American stage actors, American radio actors, Actors from Detroit, Michigan
Colonel Sanders	1890 births, 1980 deaths, Deaths from leukemia, Deaths from pneumonia, People with foods named after them, Chief executives, Businesspeople from Indiana, Businesspeople from Kentucky, KFC
Ziegler Polar Expedition	Arctic, Tromsø, 1900s
Chan's megastick	Phasmids
University of Mainz	1477 establishments, Colleges and universities in Germany, Mainz, 1470s establishments in Europe
Tochigi, Tochigi	Cities in Japan, Settlements in Tochigi Prefecture
Photographic memory	Memory, Experiments
Barnard Courtois	1777 births, 1838 deaths, French chemists
Kaymak	Dairy products, Turkish food
Hirado, Nagasaki	Cities in Kyushu, Settlements in Nagasaki Prefecture
Shambali	Cakes, Middle Eastern foods
Bitter almond cookie	Cookies, Turkish food
Sasebo, Nagasaki	Cities in Kyushu, Settlements in Nagasaki Prefecture
Yehoshua Sofer	1958 births, Living people, Israeli singers, Jamaican people, Jewish Israeli musicians, Naturalized citizens of Israel
Sado, Niigata	Cities in Japan, Settlements in Niigata Prefecture, World Heritage Sites in Japan
Joseph Black	Scottish scientists, 1728 births, 1799 deaths, People from Glasgow
Whipping boy	Monarchy, Metaphors
False memory syndrome	Syndromes
Gavin MacLeod	1931 births, 2021 deaths, American movie actors, American television actors, American voice actors, American stage actors, American activists, Actors from New York, People from Mount Kisco, New York
Tony Bennett	1926 births, Living people, American painters, Democrats (United States), Grammy Award winners, People from Queens, Singers from New York City, People with Alzheimer's disease, American pop singers, American jazz singers
Suzy Amis	1962 births, Living people, Actors from Oklahoma City, Models from Oklahoma, American movie actors, American television actors
Lance LeGault	1935 births, 2012 deaths, American television actors, American movie actors, American voice actors, Actors from Chicago
Robert Flemyng	1912 births, 1995 deaths, Actors from Liverpool, Deaths from pneumonia, English movie actors, English radio actors, English stage actors, English television actors, English voice actors, Infectious disease deaths in England
Ryūkyū Islands	Ryukyu Islands
