Wall plug	Hardware (mechanical)
Prince George of Cambridge	House of Windsor, Royalty from London, 2013 births, Living people
Rapcore	Rap music, Hip hop genres
Fred Dretske	1932 births, 2013 deaths, American philosophers, Scientists from Illinois, Deaths from heart failure, People from Waukegan, Illinois
Tom Corbett	US Republican Party politicians, Governors of Pennsylvania, 1949 births, Living people
Louis Mountbatten, 1st Earl Mountbatten of Burma	1900 births, 1979 deaths, Admirals, Assassinated people, British politicians, English murder victims, Irish Republican Army, People from Berkshire, People murdered in Europe, Royal Navy officers, Viceroys
Richard Erdman	1925 births, 2019 deaths, Deaths from dementia, American movie actors, American television actors, American voice actors, American stage actors, American movie directors, American movie producers, Actors from Oklahoma, People from Enid, Oklahoma
Ayushita	1989 births, Living people, Pop musicians, R&B musicians, Indonesian singers, Actors from Jakarta, movie actors, Television actors
The Butler	2013 movies, American drama movies, Historical movies, Movies set in Washington, D.C., Movies set in Louisiana, Movies set in California
Rosiers-d'Égletons	Communes in Corrèze
42 (movie)	2013 movies, American biographical movies, American sports movies, Warner Bros. movies
Silvio Fazio	Living people, 1952 births, Writers from Rome
Controlled-access highway	Roads
North American Aviation T2J Buckeye	United States Navy aircraft, Vietnam War aircraft
Art Clokey	1921 births, 2010 deaths, American adoptees, American animators, Infectious disease deaths in California, People from Detroit, Michigan
Bartlett's Familiar Quotations	Reference works, 2003 books
John Moore (broadcaster)	1966 births, Living people, Canadian voice actors, Movie critics, Canadian radio personalities, Canadian television presenters, People from Montreal
Better Than Chocolate	1999 romance movies, 1999 comedy movies, 1990s romantic comedy movies, 1999 LGBT movies, Canadian comedy movies, Canadian romance movies, Canadian LGBT movies, English-language movies
Bell 205	Bell aircraft, Civil aircraft
Bell 204	Bell aircraft, Civil aircraft
Bell 222	Civil aircraft, Helicopters, Bell aircraft
Great Sasuke	1969 births, Former WWE wrestlers, Japanese professional wrestlers, Living people, People from Iwate Prefecture
Separatism	Sociology
Ugni	Shrubs, Myrtaceae
Bell X-1	Bell aircraft, United States Army aircraft, United States Air Force aircraft
Bell P-63 Kingcobra	Bell aircraft, World War II American aircraft, United States military aircraft
Curtiss C-46 Commando	World War II American aircraft, United States Air Force aircraft, United States Army aircraft, United States Navy aircraft, Civil aircraft
Dassault Super Mirage 4000	Dassault Aviation, French military aircraft
Dassault Falcon 20	United States Coast Guard aircraft, Dassault Aviation, French military aircraft
Dassault Falcon 10	Civil aircraft, Dassault Aviation, French military aircraft
Gloster Gladiator	Royal Air Force aircraft, World War II British aircraft
Leduc 0.10	Aviation in France, Aircraft
Duke of Norfolk	British Dukes and Duchesses
McDonnell FH Phantom	United States Marine Corps aircraft, United States Navy aircraft
Arundel Cathedral	Cathedrals in England, Roman Catholic churches
Jinsei Shinzaki	1966 births, Former WWE wrestlers, Japanese professional wrestlers, Living people, People from Tokushima Prefecture
Arundel	Towns in West Sussex
Flower pot	Gardening, Containers
Bernadette Lafont	1938 births, 2013 deaths, Cardiovascular disease deaths in France, Deaths from cardiac arrest, French movie actors, French stage actors, French television actors, French voice actors
Virginia E. Johnson	1925 births, 2013 deaths, American educators, American physicians, American psychologists, Disease-related deaths in the United States, People from Springfield, Missouri, Scientists from Missouri, Sexologists
William H. Masters	1915 births, 2001 deaths, Deaths from Parkinson's disease, American physicians, Scientists from Cleveland, Ohio
Married... with Children	1987 American television series debuts, 1997 disestablishments, 1980s American comedy television series, 1990s American comedy television series, American sitcoms, Television series set in Chicago, Illinois, English-language television programs
According to Jim	2001 American television series debuts, 2009 American television series endings, 2000s American television series, American sitcoms, Television series about dysfunctional families, Television series about marriage, Television series about siblings, Television series about suburbia, Television series set in Chicago, Illinois, ABC network shows, English-language television programs
George Lopez (TV series)	2002 American television series debuts, 2007 American television series endings, 2000s American television series, American comedy television series, ABC network shows, Television series set in Los Angeles, California, English-language television programs
Belita Moreno	1949 births, Living people, American movie actors, American television actors, American voice actors, Actors from Dallas, Texas
Emiliano Díez	1953 births, Living people, Cuban actors, Movie actors, Television actors, Singers, People from Havana
Valente Rodriguez	1964 births, Living people, American movie actors, American television actors, American voice actors, Actors from Texas
Constance Marie	1965 births, Living people, American movie actors, American television actors, American voice actors, Actors from Los Angeles, California
Luis Armand Garcia	1992 births, Living people, American movie actors, American television actors, Actors from Illinois
Aimee Garcia	1978 births, Living people, American movie actors, American television actors, Actors from Chicago
Paranoia (2013 movie)	2013 drama movies, 2013 thriller movies, 2010s drama thriller movies, American drama thriller movies, English-language movies, FBI in fiction, Movies based on books
The Conjuring	2013 horror movies, American horror movies, American supernatural movies, English-language movies, Haunted house movies, Movies based on real life events, Movies set in the 1970s, Rhode Island in fiction, Saturn Award winning movies
Family Weekend	2013 comedy-drama movies, American comedy-drama movies, English-language movies, American independent movies
Mick Dodson	1950 births, Living people, Human rights activists, Australian lawyers, Australian of the Year Award winners, Indigenous Australian activists, Order of Australia, People from Melbourne, People from the Australian Capital Territory, People from the Northern Territory
Hume Cronyn	1911 births, 2003 deaths, Actors from London (Ontario), American movie actors, American radio actors, American stage actors, American television actors, American voice actors, Canadian movie actors, Canadian radio actors, Canadian stage actors, Canadian television actors, Canadian voice actors, Cancer deaths in the United States, Deaths from prostate cancer, Emmy Award winning actors, Naturalized citizens of the United States, Tony Award winning actors
Edward Platt	1916 births, 1974 deaths, Actors from Staten Island, American movie actors, American stage actors, American television actors, American voice actors, Cardiovascular disease deaths in California, Deaths from myocardial infarction, Princeton University alumni
Barbara Feldon	1933 births, Living people, Actors from Pennsylvania, American movie actors, American stage actors, American television actors, American voice actors, Models from Pennsylvania
Institute of Political Studies in Belgrade	Research organizations in Europe, 1968 establishments in Europe, Belgrade
Christina Cox	Canadian television actors, Canadian movie actors, 1971 births, Living people
Lanu-puisto	Parks, Geography of Finland, 1992 establishments in Europe, 20th century establishments in Finland
Headphone amplifier	Audio technology
Tube amplifier	Audio technology
IRS tax forms	Government of the United States, Taxation
Banana plug	Electrical connectors
Division of Aston	Electoral divisions of Australia, Victoria, Australia, 1984 establishments in Australia
Division of Batman	Former electoral divisions of Australia, Victoria, Australia, 1906 establishments in Australia
Balanced circuit	Electronic circuits
Rotary switch	Electronic switches
Commodore VIC-20	Commodore computers
Commodore 16	Commodore computers
The Incredible Burt Wonderstone	2013 movies, American comedy movies, Warner Bros. movies, Movies set in Los Angeles, California, Movies set in Las Vegas, English-language movies
Flight (movie)	2012 drama movies, American drama movies, English-language movies, Movies directed by Robert Zemeckis
Kelly Reilly	1977 births, Living people, English movie actors, English television actors, English stage actors, English voice actors, Actors from Surrey
Richard I, Duke of Normandy	930s births, 996 deaths, House of Normandy, Dukes and duchesses
