St Cross College, Oxford	1965 establishments in England, Colleges of the University of Oxford
Brad Renfro	American television actors, American movie actors, Actors from Tennessee, 1982 births, 2008 deaths, People from Knoxville, Tennessee
Tricia Helfer	Canadian television actors, Canadian movie actors, Canadian models, 1974 births, Living people, People from Alberta
Athelwald of Deira	Year of death unknown, Anglo-Saxons, Kings and queens, Year of birth unknown
Polar vortex	Atmosphere
Department of Alto Adige	History of Italy, 1810 establishments in Europe, 19th century establishments in Italy, 1814 disestablishments, 19th century disestablishments in Italy, 1810s disestablishments in Europe
Josep Casadevall	Judges of the European Court of Human Rights, 1946 births, Living people, Lawyers, Andorran people
Ineta Ziemele	1970 births, Living people, Latvian people, Judges of the European Court of Human Rights, Women judges
Suzanne Pleshette	American television actors, American movie actors, Actors from New York City, 1937 births, 2008 deaths, Deaths from cancer
Gleneagles Hotel	Hotels, Torquay
Patricia Hill Collins	1948 births, American feminists, Living people
(You Drive Me) Crazy	1999 songs, Britney Spears songs
The Spectator	1828 establishments in Europe, Magazines of the United Kingdom, 1820s establishments in the United Kingdom
Rookie (magazine)	2011 establishments in the United States, American magazines
TNA King of the Mountain Championship	Impact Wrestling
Amy Ryan	Actors from New York City, American television actors, American movie actors, 1969 births, Living people
Escape Plan	2013 thriller movies, 2010s action movies, American prison movies, American thriller movies, English-language movies, Morocco, Movies set in Africa, Movies set in Los Angeles, California, Movies set in Miami, Florida, New Orleans, Louisiana in fiction, Lionsgate movies
Long and Foster	Business
Fight or flight response	Ethology, Physiology
Ormoc	Cities in the Philippines
Gail Dines	1958 births, Living people, American activists, American feminist writers, American radical feminists, American sociologists, Anti-pornography activists, British activists, British feminists, British sociologists, Feminist writers, Jewish activists, Jewish American academics, Jewish American writers, Jewish British writers, Jewish feminists, Naturalized citizens of the United States, People from Manchester, Radical feminists
Brown County, Indiana	Indiana counties, 1836 establishments in Indiana
Larry D. Mann	1922 births, 2014 deaths, Actors from Toronto, Canadian movie actors, Canadian stage actors, Canadian television actors, Canadian voice actors, Deaths from Alzheimer's disease, Disease-related deaths in the United States, Naturalized citizens of the United States, American movie actors, American stage actors, American television actors, American voice actors
Alma Muriel	1951 births, 2014 deaths, Deaths from myocardial infarction, Mexican movie actors, Mexican television actors, Mexican stage actors, Actors from Mexico City
Cutthroat Kitchen	2013 American television series debuts, Food Network, Reality television series, English-language television programs
Pescetarianism	Nutrition
Semi-vegetarianism	Nutrition
Ovo-lacto vegetarianism	Vegetarianism
Béla Károlyi	1942 births, Living people, Romanian people, Coaches
Liam Cosgrave	1920 births, Living people, Taoisigh of Ireland, People from Dublin, Members of Fine Gael
Prem Tinsulanonda	1920 births, 2019 deaths, Deaths from heart failure, Prime Ministers of Thailand, Thai generals
Tun Tin	1920 births, 2020 deaths, Prime Ministers of Myanmar
Lê Đức Anh	1920 births, 2019 deaths, Deaths from stroke, Generals, Government ministers, Military personnel of the Vietnam War, Presidents of Vietnam, Vietnamese military people
40	40
Antonio Imbert Barrera	1920 births, 2016 deaths, North American military people, Presidents of the Dominican Republic
Pedro Richter Prada	1921 births, 2017 deaths, Prime Ministers of Peru, Criminals
Jean, Grand Duke of Luxembourg	1921 births, 2019 deaths, Deaths from respiratory tract infection, Grand Dukes of Luxembourg
2014 North American polar vortex	2014 in North America, Severe weather, 2014 in weather, Natural disasters in the United States, Natural disasters in Canada
Simon Blackburn	1944 births, English philosophers, Living people
Strange Days (movie)	1990s science fiction movies, 1995 thriller movies, 1995 action movies, 1995 drama movies, American science fiction movies, American thriller movies, Dystopian movies
Marcia Griffiths	Jamaican singers, Reggae musicians, 1949 births, Living people
Liz Jones	1958 births, Celebrity Big Brother contestants, English journalists, Living people
St Edmund Hall, Oxford	Colleges of the University of Oxford, 1957 establishments in the United Kingdom, 1950s establishments in England
St John's College, Oxford	Colleges of the University of Oxford, 1555 establishments, 1550s establishments in England
Soldiers of Christ, Arise	18th century songs, Christian hymns
Robert Zulj	1992 births, Living people, Austrian footballers, FC Red Bull Salzburg players
Thomas White (merchant)	1490s births, 1567 deaths, Knights, Mayors of London
Simon Hoggart	1946 births, 2014 deaths, Deaths from pancreatic cancer, English journalists, English radio personalities, Writers from Lancashire
Mustafa Ben Halim	1921 births, Living people, Ambassadors to France, Government ministers, People from Alexandria, Prime Ministers of Libya
Yitzhak Navon	1921 births, 2015 deaths, Former Members of Knesset, Government ministers of Israel, Israeli diplomats, Jewish Israeli politicians, Jewish Israeli writers, People from Jerusalem, Presidents of Israel
Abdelmalek Benhabyles	1921 births, 2018 deaths, Ambassadors of Algeria, Presidents of Algeria
Port Talbot	Towns in Wales
PSR B1257+12 B	Exoplanets
Rob Gonsalves	Painters, 1959 births, Living people, People from Toronto
Metropolis (comics)	Fictional locations, Superman
Daily Planet	Superman, Fictional locations
It's My Party	1990s romantic drama movies, 1996 romance movies, 1996 drama movies
It's My Party (song)	1963 songs, Pop songs
Florrie	1988 births, Living people, English models, English singer-songwriters, Entertainers from Bristol
Sasheer Zamata	1986 births, Actors from Indianapolis, Indiana, American movie actors, American television actors, American stage actors, American voice actors, African American actors, African American comedians, Living people
Jura, Scotland	Islands of Scotland
Krip Hop	Disability, Hip hop
Bryan Loren	1966 births, African American musicians, Living people
Lupita Nyong'o	Academy Award winning actors, Golden Globe Award winning actors, Screen Actors Guild Award winners, 1983 births, Living people, Mexican movie actors, Kenyan people, Actors from Mexico City
Numerical integration	Functions and mappings, Computing
Another Brick in the Wall	1979 songs, Pink Floyd songs
Harry Benjamin	1885 births, 1986 deaths, American physicians, Jewish American scientists, Sexologists
Michael Jackson's Vision	Michael Jackson
The Adventures of Elmo in Grouchland	1998 movies, American family movies, Sesame Street
Division of Richmond	Electoral divisions of Australia, New South Wales, 1901 establishments in Australia
Michael Jackson's Ghosts	2016 movies, 1993 movies, English-language movies, Michael Jackson, Stephen King, American independent movies
The 20/20 Experience	2013 albums, Justin Timberlake albums, Soul albums
Michael (album)	2010 albums, Michael Jackson albums
Euromaidan	2013 crimes, 2013 in Europe, 2014 crimes, 2014 in Europe, 2010s in Ukraine, Protests in the 2010s, Riots in Europe, November 2013 events
10 Things I Hate About You	1999 movies, English-language movies
Carbapenem	Antibiotics
French Wars of Religion	16th century in France, Wars involving France, Counter-Reformation
Issa Rae	African American writers, African American actors, Living people
Robyn Lawley	1989 births, Australian models, Living people, People from New South Wales
Barkhad Abdi	BAFTA Award winning actors, Actors from Minneapolis, Minnesota, Somali people, Naturalized citizens of the United States, American movie actors, 1985 births, Living people
Streptomyces	Gram-positive bacteria
Rosie the Riveter	Feminism
Prince of Conti	Titles in the old Kingdom of France
Randy Rhoads	1956 births, 1982 deaths, Accidental deaths in the United States, American guitarists, American heavy metal musicians, Aviation deaths in the United States, People from Santa Monica, California
The Net	1995 drama movies, 1995 thriller movies, 1990s drama thriller movies, American drama thriller movies, Chase movies, English-language movies, HIV/AIDS in movies, Movies about murderers, Movies set in Los Angeles, California, Movies set in Mexico, Movies set in San Francisco, Movies set in Washington, D.C., Suicide in movies
Iran–Contra affair	1985 in the United States, 1986 in the United States, 1987 in the United States, Political scandals in the United States, Presidency of Ronald Reagan
Maureen Reagan	1941 births, 2001 deaths, Actors from Los Angeles, California, American movie actors, American television actors, Cancer deaths in California, Children of Presidents of the United States, Deaths from melanoma, Reagan family
Michael Reagan	1945 births, Living people, American adoptees, American radio personalities, Reagan family, Children of Presidents of the United States, Businesspeople from Los Angeles, California
Patti Davis	1952 births, Living people, Reagan family, American movie actors, Models from Los Angeles, California, Writers from Los Angeles, California, Actors from Los Angeles, California
Ron Reagan	1958 births, Living people, Reagan family, American political commentators, American radio personalities, American political activists, Children of Presidents of the United States, Democrats (United States), People from Los Angeles, California
Eureka College	Colleges and universities in Illinois, 1855 establishments in Illinois
Lieutenant Governor of California	Lieutenant Governors of California
Robert Finch (American politician)	1925 births, 1995 deaths, United States Secretaries of Health, Education, and Welfare, Lieutenant Governors of California, Politicians from Arizona, US Republican Party politicians
Edwin Reinecke	1924 births, 2016 deaths, United States representatives from California, US Republican Party politicians, Politicians from Oregon, Lieutenant Governors of California, People from Medford, Oregon
John L. Harmer	1934 births, 2019 deaths, Lieutenant Governors of California, Writers from California, US Republican Party politicians, State legislators of the United States
Pat Brown	1905 births, 1996 deaths, Deaths from natural causes, Governors of California, 1960 United States presidential candidates, 1964 United States presidential candidates, Politicians from San Francisco, US Democratic Party politicians
Robert Montgomery	American movie actors, American stage actors, American television actors, Cancer deaths in New York, Presidents of the Screen Actors Guild, 1904 births, 1981 deaths
Howard Keel	Actors from Illinois, American movie actors, American stage actors, American television actors, Cancer deaths in California, Deaths from colorectal cancer, Presidents of the Screen Actors Guild, Singers from Illinois, 1919 births, 2004 deaths
George Chandler	People from Waukegan, Illinois, Presidents of the Screen Actors Guild, Actors from Illinois, American movie actors, American stage actors, American television actors, Deaths from surgical complications, Deaths from cancer, 1898 births, 1985 deaths
1986 United States bombing of Libya	1986 in the United States, 1980s explosions, 20th century in Libya, April 1986 events, Attacks on buildings and structures in Africa, Attacks on buildings and structures in the 1980s, Attacks on military installations, Explosions in Africa
Century City	Cities in California
Ghazi Mashal Ajil al-Yawer	1958 births, Living people, Presidents of Iraq, Vice Presidents of Iraq
Lesley Stahl	1941 births, Living people, American journalists, Writers from Massachusetts, People from Lynn, Massachusetts
Edith Windsor	1929 births, 2017 deaths, American LGBT rights activists, Lesbians, LGBT people from New York City, LGBT people from Pennsylvania, New York University alumni, People from Philadelphia, Pennsylvania
Flag of Ecuador	Ecuador, National flags
Flag of Chicago	Chicago, Illinois, Flags of the United States, 1917 establishments in the United States
Flag of Illinois	United States state flags, Illinois
Flag of Vatican City	Vatican City, National flags
St Peter's College, Oxford	Colleges of the University of Oxford, 1929 establishments in Europe, 1920s establishments in England
Somerville College, Oxford	Colleges of the University of Oxford, 1879 establishments in England
William Mapother	1965 births, Living people, American television actors, Actors from Louisville, Kentucky, American movie actors
PopMatters	1999 establishments, Entertainment websites
Rachel Lloyd	1975 births, Living people, British sex industry people, English activists, Prostitutes
Death of Mark Duggan	2011 deaths, 2011 in the United Kingdom, 2010s in London, August 2011 events, Deaths by firearm in the United Kingdom, People shot dead by law enforcement officers
Prince of Condé	Titles in the old Kingdom of France
Tom O'Carroll	1945 births, Living people, Irish writers, Sex offenders, Sexual freedom activists
École Polytechnique massacre	1989, 1980s in Canada, 20th century in Montreal, Attacks on buildings and structures in North America, Attacks on buildings and structures in the 1980s, December events, Mass murder in North America, Mass murder in the 1980s, Mass shootings in North America, Massacres, Murder in Canada, Murders by firearm, Murder-suicides in North America, School shootings, Suicides by firearm, Suicides in Canada
Ezra Miller	1992 births, Living people, Actors from New Jersey, American child actors, American child singers, American movie actors, American television actors, Jewish American actors, Jewish American musicians, LGBT actors, LGBT Jews, LGBT people from New Jersey, LGBT singers, People from Wyckoff, New Jersey, Queer people, Singers from New Jersey, LGBT models, Models from New Jersey
5 Tracks	John Cale albums, 2003 albums, Rock albums
British Armed Forces	1707 establishments, 18th century establishments in England, Military of the United Kingdom
Christina Onassis	1950 births, 1988 deaths, Argentine people, Businesspeople from New York City, Deaths from myocardial infarction, Disease-related deaths in Argentina, Greek people
Athina Onassis	1985 births, Living people, Billionaires, Equestrians, French businesspeople, Greek people, People from Ile-de-France
Arrogance	Emotions, Narcissism
Steven Yeun	1983 births, Living people, Actors from Michigan, American movie actors, American television actors, People from Troy, Michigan
Dawson College shooting	2006 crimes, 2000s in Montreal, Attacks on buildings and structures in North America, Attacks on buildings and structures in the 2000s, Mass shootings in North America, Mass shootings in the 2000s, Murder in Canada, Murders by firearm, Murder-suicides in North America, School shootings, September events, Suicides by firearm, Suicides in Canada
Crisis hotline	Telephone numbers, Suicide
Boys Town	Non-profit organizations of the United States, 1917 establishments in the United States
Boys Town, Nebraska	Villages in Nebraska
Selçuk Uluergüven	1941 births, 2014 deaths, Actors from Istanbul, Turkish stage actors, Turkish movie actors, Turkish television actors
Dale T. Mortensen	1939 births, 2014 deaths, Deaths from stroke, Deaths from cancer, Cancer deaths in Illinois, American economists, American educators, Nobel Prize in Economics winners, Scientists from Oregon
Josep Maria Castellet	1926 births, 2014 deaths, Critics, Deaths from pneumonia, Disease-related deaths in Barcelona, Infectious disease deaths in Spain, Publishers, Spanish poets, Writers from Barcelona
Wilmette, Illinois	Villages in Illinois, Suburbs of Chicago, Illinois, Settlements in Cook County, Illinois, 1872 establishments in the United States, 1870s establishments in Illinois
