Judgment (law)	Law, Legal terms
Case law	Law, Legal terms
Lien	Law, Legal terms, Real estate
Lanfranc	1000s births, 1080s deaths, Archbishops of Canterbury, Italian Roman Catholics, Monks, Roman Catholic archbishops, People from Pavia
Five Nights at Freddy's (series)	Five Nights at Freddy's (series)
Security interest	Legal terms, Finance
William Benjamin Carpenter	1813 births, 1885 deaths, English biologists, English physicians, Physiologists, Unitarians
Particle detector	Physics, Subatomic particles
Civil and political rights	International law, Legal terms
Bad Tölz-Wolfratshausen	Districts of Bavaria, Bad Tölz-Wolfratshausen
Hugo Schnars-Alquist	1855 births, 1939 deaths, German painters, People from Hamburg
Pleading	Law, Legal terms
Complaint	Law, Legal terms
Vitamin B12	B vitamins, Organometallic chemistry
Louis Agassiz	Swiss biologists, American zoologists, American geologists
Maps.me	Software
Cruachan Power Station	1965 establishments in the United Kingdom, Dams, 20th century establishments in Scotland
Steppe Geoglyphs	Geography of Kazakhstan
Right to a fair trial	Law
Due process	Law, Legal terms, International law
Saskia Post	1961 births, 2020 deaths, Actors from California, Actors from Melbourne, Australian movie actors, Australian stage actors, Australian television actors, Cardiovascular disease deaths in Australia, Deaths from cardiac arrest
Roosevelt Island Bridge	Bridges in New York City, Queens (New York City), Buildings and structures in Manhattan
List of World Heritage Sites in Chile	World Heritage Sites in South America, Chile, Lists of World Heritage sites, South America-related lists
The Mighty Mighty Bosstones	1980s American music groups, 1990s American music groups, 2000s American music groups, 2010s American music groups, American punk bands, American rock bands, Musical groups established in 1983, Musical groups from Massachusetts, 1983 establishments in the United States, 1980s establishments in Massachusetts, 2003 disestablishments in the United States, Musical groups established in 2007, Musical groups disestablished in 2003, 2007 establishments in the United States, 2000s establishments in Massachusetts, 2000s disestablishments in Massachusetts
Jämtkraft Arena	Stadiums in Sweden, 2007 establishments in Sweden
Nya parken	1903 establishments in Sweden, Stadiums in Sweden, Football stadiums in Sweden, Norrköping
Norrporten Arena	1903 establishments in Sweden, Stadiums in Sweden, Football stadiums in Sweden, Sundsvall
Old English poetry	Poetry, English literature
Unfaithful (song)	2006 songs, 2000s ballads, Pop ballads, Rhythm and blues ballads, Rihanna songs
Jimmy Roberts	1940 births, 2015 deaths, Cancer deaths in Missouri, Montreal Canadiens players, St. Louis Blues players, Sportspeople from Toronto
Philip French	1933 births, 2015 deaths, Alumni of the University of Oxford, British critics, Deaths from myocardial infarction, English journalists, Movie critics, Writers from Liverpool
Nicolás Fuentes	1941 births, 2015 deaths, Deaths from respiratory failure, Deaths from diabetes, Peruvian footballers, People from Lima
Ernesto Boy Herrera	1942 births, 2015 deaths, Deaths from cardiac arrest, Filipino politicians, Civil servants
Willis Carto	1926 births, 2015 deaths, American activists, American journalists, Deaths from cardiac arrest, Holocaust deniers, People from Fort Wayne, Indiana, Writers from Indiana
Superstition (song)	R&B songs, 1970s songs
Ants Antson	1938 births, 2015 deaths, 1964 Winter Olympics, 1968 Winter Olympics, Estonian sportspeople, People from Tallinn, Soviet Olympic gold medalists, Speed skaters
Västanfors IF	1916 establishments in Europe, Bandy clubs in Sweden, Floorball clubs in Sweden, Swedish football clubs, 1910s establishments in Sweden
Vertical-lift bridge	Bridge types
Rachel Platten	1981 births, Living people, American pop singers, Musicians from Manhattan, Singers from Massachusetts, Singer-songwriters from New York City, People from Newton, Massachusetts
Västerstrands AIK	1940 establishments in Europe, Bandy clubs in Sweden, Karlstad, 1940s establishments in Sweden
Mel Daniels	1944 births, 2015 deaths, Deaths from surgical complications, Indiana Pacers players, Sportspeople from Detroit, Michigan, National Basketball Association players with retired numbers
IFK Luleå	1900 establishments in Sweden, Luleå, Swedish football clubs
IFK Holmsund	1923 establishments in Sweden, Swedish football clubs
Kogalymavia Flight 9268	2015 aviation disasters, 21st century in Egypt, Islamic State, Islamic terrorist attacks, Terrorist incidents in 2015, 2015 in Africa
No Gravity (Shontelle album)	2010 albums, Dance albums, R&B albums
Växjö Lakers HC	Ice hockey teams in Sweden, Växjö, 1997 establishments in Sweden
Fishers, Indiana	Cities in Indiana
Law of the land	Law, Legal terms
1980 New Orleans Saints season	1980 in sports, 1980 in the United States, National Football League seasons, New Orleans Saints, 1980s in Louisiana, 20th century in New Orleans, Louisiana
Legal process	Law, Legal terms
Accounting software	Business, Software
Maine Mendoza	Living people, Filipino actors, 1995 births, Television presenters
Ölmbrotorp	Settlements in Orebro County
Odensbacken	Settlements in Orebro County
Latorpsbruk	Settlements in Orebro County
Norra Bro	Settlements in Orebro County
Stora Mellösa	Settlements in Orebro County
Askersby	Settlements in Orebro County
Ekeby-Almby	Settlements in Orebro County
Hampetorp	Settlements in Orebro County
Kilsmo	Settlements in Orebro County
Vintrosa	Settlements in Orebro County
Lanna	Settlements in Orebro County
Tower house	Buildings and structures
Sceptrum Brandenburgicum	Former constellations, 1688 establishments
Judge Rinder	British reality television series, 2014 television series debuts, 2010s establishments in the United Kingdom, English-language television programs
Täby Church	Church of Sweden churches
Deaths in November 2015	2015 deaths, November 2015 events
