Executive order (United States)	United States law
Ricardo Domínguez	1985 births, 2017 deaths, Boxers, Deaths from colorectal cancer, Mexican sportspeople, People from Sinaloa
Bengt Gustavsson	1928 births, 2017 deaths, Swedish football managers, Swedish footballers
Sing-along	Singing
Crito (Plato)	Ancient Greek philosophers, Classical Greek literature
Teen sitcom	Sitcoms
A Night to Remember (movie)	RMS Titanic, 1958 drama movies, British drama movies
Fundamental Orders of Connecticut	Connecticut, 17th century in the Thirteen Colonies, Politics of the United States, 1639, History of Connecticut
Pontine Islands	Archipelagos, Islands of Italy
Weathered	2001 albums
On the Beach (novel)	Novels, 1957 books
Frank Delaney	1942 births, 2017 deaths, Journalists, Irish novelists
Cosmo Haskard	1916 births, 2017 deaths, Irish politicians, British politicians, British centenarians, People from Dublin
Douglas Coe	1928 births, 2017 deaths, Deaths from myocardial infarction, American Christians, Writers from Oregon, People from Medford, Oregon
Kendra Lust	1978 births, Living people, Actors from Michigan, American pornographic actors, American erotic dancers
Jeanne Martin Cissé	1926 births, 2017 deaths, Ambassadors to the United Nations, Guinean people, Teachers
Seijun Suzuki	1923 births, 2017 deaths, Deaths from COPD, Japanese movie directors, Japanese screenwriters, Japanese movie actors
Ion Croitoru	1965 births, 2017 deaths, Deaths from myocardial infarction, Wrestlers, People convicted of manslaughter, People convicted of assault, People convicted of drug offenses, Sportspeople from Toronto
Harold Denton	1936 births, 2017 deaths, Deaths from COPD, Deaths from Alzheimer's disease, Civil servants, People from North Carolina
Ruth Westheimer	1928 births, Living people, American feminists, German Jews, Jewish American writers, Jewish feminists, Naturalized citizens of the United States, Writers from Frankfurt, Writers from New York City
Pnina Rosenblum	1954 births, Living people, Former Members of Knesset, Israeli television actors, Israeli businesspeople, Israeli models, Israeli movie actors, Israeli singers, Jewish actors, Jewish businesspeople, Jewish Israeli musicians, Jewish Israeli politicians, Jewish models, Jewish women politicians, Likud politicians, People from Petah Tikva
War Horse (movie)	2011 drama movies, 2010s war movies, American drama movies, American war movies, American epic movies, Indian movies, Movies directed by Steven Spielberg, Movies set in the 1910s, Movies set in France
Pig iron	Iron
Truro, Nova Scotia	Towns in Nova Scotia
Hôtel de Montesson	1770s establishments in Europe, 18th century establishments in France, 1810 disestablishments, 1810s disestablishments in Europe, Disestablishments in France
Charles Reis Felix	1923 births, 2017 deaths, American educators, Writers from Massachusetts
Naděžda Kavalírová	1923 births, 2017 deaths, Physicians, Czech scientists, Czech writers, Human rights activists, Criminals, Anti-Communists
Đinh Xuân Lâm	1925 births, 2017 deaths, Vietnamese people, Historians
Arnold Spielberg	1917 births, 2020 deaths, American centenarians, Engineers from Ohio, Jewish American scientists, Jewish centenarians, Scientists from Cincinnati, Ohio
Aleksei Petrenko	1938 births, 2017 deaths, Russian movie actors, Russian stage actors, Russian voice actors
Eni Faleomavaega	1943 births, 2017 deaths, Lieutenant Governors of American Samoa, United States representatives, US Democratic Party politicians
Photojournalism	Photography, Journalism
Bradley Ayers	1935 births, 2017 deaths, American military people, American political writers, American political activists, Writers from Minnesota
