Positron emission tomography	Medical imaging
Home Run Derby	Major League Baseball, 1985 establishments in the United States
The Star (1952 movie)	1952 drama movies, 1950s romantic drama movies, American romantic drama movies, Movies directed by Stuart Heisler, English-language movies
Claudio Báez	1948 births, 2017 deaths, Mexican television actors
Waiuku	Towns in New Zealand
Adalberto Giazotto	1940 births, 2017 deaths, Deaths from myocardial infarction, Italian scientists, Physicists
Meissner effect	Magnetism
Gillian Rolton	1956 births, 2017 deaths, Deaths from endometrial cancer, Cancer deaths in Australia, Australian Olympic gold medalists, Sportspeople from South Australia, People from Adelaide
Alex Ifeanyichukwu Ekwueme	1932 births, 2017 deaths, Accidental deaths from falls, Nigerian politicians, Vice presidents
Milan Moguš	1927 births, 2017 deaths, Deaths from coronary artery disease, Croatian people, Educators, Linguists
Warren "Pete" Moore	1939 births, 2017 deaths, American singer-songwriters, American R&B singers, American soul singers, American funk singers, American rock singers, African-American singers, Singers from Detroit, Michigan
Jana Novotná	1968 births, 2017 deaths, Australian Open champions, Czech tennis players, Deaths from cancer, Disease-related deaths in the Czech Republic, Female tennis players, French Open champions, Lesbians, LGBT Olympians, Medalists at the 1988 Summer Olympics, Medalists at the 1996 Summer Olympics, Olympic bronze medalists, Olympic silver medalists, People from Brno, US Open (tennis) champions, Wimbledon champions, World No. 1 tennis players
Terry Glenn	1974 births, 2017 deaths, Road accident deaths in the United States, American football wide receivers, New England Patriots players, Green Bay Packers players, Dallas Cowboys players, Sportspeople from Columbus, Ohio
Janusz Wójcik	1953 births, 2017 deaths, Polish politicians, Polish footballers, Sportspeople from Warsaw
Robert Clotworthy	Living people, 1955 births, American movie actors, American television actors, American television presenters, American voice actors, American video game actors, Actors from Los Angeles, California
Bob Clotworthy	1931 births, 2018 deaths, Divers, American Olympic gold medalists, American Olympic bronze medalists, Sportspeople from Newark, New Jersey
Víctor Hipólito Martínez	1924 births, 2017 deaths, Deaths from pneumonia, Vice Presidents of Argentina
Kamala (wrestler)	1950 births, 2020 deaths, Deaths from the COVID-19 pandemic in the United States, Deaths from diabetes, Deaths from cardiac arrest, American professional wrestlers, Sportspeople from Mississippi
Tongkang LRT Station	Light Rail Transit (Singapore) stations, Sengkang
Bobby Mahal	Living people, Canadian sportspeople
Ryza Cenon	Living people, Filipino actors, 1987 births, Television presenters
Merrill Cook	1946 births, Living people, American Latter Day Saints, Businesspeople from Utah, Harvard University alumni, Politicians from Philadelphia, Pennsylvania, United States representatives from Utah, US Republican Party politicians
Karen Shepherd	1940 births, Living people, Politicians from New Mexico, United States representatives from Utah, US Democratic Party politicians
Yanam	Towns in India, Settlements in Puducherry
Firozabad district	Districts of Uttar Pradesh
Machilipatnam	Settlements in Andhra Pradesh, Cities in India
Machilipatnam mandal	Andhra Pradesh
Mohammad Fathy Saoud	Living people, Qatar Foundation people
Earl of Bothwell	Scottish Earls
Indawgyi Lake	Geography of Myanmar, Lakes of Asia
Ned Jarrett	Living people, 1932 births, NASCAR drivers, Sportspeople from North Carolina
John Gordon	1925 births, 2017 deaths, Deaths from Alzheimer's disease, English novelists, English children's writers
John A. Gordon	1946 births, 2020 deaths, American military people, Politicians from Missouri
Rodney Bewes	1937 births, 2017 deaths, Actors from Yorkshire, Deaths from vascular dementia, Disease-related deaths in England, English movie actors, English stage actors, English television actors, English television writers, Writers from Yorkshire
Zoltan Istvan	2020 United States presidential candidates, 2016 United States presidential candidates, 1973 births, Living people, American novelists, American journalists, American philosophers, American educators, American activists, Businesspeople from Los Angeles, California, Politicians from Los Angeles, California, Writers from Los Angeles, California, US Libertarian Party politicians
Ham sandwich theorem	Geometry
Kaji Khalak family	History of Nepal
Layar LRT Station	Sengkang, Light Rail Transit (Singapore) stations
Sengkang	Sengkang, Places in Singapore
Renjong LRT Station	Sengkang, Light Rail Transit (Singapore) stations
Zahir Raihan	1935 births, 1972 deaths, 2020 deaths, Bangladeshi movie directors, Novelists, Missing people, People from Dhaka, Bangla Academy Literary Award winners, Recipients of the Ekushey Padak, Bangladeshi Muslims, Recipients of the Independence Day Award, Recipients of Bangladesh National Film Awards
Red Army F.C.	Pages created with the Article Wizard from 2017, 2013 establishments, Football clubs
PFC Levski Sofia	Bulgarian football clubs
Taipei Metro	Rapid transit systems
PFC Lokomotiv Plovdiv	Bulgarian football clubs
Ibrahim AlHaidos	Living people, 1986 births, Qatar Foundation people
Subprefectures in France	Subprefectures in France
Zibelemärit	Swiss culture, Retail markets, Bern, 1850s establishments in Europe, 19th century establishments in Switzerland
Peter Berling	1934 births, 2017 deaths, German movie actors, German movie producers, German novelists, People from former German territories, People from Prussia
Munster cheese	French cheeses
Pigniu	Former municipalities of Graubünden
Ion exchange chromatography	Laboratory techniques, Chemistry
La Chaux-de-Fonds	Cities in Switzerland, Municipalities of Neuchâtel, World Heritage Sites in Switzerland
Rueun	Former municipalities of Graubünden
Pitasch	Former municipalities of Graubünden
Kerzers	Municipalities of Fribourg
Communauté d'agglomération d'Agen	Agglomeration communities in France
Astaffort	Communes in Lot-et-Garonne
APOEL FC	Cypriot football clubs, Nicosia
Fire bucket	Firefighting
Stuffed peppers	Foods
Communauté d'agglomération du Grand Annecy	Agglomeration communities in France
Agglomeration community of Annemasse – Les Voirons	Agglomeration communities in France
Dmitri Hvorostovsky	1962 births, 2017 deaths, Deaths from brain cancer, Cancer deaths in London, Russian singers, Russian opera singers
Frontotemporal dementia	Diseases and disorders of the cardiovascular system, Dementia
István Konkoly	1930 births, 2017 deaths, Hungarian Roman Catholics, Roman Catholic bishops
Thanggam LRT Station	Sengkang, Light Rail Transit (Singapore) stations
Cheng Lim LRT Station	Sengkang, Light Rail Transit (Singapore) stations
Mombar	Egypt, Foods
Wayne Cochran	1939 births, 2017 deaths, American soul musicians, Singers from Georgia (U.S. state), Musicians from Georgia (U.S. state), Musicians from Miami, Florida, Singers from Miami, Florida, People from Miramar, Florida
Valentin Huot	1929 births, 2017 deaths, Deaths from bronchopneumonia, Disease-related deaths in France, French cyclists
George Avakian	1919 births, 2017 deaths, American educators, Businesspeople from New York City, Musicians from New York City, Writers from New York City
Jon Hendricks	Grammy Award winners, 1921 births, 2017 deaths, American jazz musicians, American singer-songwriters, Singers from Ohio, Musicians from Ohio, Writers from Ohio
Robert Durst	1943 births, Living people, Real estate developers, People acquitted of murder, Businesspeople from New York City, Criminals from New York City, American people convicted of murder, American serial killers
Elizabeth Eckford	1941 births, Living people, People from Little Rock, Arkansas
Luis Garisto	1945 births, 2017 deaths, Deaths from respiratory failure, Uruguayan footballers, Uruguayan football managers, Sportspeople from Montevideo
Reg Watson	1926 births, 2019 deaths, Television producers, Television writers, People from Brisbane, Writers from Queensland
Elle (magazine)	Monthly magazines, Fashion magazines, 1945 establishments in Europe, 1940s establishments in France
Resistance welding	Engineering, Metals
River Annalee	Rivers of Ireland
Ank Bijleveld	1962 births, Living people, Christian Democratic Appeal politicians, Deputy government ministers of the Netherlands, Dutch councillors, Dutch mayors, Dutch Roman Catholics, Dutch women politicians, Former members of the House of Representatives of the Netherlands, Government ministers of the Netherlands, Politicians from Overijssel
IJsselmuiden	Settlements in Overijssel, Former municipalities of Overijssel
Overdinkel	Settlements in Overijssel, Losser
Carole Samaha	1972 births, Living people, Lebanese entertainers, People from Beirut
Stela Popescu	1935 births, 2017 deaths, Deaths from stroke, Romanian entertainers, Romanian movie actors, Romanian television actors, Television personalities, Humanitarians
Pete Stark	1931 births, 2020 deaths, Deaths from leukemia, United States representatives from California, American atheists, Bankers, Politicians from San Francisco, Politicians from Milwaukee, Wisconsin, Businesspeople from San Francisco, Businesspeople from Wisconsin, US Democratic Party politicians
Joe Barton	1949 births, Living people, United States representatives from Texas, People from Waco, Texas, US Republican Party politicians
