Kenning	Medieval literature, Poetry, Iceland
Adam Price	1968 births, Living people, UK MPs 2001–2005, UK MPs 2005–2010, Welsh politicians
Colum Eastwood	1983 births, Living people, British mayors, Leaders of political parties in the United Kingdom, Members of the British House of Commons for Northern Irish constituencies, Northern Ireland Assembly, Former Members, UK MPs 2019–
Naomi Long	1971 births, Living people, British activists, British mayors, British Protestants, Former members of the British House of Commons for Northern Irish constituencies, Former MEPs, Leaders of political parties in the United Kingdom, LGBT rights activists, MEPs for the United Kingdom, Northern Ireland Assembly, Members, Northern Irish Christians, Politicians from Belfast, Presbyterians, UK MPs 2010–2015, Women politicians
Karin Balzer	1938 births, 2019 deaths, German Olympic gold medalists, German Olympic bronze medalists
Bronco Horvath	1930 births, 2019 deaths, Boston Bruins players, Chicago Blackhawks players, Minnesota North Stars players, Montreal Canadiens players, New York Rangers players, Toronto Maple Leafs players, Sportspeople from Ontario, Ice hockey centres
Tunç Başaran	1938 births, 2019 deaths, Deaths from soft-tissue sarcoma, Turkish movie directors, Turkish screenwriters, Turkish movie producers, Actors from Istanbul
Zafar Chaudhry	1926 births, 2019 deaths, Generals, Pakistani businesspeople, Deaths from cardiac arrest, Human rights activists
Geulah Cohen	1925 births, 2019 deaths, Former Members of Knesset, Hebrew University of Jerusalem alumni, Human rights activists, Jewish Israeli politicians, Jewish women politicians, People from Tel Aviv
Kenny Lynch	1938 births, 2019 deaths, Deaths from cancer, English singer-songwriters, English rock singers, English movie actors, Singers from London, Writers from London, Actors from London
Filozoa	Eukaryotes
Ibrahim Diarra	1983 births, 2019 deaths, Deaths from stroke, French rugby union players, Sportspeople from Paris
Wimberley, Texas	Cities in Texas
Edward C. Schmults	1931 births, Living people, American lawyers, Politicians from New Jersey, People from Paterson, New Jersey, United States Deputy Attorneys General
Ralph E. Erickson	1928 births, Living people, American lawyers, Politicians from New York, United States Deputy Attorneys General
Philip Heymann	1932 births, Living people, American lawyers, Politicians from Pittsburgh, Pennsylvania, US Democratic Party politicians, United States Deputy Attorneys General
John Lewis	1940 births, 2020 deaths, Deaths from pancreatic cancer, United States representatives from Georgia, American civil rights activists, Politicians from Alabama, US Democratic Party politicians
Tamisuke Watanuki	1927 births, Living people, Speakers of the House of Representatives (Japan)
Yoshio Mochizuki	1947 births, 2019 deaths, Deaths from liver failure, Japanese politicians, People from Shizuoka Prefecture
Tadamori Oshima	1946 births, Living people, Speakers of the House of Representatives (Japan)
List of speakers of the House of Representatives (Japan)	Speakers of the House of Representatives (Japan)
House of Representatives (Japan)	Politics of Japan
House of Councillors (Japan)	Politics of Japan
List of presidents of the House of Councillors (Japan)	Presidents of the House of Councillors (Japan)
Akiko Santō	1942 births, Living people, Presidents of the House of Councillors (Japan)
Chūichi Date	1939 births, Living people, Presidents of the House of Councillors (Japan)
Chikage Oogi	1933 births, Living people, Presidents of the House of Councillors (Japan)
Azuma Koshiishi	1936 births, Living people, Japanese politicians
Masatoshi Wakabayashi	1934 births, Living people, Japanese politicians
Leader of the Opposition (Japan)	Politics of Japan
Yukio Edano	1964 births, Living people, Japanese politicians
