Cross City, Florida	Towns in Florida, County seats in Florida
Crawfordville, Florida	Census-designated places in Florida, County seats in Florida
Ituri Province	Provinces of the Democratic Republic of the Congo, 2015 establishments in Africa
I Love Me (Demi Lovato song)	2020 songs, R&B songs, Pop songs
Haut-Uele	Provinces of the Democratic Republic of the Congo, 2015 establishments in Africa
Tshopo	Provinces of the Democratic Republic of the Congo, 2015 establishments in Africa
Bas-Uele	Provinces of the Democratic Republic of the Congo, 2015 establishments in Africa
Nord-Ubangi	Provinces of the Democratic Republic of the Congo, 2015 establishments in Africa
Mongala	Provinces of the Democratic Republic of the Congo, 2015 establishments in Africa
Sud-Ubangi	Provinces of the Democratic Republic of the Congo, 2015 establishments in Africa
Glenwood Springs, Colorado	Cities in Colorado, County seats in Colorado
Carlos Falcó, 5th Marquess of Griñón	1937 births, 2020 deaths, Deaths from the COVID-19 pandemic in Spain, Spanish royalty, Spanish businesspeople
Lady of the Dunes	Unexplained deaths
Provincetown, Massachusetts	Towns in Massachusetts
Danny Ray Thompson	1947 births, 2020 deaths, Musicians from New York City, American saxophonists, American jazz musicians
Sun Ra	1914 births, 1993 deaths, Deaths from heart failure, Deaths from respiratory failure, Deaths from stroke, American jazz musicians, American composers, American bandleaders, American pianists, American poets, People from Bessemer, Alabama, Musicians from Birmingham, Alabama, Writers from Birmingham, Alabama
Marshall Allen	1924 births, Living people, American saxophonists, American jazz musicians, Musicians from Louisville, Kentucky
Andover, Illinois	Villages in Illinois
Alpha, Illinois	Villages in Illinois
Alexis, Illinois	Villages in Illinois
Albany, Illinois	Villages in Illinois
Elburn, Illinois	Villages in Illinois
Johnsburg, Illinois	Villages in Illinois
Annawan, Illinois	Towns in Illinois
Astoria, Illinois	Towns in Illinois
Chatsworth, Illinois	Towns in Illinois
La Prairie, Illinois	Towns in Illinois
Bloomingdale, Illinois	Villages in Illinois, Suburbs of Chicago, Illinois, Settlements in DuPage County, Illinois
Alto Pass, Illinois	Villages in Illinois
Alhambra, Illinois	Villages in Illinois
Albers, Illinois	Villages in Illinois
Randolph County, Indiana	1818 establishments in Indiana, Indiana counties
Beverly Beach, Florida	Towns in Florida, Flagler County, Florida
Marineland, Florida	Towns in Florida, Flagler County, Florida
Allendale, Illinois	Villages in Illinois
Germantown, Illinois	Villages in Illinois
Allenville, Illinois	Villages in Illinois
Khariboli dialect	Urdu dialects, Urdu language, Hindi
Big Pine Key, Florida	Census-designated places in Florida
Alorton, Illinois	Villages in Illinois
Alto's Adventure	2015 video games, IOS games, Android (operating system) games
