Estate (law)	Law
Parkchester, Bronx	The Bronx, Neighborhoods of New York City
Yorktown Heights, New York	Census-designated places in New York (state)
MIT Lincoln Laboratory	United States Department of Defense
Sugar Hill	1970s action movies, 1974 horror movies, American action movies, American horror movies, Blaxploitation movies
National Hispanic Institute	Organizations based in the United States
Lorenzo de Zavala	1788 births, 1836 deaths, Mexican politicians
Standing Rock Indian Reservation	Settlements in North Dakota
Dakota Access Pipeline protests	2016 in the United States
Brand New Congress	Bernie Sanders
Brewster McCloud	1970 comedy movies, 1970s fantasy movies, American fantasy-comedy movies, Movies directed by Robert Altman
MoveOn	Political organizations based in the United States
Democracy for America	Organizations based in the United States
The Looney Tunes Show	English-language television programs
Union Square, Manhattan	Manhattan
Mother, Jugs & Speed	1976 comedy movies, American black comedy movies, 20th Century Fox movies, Movies directed by Peter Yates
Merriam-Webster	Companies of the United States
Dave Brat	1964 births, Living people, Businesspeople from Virginia, Businesspeople from Detroit, Michigan, Politicians from Detroit, Michigan, United States representatives from Virginia, US Republican Party politicians
Working Families Party	Political parties in the United States
No Mercy (1986 movie)	1986 action movies, 1986 crime movies, 1986 thriller movies, 1980s crime thriller movies, American crime thriller movies, Movies directed by Richard Pearce
AJ Tracey	1994 births, English singer-songwriters, English rap musicians, Black British musicians, Grime music artists, Living people, Singers from London
Fahrenheit 11/9	2018 movies, American documentary movies, Donald Trump
Knock Down the House	2019 movies, Netflix movies, 2010s feminist movies
Aitch (rapper)	1999 births, Living people, English rap musicians, People from Manchester, Grime music artists
J Hus	1996 births, Black British musicians, English singer-songwriters, English rap musicians, Singers from London, Living people
The Iceman Cometh	1973 drama movies, American drama movies, Movies based on plays
Baby Blue Marine	1976 drama movies, 1970s war movies, American drama movies
Reflections in a Golden Eye (movie)	1967 drama movies, American drama movies, Movies based on books, Movies directed by John Huston
Kid Blue	1970s western movies, 1973 movies, American western movies
Murder of John Lennon	1980 in the United States, 1980s in New York (state), 1980s murders in the United States, 20th century in Manhattan, Assassinations in the United States, Crime in New York City, December events, John Lennon, Murders by firearm in New York
O Lucky Man!	1973 comedy movies, 1973 drama movies, 1970s comedy-drama movies, 1970s fantasy movies, British comedy-drama movies, British fantasy movies
Your Ticket Is No Longer Valid	1981 drama movies, 1980s erotic movies, Canadian drama movies
Battle Beyond the Stars	1980s science fiction movies, 1980s western movies, 1980 action movies, American science fiction movies, American western movies, American action movies, English-language movies, Movies composed by James Horner, American independent movies
PolitiFact	Organizations based in the United States
Ammakandakara	Villages in Pathanamthitta district
Zorro, The Gay Blade	1980s adventure movies, 1981 comedy movies, 1980s LGBT movies, American adventure movies, American comedy movies, Mexican movies, Movies directed by Peter Medak
Angadi	Villages in Pathanamthitta district
Angadickal	Villages in Pathanamthitta district
The Only Game in Town (movie)	1970 drama movies, American drama movies, Movies based on plays, Movies directed by George Stevens
Conservative Party of New York State	Political parties in the United States, Politics of New York
Pipra Dixit	Villages in India
Generation Z	Cultural anthropology
Keezhuvaipur	Villages in Pathanamthitta district
Kozhencherry East	Villages in Pathanamthitta district
Tornillo, Texas	Census-designated places in Texas
Child care	Lifestyles
Save the Tiger	1973 drama movies, American drama movies, Movies based on books, Movies directed by John G. Avildsen
Character Map	Microsoft software
Modern Monetary Theory	Economic theories
America (magazine)	American magazines
The Seven-Ups	1970s action movies, 1973 crime movies, 1970s mystery movies, American action movies
RuPaul's Drag Race	2009 television series debuts, Emmy Award winning programs, American reality television series, English-language television programs
Angamoozhy	Villages in Pathanamthitta district
Anicadu	Villages in Pathanamthitta district
Aranmula	Villages in Pathanamthitta district
Arukalickal	Villages in Pathanamthitta district
Aruvappulam	Villages in Pathanamthitta district
List of districts of India	Districts of India, Geography-related lists, India-related lists
Dan Walters	1966 births, 2020 deaths, American crime victims, American police officers, San Diego Padres players, Sportspeople from Maine
Yorktown, New York	Towns in New York
Claude Evrard	1933 births, 2020 deaths, French movie actors, French stage actors, French television actors, French voice actors, People from Versailles
The Great White Hope (movie)	1970 movies, 1970s romantic drama movies, American romantic drama movies, Movies based on plays, Movies directed by Martin Ritt
Bartender	Employment
I Never Sang for My Father	1970 drama movies, American drama movies
Initial	Typography
Val de Drôme	2017 establishments in France, Communes in Calvados
Rich Hacker	1947 births, 2020 deaths, Deaths from leukemia, Cancer deaths in Illinois, Montreal Expos players, Sportspeople from Illinois, People from Belleville, Illinois
Five Easy Pieces	1970 drama movies, American drama movies
Glen Carbon, Illinois	Villages in Illinois
Maquoketa River	Rivers of Iowa
Le Hom	2016 establishments in France, Communes in Calvados
