Remo Sernagiotto	1955 births, 2020 deaths, Former MEPs, MEPs for Italy, Deaths from myocardial infarction
Montebelluna	Settlements in Veneto
Viorel Turcu	1960 births, 2020 deaths, Romanian footballers, Deaths from myocardial infarction
Piatra Neamț	Cities in Romania
Betty Bobbitt	1939 births, 2020 deaths, American movie actors, American television actors, Australian movie actors, Australian television actors, Actors from New York City, Actors from Melbourne, Naturalised citizens of Australia, Deaths from stroke, Cardiovascular disease deaths in Australia
Kiran Maheshwari	1961 births, 2020 deaths, Deaths from the COVID-19 pandemic in India, Indian politicians
Mildred Harris	1901 births, 1944 births, American child actors, American silent movie actors, Actors from Wyoming, People from Cheyenne, Wyoming
Amazon river dolphin	Mammals of South America, River dolphins
Lita Grey	1908 births, 1995 deaths, American silent movie actors, American movie actors, Actors from Los Angeles, California
Paulette Goddard	1910 births, 1990 deaths, Deaths from heart failure, Deaths from emphysema, American silent movie actors, American stage actors, Movie producers from New York City, Models from New York City, American dancers, Actors from New York City
Modern Times (movie)	1936 movies, 1930s comedy movies, American comedy movies, Movies directed by Charlie Chaplin
The Kid (1921 movie)	1921 movies, 1920s comedy movies, 1920s drama movies, American comedy-drama movies, Movies directed by Charlie Chaplin
The Tramp	Fictional British people
Kid Auto Races at Venice	1914 movies, 1910s comedy movies, American sports comedy movies, American silent movies, Short movies
Tom Casperson	1959 births, 2020 deaths, Deaths from lung cancer, State legislators of the United States, Politicians from Michigan, US Republican Party politicians
Michael J. Budds	1947 births, 2020 deaths, American educators, Musicologists, Writers from Illinois, Writers from Missouri
Agnieszka Chylińska	Polish people, 1976 births, Living people
João Alves Filho	1941 births, 2020 deaths, Brazilian politicians, Deaths from the COVID-19 pandemic in Brazil
Mack Sennett	1880 births, 1960 deaths, American silent movie actors, Canadian movie actors, Canadian movie directors, Canadian movie producers, Canadian stage actors, American stage actors, Naturalized citizens of the United States, Movie producers from Los Angeles, California, Movie directors from Los Angeles, California, Actors from Los Angeles, California, Actors from Quebec, Screenwriters from Los Angeles, California, Canadian screenwriters, Writers from Quebec, American composers, Canadian composers, American cinematographers
Jen Psaki	1978 births, Living people, White House Communications Directors, American political commentators, CNN people, Politicians from Connecticut, People from Stamford, Connecticut, People from Greenwich, Connecticut, US Democratic Party politicians, White House Press Secretaries
Neera Tanden	1970 births, Living people, American lawyers, Politicians from Massachusetts, Businesspeople from Massachusetts, US Democratic Party politicians
Cecilia Rouse	1963 births, Living people, American economists, American educators, Scientists from California, Politicians from California, US Democratic Party politicians
Kate Bedingfield	1982 births, Living people, White House Communications Directors, Politicians from Georgia (U.S. state), US Democratic Party politicians
White House Communications Director	White House Communications Directors
Gerald Rafshoon	1934 births, American television producers, Living people, White House Communications Directors, Businesspeople from New York City, Politicians from New York City, US Democratic Party politicians
