Kristen Dalton (Miss USA)	1986 births, Beauty pageant winners, Actors from North Carolina, Living people
In the Summertime	1970 songs
Edna Krabappel	The Simpsons characters, Fictional characters introduced in 1990
UN Watch	1993 establishments in Europe, Human rights organizations in Europe
2021 in association football	2021 in association football, Years in association football
Zam Wesell	Star Wars characters
Fondue bourguinonne	Foods
Bradley Byrne	1955 births, United States representatives from Alabama, People from Mobile, Alabama, US Republican Party politicians, Living people
Alabama's 1st congressional district	Congressional districts of Alabama
Accattone	1961 movies, 1961 drama movies, Italian drama movies, Movies directed by Pier Paolo Pasolini, Black-and-white movies, Italian-language movies, Movies set in Rome
Oedipus Rex (1967 movie)	1967 drama movies, Italian drama movies, Moroccan movies, Movies based on plays, Movies directed by Pier Paolo Pasolini, Italian-language movies, Incest in movies
Prelude in E Minor (Chopin)	Compositions by Frédéric Chopin, 1839 establishments, Solo piano pieces
Ulana Suprun	1963 births, Ukrainian politicians
Illia Yemets	1956 births, Ukrainian politicians
Wild Animal Baby Explorers	2008 television series debuts, Canadian television series
Bo Peep (Toy Story)	Fictional characters introduced in 1995, Kingdom Hearts characters, Toy Story characters
Papurana grisea	Animals of Asia, Frogs
Jerry Carl	1958 births, United States representatives from Alabama, US Republican Party politicians, Businesspeople from Alabama, People from Mobile, Alabama, Living people
Bontebok	Bovids, Mammals of Africa
Jo Bonner	1959 births, United States representatives from Alabama, People from Selma, Alabama, US Republican Party politicians, Living people
Temple of Heaven	Buildings and structures in Beijing, Temples in Asia
Harry the Bunny	Children's television series, Television shows about rabbits and hares
Jyn Erso	Star Wars characters, Fictional characters introduced in 2016
Isabel Guzman	1970s births, Living people, Administrators of the Small Business Administration, American activists, Politicians from California, People from Burbank, California, US Democratic Party politicians
Daniel McKee	1951 births, Living people, Governors of Rhode Island, American mayors, US Democratic Party politicians, Lieutenant Governors of Rhode Island
Lisa's Sax	The Simpsons episodes, 1997 television episodes
Donovan Richards	Living people, US Democratic Party politicians, Year of birth missing (living people), 21st-century American politicians, African American politicians, Politicians from New York City
Standardization	Technology, Standards
2020 United States Senate special election in Arizona	2020 elections, November 2020 events, 2020 in the United States, 21st century in Arizona
Reset button	Television, Technology
Jamie O'Hara (singer)	1950 births, 2021 deaths, American singer-songwriters, Grammy Award winners, Cancer deaths in the United States, Musicians from Ohio, Singers from Ohio, Writers from Ohio, People from Toledo, Ohio, American country singers, American country guitarists
Mediterranean tropical-like cyclone	Hurricanes in Europe
Mary Catherine Bateson	1939 births, 2021 deaths, Accidental deaths from falls in the United States, American anthropologists, Writers from New York City
2020 United States Senate election in Alaska	2020 United States Senate elections, Alaska
Peyman Keshavarzi	1995 births, Iranian footballers, Association football defenders, Iranian expatriate footballers, Tractor S.C. players
Conditional probability	Probability theory
Atmospheric railway	Rail transport
Lucky, Louisiana	Villages in Bienville Parish, Louisiana
Saline, Louisiana	Villages in Bienville Parish, Louisiana
Taylortown, Louisiana	Unincorporated communities in Louisiana
Covina, California	Cities in California, Settlements in Los Angeles County, California
Cerritos, California	Cities in California, Settlements in Los Angeles County, California
Diamond Bar, California	Cities in California, Settlements in Los Angeles County, California
La Puente, California	Cities in California, Settlements in Los Angeles County, California
Baldwin Park, California	Cities in California, Settlements in Los Angeles County, California
Walnut, California	Cities in California, Settlements in Los Angeles County, California
Irwindale, California	Cities in California, Settlements in Los Angeles County, California
Rosemead, California	Cities in California, Settlements in Los Angeles County, California
Paramount, California	Cities in California, Settlements in Los Angeles County, California
South El Monte, California	Cities in California, Settlements in Los Angeles County, California
La Mirada, California	Cities in California, Settlements in Los Angeles County, California
2020 United States Senate election in Rhode Island	2020 United States Senate elections, Rhode Island
Ed Bruce	1939 births, 2021 deaths, Deaths from natural causes in the United States, American singer-songwriters, American country singers, American voice actors, American television actors, Singers from Arkansas, Writers from Arkansas, Actors from Arkansas
Two Guys from Texas	1948 movies, 1940s musical movies, 1940s comedy movies, American musical movies, American comedy movies, Movies directed by David Butler, Movies set in Texas
Ford Pinto	Ford automobiles, 1970s automobiles, 1980s automobiles
Persuasive text	Logic, Rhetoric
Village People	Disco groups, Musical groups from New York City, Musical groups established in 1977, 1970s establishments in New York (state), 1977 establishments in the United States
Mexican food	Mexican food
Child marriage	Marriage, Social issues
Waimakariri River	Rivers of Oceania, Bodies of water of New Zealand
2020 United States Senate election in Mississippi	2020 United States Senate elections, Mississippi
Nathan Gale	1979 births, 2004 deaths, Criminals
Yey!	2011 establishments in the Philippines, 21st century disestablishments in Asia, 2020 disestablishments, Filipino culture, Television channels
Keachi, Louisiana	Towns in Louisiana, Ark-La-Tex, Settlements in DeSoto Parish, Louisiana
Logansport, Louisiana	Towns in Louisiana, Ark-La-Tex, Settlements in DeSoto Parish, Louisiana
William Rush (actor)	1994 births, Living people, English child actors, English television actors, People from Bury, Actors from Greater Manchester
Debbie Rush	1966 births, Living people, English television actors, English movie actors, Actors from Greater Manchester, People from Lancashire
2020 United States Senate election in Idaho	2020 United States Senate elections, Idaho
