ImJayStation	1990 births, Living people
Music censorship	Music history, Controversies, Censorship
Doom (movie)	2005 movies, Doom series
A Night in Casablanca	1946 movies, 1940s comedy movies, American comedy movies, Movies directed by Archie Mayo
Movie rights	Movie terminology
Army Men (series)	Video game series
Rhino Season	2012 movies, Documentary movies, Iranian movies, Turkish movies, Iraqi movies, Movies directed by Bahman Ghobadi
Boana ericae	Frogs, Animals of South America
Helen Parr (The Incredibles)	Superheroes, Movie characters
Too Young to Love	1959 drama movies, British drama movies, Movies based on plays, Movies directed by Muriel Box
Dreams (2006 movie)	2006 drama movies, Iraqi movies, Movies directed by Mohamed Al-Daradji
Queensland Kanaka English	English-based pidgins, Queensland
The Undercover Man	1949 movies, 1940s crime movies, 1940s thriller movies, American crime thriller movies, Movies based on books, Movies directed by Joseph H. Lewis
Muyinga	Cities in Burundi
Shadows and Fog	1991 comedy movies, 1990s mystery movies, American comedy movies, American mystery movies, Movies based on plays, Movies directed by Woody Allen
Domino (2019 movie)	2019 movies, 2010s crime thriller movies, Danish movies, Belgian movies, Dutch movies, French crime movies, French thriller movies, Luxembourgian movies, British crime movies, British thriller movies, American crime thriller movies, Italian thriller movies, Movies directed by Brian De Palma
Veins of the World	2020 drama movies, Mongolian movies, German drama movies, Movies directed by Byambasuren Davaa
The Cave of the Yellow Dog	2005 drama movies, Mongolian movies, German drama movies, Movies directed by Byambasuren Davaa
College of Aeronautical Engineering, Guwahati	Colleges and universities in Asia
Athis-Mons	Communes in Essonne
Bezons	Communes in Val-d'Oise
Brunoy	Communes in Essonne
Bussy-Saint-Georges	Communes in Seine-et-Marne
2021–22 Premier League	2021 in association football, Premier League
Chatichai Choonhavan	1920 births, 1998 deaths, Thai military people, Prime Ministers of Thailand
Levone	Settlements in Piedmont
Pil Trafa	1959 births, 2021 deaths, Deaths from cardiopulmonary arrest, Argentine singers, Punk musicians, Rock singers, Composers, People from Buenos Aires
Rivara	Settlements in Piedmont
Henryk Hoser	1942 births, 2021 deaths, Roman Catholic bishops, Polish Roman Catholics, People from Warsaw
Dilys Watling	1943 births, 2021 deaths, English movie actors, English television actors, English stage actors, Actors from Buckinghamshire
Andrzej Borodzik	1930 births, 2021 deaths, Polish politicians, Polish military people, Polish scientists, Chemists
Sulejówek	Towns in Poland
Bitonto	Cities in Apulia
Sidhharrth S Kumaar	1990 births, Astrologers, People from Bihar
San Giuliano Milanese	Cities in Lombardy
Formigine	Cities in Emilia-Romagna
Chatou	Communes in Yvelines
Draveil	Communes in Essonne
Élancourt	Communes in Yvelines
Vimartin-sur-Orthe	21st century establishments in France, 2020s establishments in Europe, 2021 establishments, Communes in Mayenne
Saint-Aubin-des-Préaux	Communes in Manche
Saint-Aubin-de-Terregatte	Communes in Manche
Évenos	Communes in Var
La Farlède	Communes in Var
Rastatt	Towns in Baden-Württemberg
Boana atlantica	Frogs, Animals of South America
Michaux-Perreaux steam velocipede	Motorcycles
Mojgan Azimi	1985 births, Living people, Afghan people
Blue space	Lakes, Bodies of water, Rivers, Public health, Urban design
Qualcomm	American technology companies, Companies based in California, 1985 establishments in California
Upper class district	Real estate
Pater familias	Ancient Roman law
Twelve Tables	Ancient Roman law
The Truth About Women	1957 comedy movies, British comedy movies, Movies directed by Muriel Box
Hemp milk	Plant milks
Amateur astronomy	Astronomy
Lee Pace	Actors from Oklahoma, 1979 births, Living people, LGBT people from Oklahoma
Tugboats	Children's television series, ITV children's television shows
2021 Haiti earthquake	2021 disasters, 2021 in North America, 2020s disasters in North America, 21st century in Haiti, August 2021 events, Earthquakes in the 2020s, Earthquakes in Haiti
Arrecife	Cities in the Canary Islands, Municipalities in the Canary Islands
Gianfranco D'Angelo	1936 births, 2021 deaths, Italian movie actors, Italian stage actors, Italian voice actors, Italian television actors, Comedians, Actors from Rome
Francis Mossman	1988 births, 2021 deaths, New Zealand movie actors, New Zealand television actors, New Zealand stage actors, Naturalised citizens of Australia, Australian models, Australian movie actors, Australian television actors, Australian stage actors, Actors from Sydney, People from Auckland
Liam McIntyre	1982 births, Living people, Australian movie actors, Australian television actors, Australian stage actors, Australian voice actors, Actors from Adelaide
Piera Degli Esposti	1939 births, 2021 deaths, Deaths from respiratory failure, Italian movie actors, Italian voice actors, Italian television actors, Italian stage actors, People from Bologna
Fez Whatley	1964 births, 2021 deaths, Deaths from heart failure, American radio personalities, Comedians from Florida, LGBT people from Florida, LGBT comedians
Peter Whittle (mathematician)	1927 births, 2021 deaths, New Zealand scientists, New Zealand academics, Mathematicians, People from Wellington
Johnny Groth	1926 births, 2021 deaths, Detroit Tigers players, St. Louis Browns, Baltimore Orioles players, Chicago White Sox players, Texas Rangers players, Kansas City Athletics players, Sportspeople from Chicago
Spring Hill, Florida	Census-designated places in Florida
Jørgen Langhelle	1965 births, 2021 deaths, Deaths from cardiac arrest, Norwegian movie actors, Norwegian television actors, Norwegian stage actors, Norwegian voice actors, Actors from Oslo
Nesodden	Municipalities of Norway
Sandnes	Cities in Norway, Municipalities of Norway
Humaid bin Rashid Al Nuaimi III	1931 births, Living people, United Arab Emirates, Current national leaders
Rubén Darío Paredes	1933 births, Living people, People from Panama City, North American politicians, North American military people
Anatoly Malofeyev	1933 births, Living people, Belarusian politicians
House of Representatives (Belarus)	Politics of Belarus, National lower houses
Council of the Republic (Belarus)	Politics of Belarus, 1996 establishments in Europe, National upper houses
2 Sins	Musical groups established in 1993
Sandie Shaw	Singer-songwriters from London, Members of the Order of the British Empire, English singer-songwriters, English pop singers, 1947 births, Living people
Hutchins' tree frog	Frogs, Animals of South America
Deno (software)	Free software, Linux software, Microsoft Windows software, JavaScript
TypeScript	JavaScript, Programming languages
Biscuit (bread)	Breads
Lingua Franca Nova	Lingua Franca Nova
Ja-Ela	Settlements in Sri Lanka
Bus toilet	Bus transport, types of toilets
Wasco, California	Cities in California, Settlements in Kern County, California
Bear Valley Springs, California	Census-designated places in California, Settlements in Kern County, California
Gary Medel	1987 births, Chilean footballers
Blackland, Texas	Cities in Texas
Galena Park, Texas	Cities in Texas
Hilshire Village, Texas	Cities in Texas
Hunters Creek Village, Texas	Cities in Texas
Jacinto City, Texas	Cities in Texas
Jersey Village, Texas	Cities in Texas
La Porte, Texas	Cities in Texas
Nassau Bay, Texas	Cities in Texas
Piney Point Village, Texas	Cities in Texas
South Houston, Texas	Cities in Texas
Fall of Kabul (2021)	2021 in Asia, 2020s in Afghanistan, 21st century in Kabul, August 2021 events, Taliban
Southside Place, Texas	Cities in Texas
Spring Valley Village, Texas	Cities in Texas
Liberty Stadium	Stadiums in Europe
Adam Johnson	1987 births, Living people, Manchester City F.C. players, Premier League players, English footballers
2010 FIFA World Cup qualification (CONMEBOL)	Sport in South America
St. Kitts	Saint Kitts and Nevis
Simon Kjær	1989 births, Living people, Danish footballers, Association football defenders, 2010 FIFA World Cup players, UEFA Euro 2012 players, 2018 FIFA World Cup players
Choirul Huda	2017 deaths, Indonesian people
Persela Lamongan	Football clubs, Football in Indonesia
Kamil Grabara	1999 births, Polish footballers, Association football goalkeepers, Living people
Estadio Nacional de Lima	Football stadiums, Sport in Peru
Casemiro	1992 births, Living people, Brazilian footballers, Association football midfielders, 2018 FIFA World Cup players
Robin Koch	1996 births, Living people, German footballers, Association football defenders, Sportspeople from Rhineland-Palatinate, People from Kaiserslautern
Ambassador of the United Kingdom to the Netherlands	Ambassadors of the United Kingdom
2019 Piper PA-46 Malibu crash	Aviation disasters in the 2010s
Fatal insomnia	Diseases
Asphalt (1929 movie)	1929 movies, 1920s drama movies, German drama movies, German silent movies, Movies directed by Joe May
This Is My Country (movie)	1984 drama movies, Filipino movies, French drama movies, Movies directed by Lino Brocka
Fairytales Gone Wrong	Children's books, Children's literature, Children's picture books, English-language picture books, Fantasy books
Dickhead	English profanity
Sambuca di Sicilia	Settlements in Sicily
Hibatullah Akhundzada	1961 births, Living people, Taliban, Afghan military people, Heads of the Islamic Emirate of Afghanistan
20th Century Animation	American animation studios
Mathematical Applications Group	1966 establishments in the United States, American technology companies
Clyde Evans	1938 births, 2021 deaths, State legislators of the United States, Politicians from Ohio, US Republican Party politicians
Rio Grande, Ohio	Villages in Ohio
Benoît Genecand	1964 births, 2021 deaths, Cancer deaths in Switzerland, Swiss politicians
Miroslav Tetter	1938 births, 2021 deaths, Czech politicians, Czech academics
Georg Gallus	1927 births, 2021 deaths, Politicians from Baden-Württemberg
Karl-Heinz Funke	1946 births, Living people, Politicians from Lower Saxony
Jacques Fournier	1929 births, 2021 deaths, French politicians, French businesspeople
Algirdas Pocius	1930 births, 2021 deaths, Lithuanian politicians, Lithuanian writers
Mickey Stephens	1944 births, 2021 deaths, Politicians from Georgia (U.S. state), People from Savannah, Georgia, US Democratic Party politicians, State legislators of the United States
Giuseppe Montalbano	1925 births, 2021 deaths, Italian politicians, Mayors
Sciacca	Towns in Italy, Settlements in Sicily
Joe Walton	1935 births, 2021 deaths, American football coaches, Washington Redskins players, New York Giants players, American football defensive ends, Sportspeople from Pittsburgh, Pennsylvania
R. Murray Schafer	1933 births, 2021 deaths, Canadian composers, Canadian educators, Environmentalists, Canadian activists, Writers from Ontario, Canadian pianists, Musicians from Ontario, Deaths from Alzheimer's disease
